x,y,z
-364.599,195.209,1667.05
-367.246,195.071,1644.98
-367.576,197.508,1628.89
-366.848,194.261,1612.35
-364.929,191.632,1598.13
-366.966,191.326,1591.04
-368.975,193.176,1584.51
-373.983,190.6,1582.75
-374.503,188.317,1577.36
-373.731,188.678,1573.18
-381.353,191.34,1573.11
-389.651,189.187,1575.06
-393.309,191.588,1573.56
-404.689,191.31,1584.29
-415.846,187.655,1598.16
-429.91,183.322,1624.09
-443.973,186.636,1653.05
-455.003,180.824,1675.03
-468.981,179.915,1702.02
-478.993,176.953,1724
-486.998,175.468,1747.99
-492.491,175.73,1764.99
-490.752,171.867,1779.48
-489.374,173.434,1811.26
-484.173,174.712,1830.63
-470.585,176.853,1842.8
-460.295,174.418,1843.89
-448.683,176.683,1837.94
-432.864,171.836,1821.47
-412.455,160.909,1806.22
-398.243,150.443,1794.1
-383.14,143.204,1784.54
-375.077,140.092,1779.26
-365.018,127.549,1773.13
-351.988,121.785,1768.07
-340.206,117.96,1763.55
-338.084,117.978,1762.29
-368.435,129.776,1689.16
-349.707,131.907,1669.56
-333.871,139.464,1656.3
-324.941,141.714,1652.68
-329.969,143.358,1672.36
-339.013,140.191,1697.72
-353.074,142.124,1724.4
-363.109,144.093,1743.25
-377.657,143.097,1782.72
-389.835,144.56,1808.37
-401.407,141.277,1831.16
-409.203,138.137,1846.55
-408.095,133.075,1863.27
-408.075,130.502,1877.15
-404.057,133.722,1886.58
-401.038,133.34,1893.31
-375.069,131.17,1893.61
-350.073,121.084,1891.25
-333.068,114.541,1886.11
-311.059,116.773,1876.04
-295.545,119.386,1874.52
-283.772,123.193,1883.26
-272.377,132.6,1904.65
-262.194,134.301,1923.34
-251.526,137.32,1950.6
-255.265,139.653,1960.3
-260.624,139.324,1968.13
-267.822,135.67,1974.55
-279.435,136.34,1979.79
-296.746,139.676,1980.9
-311.904,140.348,1978.46
-327.49,148.684,1968.23
-337.743,151.841,1957.6
-338.393,153.933,1947.8
-336.689,154.485,1939.89
-331.305,160.775,1933.45
-320.146,166.385,1925.73
-312.029,169.68,1916.92
-299.532,167.326,1909.45
-288.152,163.171,1898.34
-273.06,165.583,1889.19
-258.518,166.795,1888.12
-249.761,167.393,1891.08
-244.875,167.685,1894.07
-242.427,169.327,1907.06
-243.21,169.645,1917.55
-240.099,164.816,1929.8
-240.534,159.894,1940.92
-244.249,159.959,1950.46
-248.621,159.979,1956.2
-224.479,165.51,2003.38
-205.009,163.11,2012.47
-185.133,165.071,2024.79
-172.059,164.026,2040.91
-159.037,162.014,2049.47
-146.005,162.008,2058.73
-129.984,160.012,2067.42
-117.012,151.516,2069.28
-108.568,147.753,2069.17
-109.774,150.374,2070.56
-119.375,153.231,2079.26
-131.245,147.585,2076.51
-143.12,147.782,2076.7
-153.544,147.884,2072.81
-169.314,148.919,2067.78
-189.234,149.479,2065.97
-205.113,147.744,2065.01
-223.19,147.893,2058.53
-239.136,151.956,2054.79
