x,y,z
-379.672,410.793,1687.17
-379.089,412.709,1667.47
-378.145,415.025,1661.97
-380.759,410.698,1643.1
-380.159,407.282,1629.32
-378.786,404.912,1623.77
-379.016,405.359,1622.22
-385.36,405.848,1613.77
-387.136,404.778,1610.41
-389.556,406.49,1605.25
-394.098,409.252,1599.98
-395.843,407.129,1598.86
-399.874,411.097,1602.05
-416.133,409.083,1615.55
-424.212,402.817,1631.3
-444.866,398.097,1664.16
-465.799,400.438,1699.7
-479.363,394.032,1721.97
-499.166,392.504,1751.94
-510.848,388.292,1772.68
-520.194,386.794,1792.06
-527.421,387.155,1804.61
-526.296,383.713,1814.62
-516.407,387.018,1833.45
-510.499,390.629,1847.17
-497.15,393.334,1855.74
-487.41,391.014,1860.63
-476.496,391.102,1859.51
-465.362,388.178,1845.14
-453.75,375.833,1828.02
-444.627,363.532,1814.81
-437.333,355.147,1805.22
-428.516,353.596,1795.89
-421.014,340.521,1791.63
-411.879,330.705,1787.24
-405.912,322.846,1791.96
-404.739,321.821,1792.64
-381.506,341.76,1721.1
-367.559,344.652,1706.46
-346.399,349.218,1698.03
-335.564,351.55,1692.32
-338.753,353.489,1699.91
-348.902,353.498,1715.13
-363.186,356.447,1738.04
-375.123,359.103,1755.48
-399.07,356.006,1791.76
-417.021,358.48,1817.71
-433.269,357.939,1840.09
-440.032,356.322,1854.01
-449.634,349.546,1876.1
-448.654,347.295,1895.32
-446.303,349.208,1904.63
-446.996,347.63,1911.05
-423.055,339.674,1918.9
-402.436,331.507,1920.1
-387.684,326.234,1916.49
-364.722,325.012,1913.26
-351.161,325.888,1912.81
-344.76,330.72,1920.03
-336.601,342.093,1937.55
-334.835,340.97,1965.76
-335.086,341.012,2009.2
-338.502,342.855,2030.68
-340.255,347.345,2033.21
-340.434,348.781,2030.21
-350.101,348.729,2033.56
-368.593,350.546,2034.32
-377.25,350.635,2029.23
-387.754,356.854,2018.2
-388.648,359.983,2006.05
-382.549,365.229,1992.99
-378.487,368.536,1984.29
-372.254,374.841,1975.38
-357.877,382.269,1964.09
-352.628,383.527,1958.78
-335.335,382.979,1943.44
-322.805,380.818,1934.02
-303.081,382.107,1924.83
-292.462,381.071,1931.35
-287.926,380.3,1937.56
-286,380.057,1942.97
-286.951,381.606,1958.62
-287.298,383.218,1971.34
-288.703,376.864,1986.56
-290.06,371.438,1995.03
-293.481,372.66,2003.43
-295.03,374.198,2006.32
-260.498,366.708,2080.63
-245.104,362.988,2090.24
-231.839,364.579,2108.9
-218.757,365.506,2123.83
-206.226,363.501,2129.64
-193.27,366.598,2138.23
-184.096,359.531,2157.02
-175.123,350.853,2158.63
-171.694,343.262,2164.56
-175.736,345.05,2172.59
-179.199,357.714,2174.23
-191.676,355.031,2172.17
-200.122,361.739,2167.71
-213.382,362.01,2162.5
-234.103,360.364,2152.44
-251.157,363.99,2139.96
-265.59,361.372,2129.85
-286.044,358.53,2116.08
-298.385,360.209,2104.56
-307.24,368.591,2085.64
-259.797,428.559,1899.89
-253.917,435.366,1911.86
-247.619,435.09,1930.86
-245.752,436.565,1948.67
-249.726,429.847,1966.14
-255.552,426.508,1981.38
-262.001,416.695,1987.13
-276.481,407.038,1998.15
-290.479,391.947,2006.72
-299.869,383.401,2013.32
-309.343,365.283,2019.83
-319.685,347.607,2027.14
-327.862,333.632,2031.49
-344.1,319.445,2041.85
-352.6,309.845,2044.81
-358.887,312.006,2048.38
-369.599,315.98,2053.24
-377.179,317.864,2053.45
-380.518,327.179,2047.59
-385.232,351.982,2046.69
-387.393,379.78,2047.82
-388.72,408.741,2050.48
-386.736,432.212,2051.5
-382.751,445.638,2048.9
-369.801,453.926,2051.64
-347.923,457.139,2042.21
-324.802,450.728,2037.43
-313.424,435.167,2038.09
-299.161,423.104,2036.53
-277.903,405.231,2036.87
-270.529,386.448,2062.77
-251.228,361.466,2066.86
-243.059,358.419,2082.19
-240.534,360.583,2103.84
-241.287,355.859,2132.48
-239.45,347.552,2126.8
-237.321,340.549,2113.28
-249.298,333.969,2093.51
-263.812,320.611,2078.96
-283.676,303.814,2040.96
-298.08,284.886,2004.47
-308.075,275.988,1972.6
-318.772,265.278,1955.06
-330.551,274.291,1945.03
-350.79,292.234,1943.86
-359.498,310.109,1942.03
-372.769,328.029,1942.65
-382.793,348.736,1945.83
-387.89,373.644,1946.31
-387.344,392.611,1936.07
-381.498,409.094,1926.5
-376.59,417.179,1916.99
-362.743,421.463,1904.88
-352.042,414.486,1884.4
-334.757,406.152,1862.19
-262.991,363.781,1822.5
-258.249,357.964,1829.95
-257.095,351.155,1850.3
-259.663,347.682,1868.07
-268.176,346.534,1897.29
-280.153,343.365,1938.47
-288.947,344.563,1975.68
-298.055,344.512,2008.68
-303.713,345.51,2031.72
-321.602,342.602,2068.74
-333.804,343.205,2101.47
-341.993,342.278,2126.29
-349.08,339.831,2142.6
-353.282,337.225,2154.35
-360.105,339.564,2169.1
-374.441,337.134,2192.62
-380.995,335.906,2197.93
-385.164,338.623,2185.8
-386.152,338.516,2173.24
-384.172,336.076,2152.91
-382.398,345.069,2130.07
-373.316,352.03,2099.05
-367.383,354.14,2077.78
-357.947,350.458,2059.21
-346.868,348.833,2049.69
-337.926,349.093,2040.96
-334.372,341.077,2045.76
-322.102,331.251,2046.87
-314.831,317.689,2059.89
-311.19,311.796,2069.84
-306.336,304.845,2077.36
-296.905,301.893,2087.06
-292.491,300.054,2094.59
-293.467,302.274,2101.25
-298.688,314.305,2103.7
-308.458,321.723,2103.7
-314.143,334.683,2090.15
-323.888,342.254,2088.78
-344.987,353.159,2087.85
-356.305,357.825,2081.2
-363.509,368.388,2068.69
-371.295,372.905,2061.47
-378.181,383.982,2055.3
-380.237,392.743,2045.1
-379.916,396.967,2034.55
-375.337,396.019,2007.83
-372.208,392.686,1990
-369.343,388.132,1972.4
-360.336,376.549,1966.09
-345.697,355.169,1995.76
-327.975,346.391,2004.56
-306.556,335.732,2021.13
-268.122,318.078,2035.31
-235.469,295.114,2058.98
-203.086,270.627,2084.92
-186.977,277.218,2099.09
-181.221,298.298,2115.9
-180.021,302.458,2126
-180.581,306.127,2141.37
-195.962,319.12,2151.61
-203.415,315.978,2151.34
-224.424,329.676,2173.48
-232.847,336.863,2163.49
-274.657,345.993,2162.75
-285.566,355.135,2139.92
-288.823,360.248,2112.92
-367.648,386.437,1871.85
-371.472,387.418,1875.78
-373.335,388.357,1878.33
-375.62,382.705,1883.85
-374.978,377.536,1892.39
-370.65,376.408,1893.35
-366.468,376.257,1913.62
-357.035,368.498,1927.84
-341.456,364.913,1955.11
-321.595,364.61,1979.24
-285.576,349.869,2010.19
-257.873,349.67,2036.25
-238.704,344.726,2046.32
-218.725,343.704,2075.34
-195.722,335.307,2065.44
-185.659,344.053,2080.82
-182.082,353.067,2103.81
-151.878,315.339,2120.08
-149.064,309.339,2109.67
-146.111,303.791,2080.9
-142.643,286.535,2044.11
-150.657,285.763,2036.31
-158.135,294.616,2012.17
-161.285,290.448,1984.48
-174.046,295.169,1970.13
-192.279,307.94,1950.24
-202.979,315.999,1933.81
-219.792,327.607,1914.65
-237.119,345.536,1900.1
-247.78,356.987,1889.46
-266.385,370.685,1881.68
-284.418,380.601,1884.98
-294.907,390.661,1882.05
-313.816,396.495,1884.37
-323.134,400.476,1885.53
-336.077,398.045,1885.89
-345.249,396.549,1888.16
-353.111,395.885,1884.91
-363.987,383.931,1880.2
-369.781,374.318,1877.38
-291.208,345.947,2165.06
-282.153,345.348,2165.9
-257.511,332.758,2122.4
-245.846,318.785,2107.16
-239.733,321.102,2104.58
-236.597,325.833,2101.86
-234.045,330.75,2097.01
-233.431,334.582,2096.86
-232.859,344.452,2086.24
-231.798,347.955,2077.99
-231.13,350.634,2067.69
-229.927,350.223,2054.76
-240.757,342.868,2067.04
-248.53,347.008,2072.52
-253.984,349.749,2078.26
-257.673,361.546,2076.28
-259.091,360.217,2071.71
-259.289,367.179,2065.2
-269.212,363.726,2068.45
-274.037,367.943,2052.18
-275.223,369.289,2037.78
-296.257,354.798,2071.91
-292.801,340.575,2071.17
-291.68,334.8,2076.21
-291.326,334.928,2091.83
-274.048,319.142,2064.47
-265.672,320.022,2061.19
-260.353,324.8,2065.56
-241.487,312.506,2026.42
-232.652,313.306,2019.87
-228.78,314.126,2023.36
-210.355,301.289,1993.63
-201.997,314.595,2002.83
-199.862,334.496,2027.53
-159.674,365.282,2052.13
-152.403,361.558,2067.55
-149.073,360.743,2089.1
-133.196,350.543,2091.77
-125.336,343.236,2098.2
-121.08,342.255,2113.58
-167.762,373.303,1852.66
-173.178,390.131,1837.62
-183.395,396.737,1835.77
-199.905,399.158,1826.4
-211.079,401.347,1813.57
-226.964,402.437,1808.38
-247.733,403.162,1808.79
-271.367,395.802,1814.53
-295.865,380.617,1822.93
-307.551,376.547,1825.84
-324.918,367.252,1834.89
-336.593,356.168,1843.81
-341.643,349.074,1846.63
-342.572,352.232,1851.61
-301.473,393.527,1747.72
-322.469,393.368,1759.18
-339.867,386.725,1774.55
-358.147,384.136,1794.14
-374.937,382.398,1822.91
-389.614,374.482,1843.14
-401.312,369.763,1861.33
-407.959,368.779,1873.75
-405.812,358.549,1887.03
-399.402,352.811,1896.6
-394.31,352.556,1902.4
-372.402,353.814,1920.65
-356.865,353.037,1935.84
-337.773,346.911,1944.23
-311.319,342.63,1956.14
-288.817,341.94,1965.83
-267.528,341.032,1978.82
-246.112,341.847,1992.56
-234.491,343.71,2015.46
-216.757,335.483,2023.04
-207.779,328.23,2030.19
-203.447,324.286,2037.77
-209.697,327.364,2058.36
-220.332,339.381,2077.72
-227.255,348.42,2084.12
-229.514,352.491,2076.75
-240.634,355.156,2077.68
-249.763,365.134,2071.99
-254.683,373.7,2065.7
-265.5,367.095,2056.71
-270.423,367.094,2037.49
-279.604,365.381,2019.3
-286.715,361.895,1984.61
-287.083,361.205,1962.49
-285.554,359.089,1941.24
-284.434,346.772,1926.63
-286.214,335.199,1919.01
-285.506,332.371,1920.18
-281.175,326.482,1918.93
-271.862,319.586,1933.48
-258.081,314.431,1950.36
-251.693,311.841,1965.31
-238.296,313.654,1995.63
-232.15,320.379,2023.97
-213.708,307.763,2012.54
-203.703,295.482,2019.66
-201.263,293.07,2032.13
-366.787,347.065,1954.52
-370.628,354.777,1916.41
-362.695,364.529,1858.09
-345.949,369.962,1807.5
-332.129,374.033,1762.35
-324.643,375.305,1734.77
-313.426,379.976,1704.35
-307.373,384.942,1689.59
-300.692,388.339,1683.6
-298.762,391.759,1690.73
-301.42,398.2,1713.67
-301.183,397.152,1729.12
-307.018,400.163,1756.67
-314.181,396.302,1792.82
-321.884,396.382,1833.75
-330.861,391.503,1881.11
-338.211,380.226,1919.19
-339.717,366.617,1974.49
-343.608,359.966,2021.56
-346.535,356.856,2057.3
-345.671,346.625,2076.83
-347.576,338.812,2093.12
-346.873,345.277,2095.49
-347.174,349.829,2097.93
-340.549,350.472,2087.09
-333.208,351.559,2072.03
-320.807,360.833,2043.63
-312.976,364.392,2020.42
-299.943,365.091,1978.08
-291.257,362.496,1943.51
-281.576,357.663,1903.43
-259.382,364.77,1840.33
-213.091,382.963,1722.94
-218.183,382.676,1730.25
-225.564,383.703,1743.02
-235.597,389.145,1761.3
-247.5,394.21,1786.15
-265.7,393.553,1809.85
-281.048,391.123,1836.34
-297.304,392.901,1861.08
-314.668,385.947,1890.79
-329.44,387.125,1916.58
-349.471,385.846,1945.02
-364.542,380.717,1972.94
