x,y,z
-118.451,-113.412,1475.55
-127.738,-107.613,1470.31
-138.003,-101.219,1462.87
-144.526,-99.8255,1453.13
-147.059,-99.975,1443.27
-148.466,-102.567,1436.47
-149.773,-102.775,1432.63
-152.425,-102.55,1431.6
-156.47,-103.257,1432.2
-160.742,-103.642,1435.49
-165.177,-104.747,1439.27
-172.783,-104.408,1442.35
-179.637,-105.596,1449.63
-189.513,-107.459,1464.01
-199.05,-106.878,1475.89
-217.891,-108.109,1488.31
-227.379,-109.369,1504.38
-235.659,-110.389,1519.41
-246.841,-115.927,1540.21
-253.882,-119.164,1556.4
-257.124,-120.59,1572.21
-258.175,-122.039,1584.15
-257.713,-122.523,1592.7
-254.902,-122.897,1597.02
-248.65,-122.659,1599.84
-236.303,-123.097,1596.93
-221.869,-122.622,1593.19
-208.281,-122.929,1587.63
-186.59,-122.552,1580.16
-166.935,-122.748,1573.29
-147.076,-124.992,1566.46
-132.164,-127.081,1560.8
-119.741,-129.101,1560.93
-109.94,-135.889,1559.72
-104.117,-142.162,1557.31
-96.7301,-151.849,1554.69
-94.8737,-154.523,1554.79
-98.5869,-198.615,1666.99
-88.5138,-196.828,1665.75
-80.933,-191.972,1665.58
-73.8983,-189.07,1663.64
-75.2841,-186.105,1659.27
-79.2243,-183.259,1656.65
-86.9098,-180.327,1664.5
-96.3263,-179.292,1667.53
-112.485,-178.773,1680.23
-132.502,-177.46,1689.81
-146.861,-175.759,1697.12
-159.395,-175.196,1703.61
-164.077,-172.861,1708.59
-159.065,-171.075,1711.05
-152.52,-170.291,1711.6
-145.618,-170.044,1710.78
-108.041,-169.021,1691.59
-76.8474,-169.198,1679.11
-56.1371,-168.358,1668.98
-33.4865,-169.19,1659.21
-19.3267,-169.355,1652.66
-8.98362,-168.938,1649.83
-2.84023,-167.382,1649.54
1.90541,-165.751,1649.88
-7.87619,-164.635,1653.04
-13.5996,-161.386,1660.12
-25.3035,-160.017,1669.98
-36.2843,-159.802,1682.5
-39.4461,-158.149,1695.28
-43.2805,-155.45,1712.27
-50.5272,-153.439,1724.29
-58.2499,-151.805,1736.02
-63.1062,-148.475,1741.93
-60.7491,-146.352,1746.9
-58.8724,-144.412,1746.77
