x,y,z
-227.189,174.235,1637.77
-235.532,182.308,1629.39
-242.537,191.446,1619.11
-243.825,197.698,1603.45
-238.962,200.889,1591.68
-235.078,201.146,1582.33
-231.329,203.87,1575.27
-229.003,207.31,1569.98
-230.226,209.446,1565.68
-231.528,210.828,1566.5
-233.96,209.992,1570.81
-238.431,210.709,1574.6
-244.37,209.261,1583
-252.945,205.733,1601.8
-261.48,205.455,1616.13
-277.453,202.922,1632.56
-289.826,200.165,1650.62
-300.665,199.746,1663.26
-310.895,196.126,1680.26
-319.464,193.196,1695.1
-325.083,191.477,1710.42
-327.625,190.656,1720.19
-328.805,190.805,1726.42
-323.034,190.394,1732.34
-316.379,190.721,1735.2
-305.082,189.684,1733.15
-293.345,189.7,1729.06
-282.466,188.652,1723.75
-266.154,188.135,1715.2
-251.519,187.015,1707.37
-236.997,183.492,1699.97
-224.333,180.995,1693.8
-214.768,178.57,1692.87
-205.255,173.321,1687.77
-197.712,168.072,1684.19
-187.347,159.223,1681.74
-185.416,156.559,1681.88
-216.636,126.054,1707.96
-206.127,128.345,1704.49
-196.599,133.456,1708.06
-190.805,135.525,1709.14
-189.967,137.791,1713.76
-191.609,139.26,1722.3
-195.693,141.953,1737.28
-200.682,142.188,1749.65
-209.527,142.711,1770.77
-221.493,145.425,1783.67
-232.607,147.595,1792.66
-241.369,149.347,1798.54
-244.714,151.862,1804.22
-241.676,152.999,1807.26
-237.491,152.835,1808.96
-232.541,152.105,1809.65
-205.365,146.521,1800.6
-180.467,142.321,1793.78
-163.895,139.558,1789.56
-141.836,137.056,1783.72
-127.994,135.358,1780.75
-116.96,135.473,1779.32
-107.945,137.879,1779.44
-101.868,139.006,1782.04
-105.816,139.405,1791.09
-111.154,142.22,1799.45
-120.318,143.659,1810.89
-129.521,145.386,1821.32
-137.038,146.83,1831.52
-145.729,149.526,1844.85
-155.407,152.466,1852.78
-163.793,155.849,1859.71
-168.775,159.38,1865.08
-166.413,163.863,1863.87
-160.792,168.189,1860.65
-154.321,171.285,1857.11
-142.656,174.621,1849.37
-134.043,175.524,1843.67
-120.331,176.077,1833.37
