x,y,z
-147.691,227.766,1566.71
-146.807,232.833,1566.44
-145.899,238.034,1564.65
-141.457,239.442,1554.9
-134.584,239.536,1543.53
-129.378,237.395,1534.47
-124.96,237.923,1526.89
-121.973,238.951,1521.24
-122.207,238.971,1517.71
-123.465,239.099,1517.79
-126.695,238.207,1520.31
-130.934,238.003,1524.05
-137.351,236.737,1531.52
-149.111,235.203,1545.48
-158.777,235.629,1558
-174.431,232.906,1574.8
-186.812,231.352,1593.44
-195.92,230.298,1609.03
-206.649,226.004,1624.66
-215.69,223.513,1638.81
-222.171,222.797,1653.12
-225.47,222.336,1661.73
-226.949,222.644,1667.51
-224.179,222.872,1669.05
-219.951,223.931,1668.65
-210.843,224.071,1664.09
-200.083,225.032,1659.07
-189.197,224.775,1654.11
-172.439,225.346,1646.74
-157.778,225.365,1639.55
-143.945,223.337,1632.07
-131.708,221.433,1625.65
-122.879,219.709,1624.14
-114.079,213.805,1617.73
-107.168,207.938,1612.99
-98.2483,198.58,1608.45
-96.9001,196.005,1607.93
-111.984,155.196,1653.09
-101.44,156.983,1649.19
-93.5752,161.922,1649.64
-88.2312,164.878,1650.27
-87.7937,168.044,1654.61
-90.6305,170.825,1661.8
-97.8683,173.792,1672.15
-105.432,174.659,1681.11
-118.369,175.097,1697.01
-130.599,176.331,1708.77
-140.39,177.901,1719.05
-147.258,178.279,1726.79
-149.995,180.496,1733.09
-147.252,182.358,1736
-143.481,183.16,1737.54
-139.204,183.391,1737.76
-114.632,183.099,1728.11
-92.447,182.279,1719.76
-78.2499,182.292,1714.29
-59.273,181.155,1705.84
-47.8424,180.608,1700.99
-39.2926,181.042,1697.3
-32.8789,182.939,1694.77
-29.3658,184.441,1695.34
-33.7071,185.195,1704.15
-38.2007,188.247,1713.33
-45.9391,189.451,1725.88
-53.4214,190.04,1737.24
-59.1503,191.672,1749.21
-66.2838,194.466,1764.1
-73.3616,196.756,1774.35
-78.4805,198.818,1784.16
-80.9079,201.982,1792.3
-76.9942,204.856,1792
-70.7392,207.383,1788.52
-64.3375,209.824,1784.51
-53.3323,213.273,1775.99
-44.7103,214.226,1770.31
-31.4505,215.376,1759.78
-19.248,215.639,1750.09
-4.0368,215.821,1742.07
7.54335,215.843,1739.43
14.2996,215.255,1739.13
18.8042,215.736,1741.04
23.238,214.124,1745.48
24.7903,213.447,1751.52
23.3328,212.845,1763.72
20.215,213.081,1774
15.7092,212.195,1790.78
10.41,211.554,1803.65
-9.31744,225.998,1855.24
5.10464,193.491,1819.91
10.4113,204.633,1814.47
16.5109,214.359,1809.75
20.6336,219.715,1807.37
23.2248,225.455,1800.63
28.4792,224.083,1791.83
31.4287,221.584,1784.31
33.0894,221.354,1781.58
31.7049,221.67,1781.64
29.6727,221.082,1783.9
24.3355,218.319,1788.65
22.3169,216.916,1794.44
17.6237,216.984,1801.68
8.62276,214.657,1811.47
0.781864,211.641,1819.69
-3.91076,211.391,1826.61
-10.6074,211.087,1832.08
-14.8014,209.686,1834.42
-18.5439,210.583,1831.64
-18.1341,214.496,1801.4
-13.1002,214.58,1799.76
-10.0924,214.562,1800.25
-8.25445,214.925,1799.65
-7.51578,212.574,1799.09
-8.83502,213.534,1802.32
-11.6798,214.017,1807.18
-16.6447,213.333,1811.49
-22.9769,212.698,1817.23
-30.2207,213.114,1823.68
-37.2914,212.711,1832.3
-44.5373,212.007,1838.55
-52.7734,212.441,1847.89
-62.5299,210.7,1855.26
-71.3749,209.409,1863.33
