x,y,z
-68.1929,281.297,1495.66
-58.0824,283.358,1503.48
-49.2617,284.622,1510.19
-39.09,281.187,1506.35
-30.206,278.184,1495.38
-23.6773,273.645,1486.61
-18.5905,271.975,1478.52
-14.9427,270.593,1472.51
-14.1882,268.497,1469.74
-15.4024,267.369,1469.09
-19.4299,266.422,1469.81
-23.4378,265.297,1473.5
-30.3314,264.213,1480.04
-45.2773,264.673,1489.16
-56.0745,265.802,1499.87
-71.408,262.89,1517.03
-83.7983,262.538,1536.26
-91.174,260.851,1554.8
-102.402,255.882,1569.06
-111.917,253.83,1582.53
-119.259,254.117,1595.81
-123.314,254.016,1603.27
-125.094,254.484,1608.59
-125.324,255.351,1605.77
-123.524,257.142,1602.1
-116.603,258.457,1595.02
-106.82,260.364,1589.08
-95.9281,260.899,1584.48
-78.7247,262.557,1578.27
-64.0378,263.715,1571.74
-50.8927,263.182,1564.17
-39.0822,261.872,1557.51
-30.9906,260.849,1555.42
-22.9031,254.289,1547.69
-16.6245,247.805,1541.78
-9.14971,237.938,1535.16
-8.3845,235.451,1533.98
-7.3309,184.338,1598.22
3.24699,185.622,1593.9
9.44889,190.388,1591.22
14.3423,194.231,1591.41
14.3796,198.297,1595.45
10.348,202.391,1601.3
-0.043438,205.631,1607.02
-10.182,207.131,1612.57
-27.2104,207.483,1623.25
-39.7045,207.237,1633.87
-48.1731,208.207,1645.44
-53.1459,207.212,1655.04
-55.2762,209.13,1661.96
-52.8283,211.717,1664.74
-49.4713,213.486,1666.12
-45.8665,214.677,1665.88
-23.9001,219.677,1655.62
-4.42707,222.236,1645.75
7.39542,225.026,1639.02
23.2903,225.254,1627.96
32.3092,225.858,1621.23
38.3746,226.611,1615.28
42.187,227.999,1610.09
43.1368,229.876,1608.64
38.4022,230.986,1617.21
34.7522,234.273,1627.21
28.44,235.242,1640.87
22.6783,234.693,1653.16
18.7376,236.514,1666.9
13.1613,239.406,1683.35
8.68398,241.046,1695.92
6.83237,241.788,1708.61
6.95905,244.584,1719.52
12.4242,245.849,1720.13
19.3137,246.576,1716.39
25.6459,248.362,1711.9
35.9913,251.925,1702.61
44.6229,252.928,1696.96
57.4303,254.675,1686.18
