x,y,z
-106.65,74.968,1497.52
-108.112,79.2164,1497.68
-110.246,83.6924,1495.89
-109.513,83.4608,1488.14
-106.77,82.3886,1477.69
-104.405,79.2517,1469.84
-102.61,78.7004,1463.95
-102.214,78.5437,1460.49
-104.025,77.5098,1459.27
-106.777,76.9702,1460.72
-110.865,75.9552,1463.28
-116.714,75.7207,1466.67
-123.503,74.5537,1473.74
-135.32,73.5197,1486.31
-145.349,74.2363,1497.95
-162.489,72.1989,1512.68
-173.418,71.1871,1530.22
-181.531,69.9473,1546.48
-192.665,64.8059,1564.26
-200.86,62.0859,1579.21
-205.998,61.3441,1593.92
-208.421,60.5069,1603.83
-209.029,60.4706,1610.84
-207.188,60.6168,1612.33
-202.769,61.4957,1612.48
-192.762,61.7289,1607.93
-180.493,62.7531,1603.26
-168.25,62.7316,1598.11
-148.874,63.5633,1591.06
-131.708,63.8471,1584.25
-115.085,62.2006,1577.06
-101.652,60.3975,1570.95
-91.2649,58.756,1570.07
-82.1959,52.1958,1565.82
-76.037,45.9236,1561.87
-68.3578,36.234,1557.61
-66.9453,33.6387,1557.18
-71.1206,-12.196,1642.13
-60.7748,-10.5658,1639.41
-53.5677,-5.71727,1638.51
-47.5387,-2.50194,1637.72
-48.1373,0.859259,1637.6
-51.9088,4.10459,1639.44
-60.3734,7.15276,1647.01
-69.734,8.30126,1651.91
-85.5946,8.76058,1664.48
-101.858,9.53154,1674.82
-113.487,10.9759,1684.03
-122.556,11.0015,1691.74
-126.075,13.1775,1697.59
-122.289,15.2392,1700.23
-117.263,16.3495,1701.22
-111.892,16.9028,1700.77
-81.8549,18.924,1686.29
-55.96,19.5632,1675.31
-39.2369,20.9163,1667.07
-19.4019,20.392,1657.08
-7.39181,20.4137,1650.76
1.25085,20.9481,1646.75
6.68439,22.5115,1644.47
9.97342,24.1995,1644.26
2.78106,25.249,1650.18
-2.04796,28.4785,1658.57
-11.3004,29.6902,1670.13
-19.9682,29.7207,1682.37
-23.8287,31.4251,1695.33
-28.8058,34.202,1711.78
-35.1106,36.1437,1723.67
-40.4587,37.5626,1735.38
-43.2772,40.6831,1743.32
-39.6426,42.652,1745.96
-35.3671,44.2979,1744.06
-30.0277,46.4281,1740.3
-18.5394,49.8423,1732.26
-10.3423,50.8625,1725.98
4.40896,52.1994,1715.95
