x,y,z
0.0694454,-0.993267,-0.0927268
0.0540512,-0.993253,-0.102596
0.0479842,-0.987499,-0.150146
0.0635026,-0.988063,-0.140353
0.0697272,-0.987292,-0.142802
0.0546211,-0.98699,-0.15122
0.0465438,-0.983505,-0.174791
0.0522448,-0.98842,-0.142465
0.0575993,-0.986907,-0.150658
0.0716927,-0.986787,-0.145299
0.0579461,-0.990815,-0.122176
0.0282323,-0.993692,-0.108532
0.0296467,-0.991246,-0.128657
0.0519472,-0.988519,-0.141887
0.0383999,-0.987616,-0.152118
0.0682944,-0.980742,-0.18298
0.0992428,-0.972196,-0.212097
0.110896,-0.97059,-0.213675
0.136923,-0.964344,-0.226481
0.145323,-0.964136,-0.222089
0.15199,-0.96757,-0.201758
0.160286,-0.970185,-0.181798
0.163297,-0.973273,-0.161471
0.124906,-0.986859,-0.102511
0.120682,-0.989792,-0.0758104
0.121587,-0.990813,-0.0592095
0.123853,-0.989351,-0.0764487
0.128,-0.986793,-0.099278
0.147686,-0.983166,-0.107583
0.187756,-0.977202,-0.0991138
0.211741,-0.972742,-0.094545
0.246626,-0.964529,-0.0941198
0.242117,-0.967316,-0.0753627
0.253387,-0.963732,-0.0837573
0.274506,-0.957561,-0.0878793
0.302749,-0.944034,-0.130933
0.307729,-0.941101,-0.140112
0.060858,-0.987008,-0.1487
0.082399,-0.981935,-0.170332
0.0584776,-0.9791,-0.194793
0.0496859,-0.981408,-0.185391
0.0414118,-0.990668,-0.129854
0.0461583,-0.995622,-0.0812816
0.0470339,-0.996875,-0.0634668
0.0556979,-0.996837,-0.0566938
0.0999793,-0.994094,-0.0421997
0.125953,-0.991093,-0.0432614
0.145373,-0.988538,-0.0407352
0.139825,-0.989598,-0.0338448
0.188135,-0.980421,-0.058137
0.183362,-0.979608,-0.0821348
0.191737,-0.978024,-0.0818869
0.209016,-0.974576,-0.0807103
0.222732,-0.967784,-0.117408
0.239374,-0.961932,-0.131862
0.247439,-0.959074,-0.137662
0.245893,-0.954178,-0.170531
0.255987,-0.950479,-0.176238
0.277968,-0.945861,-0.167573
0.289856,-0.945485,-0.148462
0.325547,-0.926208,-0.190154
0.366765,-0.894049,-0.257214
0.360969,-0.881215,-0.305222
0.34316,-0.896435,-0.280438
0.313093,-0.918899,-0.239994
0.306967,-0.922603,-0.233612
0.313621,-0.920478,-0.233158
0.289166,-0.930547,-0.224643
0.270967,-0.935994,-0.224704
0.231714,-0.947453,-0.220547
0.200217,-0.958077,-0.204943
0.187802,-0.961733,-0.199498
0.184502,-0.964504,-0.188923
0.169584,-0.970313,-0.172435
0.183162,-0.964772,-0.188857
0.161836,-0.974784,-0.15364
0.155214,-0.974864,-0.159837
0.135544,-0.977611,-0.16095
0.153445,-0.968638,-0.195435
0.172508,-0.962349,-0.210059
0.185439,-0.957599,-0.220493
0.199711,-0.952166,-0.23129
0.196284,-0.950849,-0.239498
0.216182,-0.943148,-0.252462
0.2212,-0.944812,-0.241661
0.219141,-0.946773,-0.235792
0.206403,-0.952732,-0.222932
0.164841,-0.920781,-0.35354
