x,y,z
-0.666341,-0.448687,0.595542
-0.739683,-0.421219,0.524828
-0.803207,-0.387219,0.452681
-0.847818,-0.345733,0.402087
-0.860689,-0.318684,0.397058
-0.869524,-0.298201,0.393706
-0.873933,-0.279779,0.397447
-0.87884,-0.259814,0.400172
-0.886687,-0.242365,0.393758
-0.886796,-0.231995,0.399713
-0.880176,-0.231521,0.414353
-0.88195,-0.223931,0.414752
-0.877977,-0.225412,0.42231
-0.852869,-0.242057,0.462626
-0.843158,-0.247715,0.477201
-0.845435,-0.246059,0.474019
-0.84523,-0.255884,0.469158
-0.859672,-0.25075,0.445071
-0.855418,-0.245169,0.456238
-0.851407,-0.248735,0.461776
-0.844333,-0.25696,0.470184
-0.8381,-0.259907,0.479621
-0.835577,-0.261199,0.483308
-0.811706,-0.26668,0.51963
-0.79183,-0.272712,0.546474
-0.773773,-0.282334,0.567064
-0.765452,-0.289988,0.574448
-0.765302,-0.296403,0.571365
-0.768913,-0.305309,0.561747
-0.769073,-0.314634,0.556356
-0.763425,-0.326901,0.557062
-0.759872,-0.331747,0.559052
-0.753819,-0.337496,0.563786
-0.748003,-0.332129,0.574615
-0.742814,-0.327061,0.584173
-0.730937,-0.322878,0.601233
-0.726134,-0.323594,0.606643
-0.859877,-0.239446,0.450864
-0.859452,-0.235116,0.45394
-0.845802,-0.233701,0.479587
-0.841778,-0.240889,0.483097
-0.83833,-0.248226,0.485373
-0.828555,-0.259,0.496403
-0.803414,-0.26149,0.534929
-0.782283,-0.266686,0.562949
-0.749332,-0.266217,0.606326
-0.746464,-0.253815,0.615117
-0.756982,-0.248774,0.604226
-0.77249,-0.237486,0.588948
-0.77724,-0.234965,0.583687
-0.774693,-0.240873,0.584664
-0.771248,-0.248785,0.585903
-0.76572,-0.25666,0.589745
-0.74519,-0.300416,0.595351
-0.722977,-0.328204,0.607936
-0.703355,-0.35095,0.618163
-0.678062,-0.362171,0.639581
-0.658098,-0.371533,0.654882
-0.637639,-0.374114,0.673391
-0.616307,-0.369952,0.695199
-0.595209,-0.373001,0.711755
-0.591627,-0.375692,0.713325
-0.598511,-0.377603,0.706541
-0.610232,-0.375689,0.697477
-0.624396,-0.366379,0.689852
-0.639121,-0.36796,0.675374
-0.651891,-0.368759,0.662612
-0.673402,-0.363517,0.643727
-0.700501,-0.352823,0.620334
-0.72146,-0.349795,0.597611
-0.733983,-0.336488,0.589953
-0.73903,-0.321647,0.591927
-0.738303,-0.316205,0.595754
-0.732821,-0.317106,0.602011
-0.732841,-0.31749,0.601785
-0.729115,-0.322382,0.603707
-0.727758,-0.322251,0.605411
-0.727972,-0.322593,0.604971
-0.721821,-0.321605,0.612817
-0.713192,-0.329432,0.618734
-0.706763,-0.335913,0.622615
-0.705052,-0.341802,0.621348
-0.702225,-0.351464,0.619155
-0.696292,-0.356817,0.622783
-0.697016,-0.358982,0.620725
-0.691973,-0.355881,0.62811
-0.709265,-0.345745,0.614332
-0.662886,-0.43689,0.608037
-0.51189,-0.469698,0.719272
-0.461004,-0.470794,0.752215
-0.453027,-0.476306,0.753591
