x,y,z
0.0621067,0.991351,0.115615
0.103384,0.984136,0.144181
0.146185,0.97385,0.173913
0.184422,0.965396,0.184386
0.21215,0.960284,0.181239
0.231859,0.956769,0.175598
0.24809,0.95462,0.16478
0.264086,0.952455,0.151947
0.275799,0.950613,0.142373
0.283754,0.949677,0.132656
0.28554,0.950018,0.126226
0.294763,0.946975,0.127877
0.295088,0.947023,0.12677
0.284883,0.951371,0.117195
0.282352,0.952275,0.115976
0.291294,0.948018,0.128097
0.283693,0.949246,0.135831
0.284556,0.948035,0.142332
0.284828,0.950203,0.126445
0.278743,0.952852,0.119895
0.268766,0.956416,0.114158
0.261553,0.959632,0.103422
0.255925,0.961982,0.0953527
0.25082,0.964684,0.080459
0.241219,0.968192,0.0664617
0.228915,0.971728,0.0578143
0.217536,0.974617,0.0529116
0.21045,0.976051,0.0550958
0.198284,0.978468,0.0573114
0.185205,0.981009,0.0576211
0.168197,0.984175,0.0557543
0.160409,0.985608,0.0533373
0.149697,0.987564,0.0480344
0.145853,0.988786,0.0320696
0.147615,0.988755,0.0239463
0.149145,0.988696,0.0153511
0.146808,0.989085,0.0125883
0.14451,0.980818,-0.130813
0.14588,0.979556,-0.138525
0.143883,0.979306,-0.142331
0.138591,0.980924,-0.136311
0.142755,0.983175,-0.113967
0.143672,0.985477,-0.0905149
0.139552,0.985934,-0.0919772
0.139877,0.986752,-0.0821834
0.141451,0.986472,-0.0828525
0.16122,0.983763,-0.0788527
0.175521,0.982065,-0.0688555
0.193709,0.979073,-0.0624
0.199804,0.978127,-0.0578401
0.193336,0.979482,-0.0568878
0.18534,0.981158,-0.0545772
0.177291,0.982749,-0.0526466
0.137942,0.990048,-0.0278794
0.109962,0.993735,-0.0199681
0.0889313,0.995987,-0.0100708
0.0740844,0.997189,-0.0112088
0.0627648,0.997978,-0.00997601
0.0538128,0.99842,-0.0161642
0.0500769,0.998389,-0.0266777
0.0424176,0.998664,-0.0295086
0.0560304,0.998315,-0.0150729
0.0607269,0.998121,-0.00817236
0.0736139,0.997286,0.000791243
0.0857731,0.996314,-0.000638513
0.0821033,0.996624,0.000270816
0.0761007,0.997097,-0.00257099
0.08105,0.996705,-0.0032544
0.0935379,0.99561,-0.00339508
0.104254,0.994524,0.00728445
0.110981,0.99381,-0.00495776
0.12359,0.992232,-0.0142117
0.128924,0.991506,-0.0171847
0.124142,0.992013,-0.0223401
0.126408,0.991794,-0.0191045
0.117031,0.992871,-0.0225933
0.117185,0.992848,-0.0228269
0.124655,0.992105,-0.0137049
0.129381,0.991533,-0.0111259
0.128717,0.991681,-0.000974807
0.127121,0.991867,0.00635831
0.129068,0.991483,0.0174116
0.126734,0.991492,0.0296864
0.129826,0.990736,0.0398443
0.133809,0.989864,0.0475804
0.132409,0.990395,0.0398251
0.150834,0.987408,0.0476851
0.0722385,0.991945,0.104054
-0.0488175,0.997717,0.0466542
-0.0574101,0.997448,0.042442
-0.0568402,0.997336,0.0457245
-0.0623947,0.997268,0.0395283
-0.0707674,0.997077,0.0287958
-0.0906762,0.995834,0.00966129
-0.151418,0.988349,-0.015491
-0.175825,0.984232,-0.0192891
-0.158181,0.987205,-0.0201172
-0.153679,0.987745,-0.0272692
-0.112221,0.992972,-0.0376038
-0.084577,0.99582,-0.0344873
