x,y,z
-0.494067,0.616849,0.612695
-0.511048,0.634245,0.58014
-0.52173,0.651857,0.550345
-0.520934,0.67776,0.518911
-0.505073,0.694723,0.512114
-0.494681,0.707606,0.504564
-0.483223,0.720501,0.497367
-0.471931,0.734866,0.487086
-0.467032,0.747572,0.472247
-0.459249,0.755302,0.467556
-0.451995,0.756018,0.47343
-0.444284,0.759329,0.475427
-0.440678,0.758125,0.480677
-0.429881,0.748513,0.504907
-0.423562,0.744884,0.515503
-0.41687,0.741914,0.525151
-0.424532,0.734841,0.528943
-0.435839,0.737912,0.515297
-0.431868,0.744794,0.508696
-0.434676,0.744432,0.506832
-0.438805,0.74108,0.508184
-0.440803,0.741823,0.505362
-0.444334,0.743086,0.500391
-0.42946,0.741186,0.515954
-0.421891,0.739814,0.524101
-0.419033,0.735307,0.532667
-0.42352,0.731758,0.534005
-0.430689,0.727739,0.533763
-0.446066,0.722621,0.528057
-0.459331,0.717327,0.523886
-0.471664,0.710188,0.522653
-0.476427,0.70758,0.52187
-0.482092,0.704706,0.520555
-0.481082,0.710417,0.513681
-0.474925,0.714654,0.513533
-0.463397,0.71812,0.519198
-0.461729,0.717899,0.520987
-0.574503,0.7806,0.246191
-0.573597,0.782734,0.241483
-0.564593,0.783551,0.259389
-0.566492,0.779154,0.268337
-0.559832,0.775144,0.292814
-0.551002,0.768329,0.325678
-0.533916,0.76674,0.356431
-0.515424,0.763358,0.389387
-0.486253,0.763468,0.425058
-0.463631,0.771302,0.436051
-0.458499,0.773703,0.437221
-0.453487,0.780108,0.431024
-0.451336,0.781285,0.431149
-0.455803,0.777649,0.433019
-0.46099,0.77267,0.436428
-0.464434,0.767653,0.441599
-0.483271,0.739615,0.468423
-0.494136,0.719501,0.488004
-0.499516,0.702375,0.507103
-0.493525,0.694017,0.524188
-0.488219,0.686921,0.538315
-0.480169,0.685127,0.547758
-0.466096,0.688547,0.555569
-0.456071,0.686278,0.566588
-0.439704,0.68352,0.582633
-0.440838,0.681684,0.583925
-0.437806,0.682434,0.585329
-0.437499,0.689275,0.57749
-0.453488,0.688272,0.566243
-0.470183,0.688081,0.552696
-0.483249,0.692087,0.536177
-0.493343,0.700017,0.516322
-0.499952,0.701582,0.507771
-0.503783,0.71198,0.48917
-0.495562,0.722761,0.481699
-0.489685,0.726566,0.481985
-0.489952,0.726285,0.482138
-0.487736,0.72573,0.48521
-0.49404,0.722686,0.483373
-0.492744,0.722773,0.484564
-0.485502,0.721724,0.493359
-0.475631,0.721974,0.502522
-0.469069,0.715559,0.517638
-0.465236,0.710333,0.528189
-0.461863,0.705008,0.538188
-0.461854,0.696907,0.548646
-0.453794,0.691661,0.56185
-0.450393,0.688987,0.56784
-0.44756,0.69212,0.566269
-0.443637,0.697625,0.562589
-0.481915,0.626721,0.612356
-0.468647,0.612496,0.636568
-0.436539,0.610272,0.661061
-0.432696,0.602171,0.670943
-0.420182,0.600867,0.680004
-0.411618,0.603682,0.682744
-0.377863,0.611452,0.695231
-0.309215,0.622485,0.718956
-0.275198,0.633361,0.723271
-0.274559,0.633985,0.722966
-0.27246,0.637478,0.720685
-0.270191,0.651032,0.709334
-0.2682,0.654463,0.706927
-0.27673,0.653402,0.704618
-0.284372,0.663581,0.691949
