x,y,z
41.0784,255.877,1545.26
37.0144,255.918,1565.65
33.8785,255.888,1587.33
29.8782,243.406,1605.68
22.4404,235.685,1622.35
-17.6906,132.369,1650.39
-53.6,87.7409,1670.82
-73.5641,58.1879,1681.74
-85.6873,34.5898,1690.65
-103.613,15.4642,1690.12
-139.735,18.7263,1682.78
-149.058,13.9069,1666.34
-150.403,10.5636,1654.84
-67.149,97.5259,1643.05
-45.5949,156.268,1644.03
-39.8138,184.648,1644.51
-40.4195,203.328,1642.28
-47.2302,214.671,1637.16
-53.6396,221.341,1631.09
-64.3512,225.667,1624.04
-73.6899,228.334,1623.03
-79.3512,225.715,1630.48
-90.7095,224.871,1642.24
-100.379,226.946,1660.12
-110.661,229.498,1679.03
-117.838,232.747,1700.01
-116.411,233.33,1720.03
-115.182,231.667,1732
-108.072,228.851,1747.98
-103.611,225.42,1759.49
-97.8044,218.73,1770.73
-93.3994,215.884,1780.35
-90.6736,202.451,1793.66
-90.2849,196.753,1800.29
-82.0968,187.34,1813.66
-74.2681,172.561,1809.67
-70.6079,169.752,1795.85
-56.1897,182.187,1650.66
-55.1105,185.121,1658.91
-60.0742,189.557,1669.48
-63.5638,192.769,1685.24
-69.3015,193.376,1702.6
-79.1545,194.198,1718.33
-85.8461,177.03,1722.74
-102.362,185.074,1732.5
-118.919,189.085,1736.79
-136.887,191.577,1738.97
-145.854,193.312,1743.02
-150.89,194.169,1752.55
-156.957,193.581,1762.79
-164.524,191.808,1776.39
-170.286,190.931,1794.68
-170.103,193.473,1815.83
-167.007,197.74,1833.39
-163.868,192.373,1855.62
-152.392,186.678,1874.26
-137.689,183.822,1887.07
-129.851,183.399,1893.5
-123.507,182.66,1896.2
-119.283,183.314,1899.08
-116.15,185.653,1903.03
-132.315,181.897,1902.77
-142.167,178.954,1902.91
-152.61,180.483,1898.96
-156.783,183.724,1898.98
-171.425,183.842,1900.96
-182.856,191.335,1901.82
-198.044,186.6,1906.79
-206.095,197.255,1904.31
-216.556,197.617,1902.63
-216.281,198.804,1911.3
-210.137,200.395,1921.14
-205.044,202.167,1926.59
-202.028,204.034,1930.34
-193.523,204.503,1939.18
-175.751,204.75,1954.09
-161.856,207.372,1965.01
-146.919,201.188,1986.49
-141.459,197.59,1997.73
-138.263,198.778,2007.85
-142.159,195.374,2016.95
-148.589,192.165,2019.49
-157.8,197.07,2019.27
-159.916,203.019,2021.66
-162.457,202.48,2021.35
-169.723,198.729,2016.69
-177.356,201.852,1999.85
-146.91,225.021,1780.55
-141.472,224.502,1780.77
-132.727,226.755,1782.9
-114.799,227.41,1782.99
-100.815,225.245,1783.06
-92.8707,225.638,1785.56
-83.4341,227.319,1790.79
-75.1683,224.188,1799.4
-72.0724,222.609,1804.68
-78.5268,225.814,1807.81
-83.2652,227.904,1810.92
-89.6117,225.961,1815.48
-102.789,216.968,1833.26
-121.357,211.503,1850.14
-138.684,207.249,1867.07
-149.39,204.1,1882.03
-159.8,207.499,1893.28
-173.129,207.119,1915.5
-186.117,211.989,1938.59
-192.014,214.474,1956.21
-262.861,212.171,2000.14
-265.651,201.842,2011.39
-262.73,183.029,2024.78
-259.768,167.058,2026.99
-258.355,159.578,2027.69
-259.624,154.804,2028.88
-263.319,152.907,2033.46
-256.165,165.955,2031.23
-253.588,171.974,2031.11
-247.352,190.499,2028.56
-243.17,215.245,2020.78
-242.072,239.095,2014.4
-244.033,252.545,2006.7
-249.496,259.268,1991.35
-252.234,267.135,1983.68
-255.571,274.067,1975.83
-258.195,276.102,1969.83
-261.157,270.573,1961.92
-263.596,251.789,1957.97
-266.819,233.894,1951.98
-273.41,216.446,1942
-276.73,200.751,1936.49
-281.347,182.886,1929.23
-288.16,165.899,1921.64
-293.117,158.784,1918.39
-285.03,154.407,1938.19
-286.49,150.213,1959.6
-284.248,151.116,1988.29
-279.04,164.581,2016.66
-279.441,171.839,2046.95
-297.227,154.039,2086.03
-307.912,149.771,2122.02
-304.475,142.198,2148.35
-310.655,139.054,2165.33
-307.703,139.443,2174.58
-298.884,132.759,2171.68
-295.931,154.877,2134.34
-286.601,152.992,2112.23
-268.283,194.994,2088.62
-259.645,215.493,2070.33
-248.536,241.816,2037.75
-249.713,255.92,1999.88
-242.857,269.464,1972.97
-234.929,275.726,1946.98
-233.48,271.855,1934
-232.129,260.908,1923.48
-233.078,249.454,1906.24
-239.08,227.725,1885.62
-242.562,207.366,1869.3
-241.295,192.233,1858.12
-234.617,187.627,1838.08
-228.782,191.817,1818.04
-214.361,194.916,1804.02
-198.67,198.44,1792.52
-185.321,205.719,1785.78
-124.114,239.276,1770.49
-121.664,242.014,1769.09
-116.449,240.902,1772
-115.272,236.909,1781.81
-118.643,233.446,1798.34
-123.822,228.728,1821.7
-128.91,219.364,1844.35
-138.457,214.679,1859.16
-156.731,209.332,1891.02
-174.827,210.675,1914.47
-198.427,208.827,1929.7
-214.731,205.404,1941.82
-236.375,203.695,1951.89
-269.265,193.302,1964.81
-298.141,189.139,1968.86
-322.089,180.562,1972.41
-338.548,178.276,1969.68
-346.217,168.671,1971.9
-350.635,177.335,1969.94
-342.361,182.527,1977.62
-337.684,190.757,1974.3
-328.433,198.357,1975.2
-314.731,202.667,1979.59
-303.85,205.335,1979.76
-281.977,216.651,1976.37
-259.516,226.316,1985.18
-242.289,234.143,1993.55
-224.189,242.553,1996.24
-203.083,250.287,1988.16
-193.536,250.148,1985.1
-181.273,241.573,1969.56
-166.648,236.283,1951.3
-159.32,232.643,1926.15
-158.156,230.319,1909.07
-156.059,229.148,1897.53
-157.034,222.051,1891.78
-158.178,216.44,1882.41
-159.391,217.864,1875.53
-166.198,208.436,1870.8
-179.135,205.204,1864.86
-188.096,198.594,1863.43
-193.597,193.785,1864.7
-198.842,190.379,1869.83
-205.46,184.184,1874.41
-210.286,192.092,1877.71
-205.684,194.08,1885.84
-200.36,196.071,1890.4
-184.646,198.036,1899.16
-156.802,211.521,1899.06
-129.797,219.3,1904.07
-109.356,226.663,1900.03
-91.6571,227.33,1894.48
-79.8399,228.646,1878.68
-64.9671,228.314,1861.52
-56.0568,229.614,1842.82
-54.1343,232.739,1826.48
-62.6245,228.833,1818.76
-70.3344,224.4,1816.4
-75.1426,223.176,1817.2
-92.0447,213.605,1829.61
-103.535,209.295,1840.32
-123.3,208.63,1859.07
-140.723,206.27,1881.92
-171.777,208.004,1930.4
-191.44,206.465,1949.15
-200.244,208.212,1970.04
-365.343,149.756,2044.4
-365.783,143.936,2042.59
-362.338,149.817,2032.18
-353.971,163.016,2022.47
-335.274,173.482,2020.52
-317.125,187.737,2012.74
-300.091,179.281,2007.16
-267.866,191.587,1994.89
-226.012,196.753,1988.84
-182.48,198.886,1980.46
-143.737,200.396,1971.61
-122.364,202.184,1955.79
-109.193,205.092,1941.96
-94.0639,205.063,1935.53
-85.0367,205.023,1917.75
-80.6149,205.459,1901.86
-78.8228,204.222,1894.95
-80.9448,214.351,1853.55
-66.9717,218.68,1845.75
-51.9942,223.831,1841.87
-41.0114,230.417,1845.91
-28.9704,231.174,1854.97
-14.4695,228.585,1868.51
-6.15816,228.837,1883.37
-1.53808,229.942,1894.22
-6.16641,219.526,1914.6
-13.9019,214.341,1926.69
-17.8507,210.707,1935.77
-32.2585,203.39,1944.69
-43.4834,195.753,1948.35
-61.6402,190.909,1942.17
-81.2466,189.971,1932.07
-95.607,186.489,1925.53
-111.313,185.738,1920.25
-130.785,193.826,1915.55
-146.007,200.888,1913.75
-153.54,204.943,1919.37
-163.3,214.973,1923.19
-174.679,218.499,1928.09
-177.364,221.782,1935.02
-128.744,219.303,1797.38
-113.463,220.1,1789.71
-101.15,220.592,1787.91
-87.5494,220.813,1788.42
-75.2463,221.93,1792.21
-66.6413,221.971,1800.6
-58.3278,222.479,1814.3
-54.6659,218.722,1827.68
-50.8381,209.855,1843.86
-57.9108,208.434,1853.95
-64.4528,206.717,1865.97
-83.1487,203.9,1881.46
-97.5289,195.466,1899.65
-104.233,191.241,1913.26
-121.145,191.1,1921.07
-148.165,187.991,1934.91
-165.104,184.977,1945.91
-173.088,183.468,1956.41
-186.553,184.721,1968.17
-194.773,185.361,1975.59
-200.4,184.68,1984.3
-83.8275,201.732,1745.21
-78.3251,206.91,1725.11
-70.6445,209.965,1710.56
-61.3204,209.983,1705.28
-50.1268,213.01,1706.67
-41.0627,216.507,1706.32
-27.5114,216.771,1709.12
-18.2619,218.884,1718.03
-7.12023,218.462,1728.98
2.42435,220.225,1735.01
8.20703,222.104,1746.54
14.5975,219.047,1757.8
9.80104,220.526,1769.42
-38.9448,200.106,1829.7
-45.4814,199.083,1843.8
-52.7584,203.043,1851.83
-52.8666,202.533,1851.91
-50.4414,202.284,1851.93
-46.2283,203.64,1842.95
75.6236,203.185,1865.31
73.3367,202.614,1868.59
74.6821,198.815,1881.78
64.4015,194.443,1882.95
44.8237,198.28,1872.42
31.4435,203.642,1864.62
17.774,203.34,1862.77
-10.6897,203.126,1866.84
-36.3883,205.03,1870.35
-50.7467,202.474,1877.59
-65.9072,204.718,1879.76
-87.4836,204.856,1899.9
-102.223,203.439,1916.97
-112.094,202.231,1932.52
-168.443,174.891,1976.6
-174.273,179.485,1954.29
-174.146,189.263,1930.13
-181.554,194.146,1909.05
-188.278,196.095,1894.51
-190.612,196.06,1887.74
-188.77,198.542,1885.36
-183.851,208.277,1880.15
-176.882,215.147,1878.05
-169.917,222.085,1878.51
-159.958,222.04,1883.25
-153.492,222.511,1887.1
-147.701,221.763,1889.02
-133.709,210.433,1910.05
-117.786,205.248,1919.56
-100.27,203.18,1919.83
-85.1356,205.591,1918.43
-76.6051,207.78,1913.72
-67.3039,207.889,1912.36
-57.6863,207.427,1907.17
-54.8565,205.707,1906.09
-60.4384,207.344,1905.04
-68.2178,207.164,1908.05
-77.5806,209.59,1909.02
-94.2832,201.299,1920.02
-110.652,193.144,1930
-123.83,194.069,1933.49
-141.99,188.007,1949.25
-161.018,185.982,1959.07
-173.066,184.468,1977.02
-187.08,186.22,1988.51
-196.066,185.599,2002.24
-197.539,187.809,2012.65
-185.308,188.902,2025.85
-170.194,198.44,2018.95
-160.628,204.701,2008
-145.316,206.841,2001
-127.66,205.42,1995
-109.855,208.697,1980.99
-78.3702,206.898,1957.11
-55.175,207.975,1921.67
-39.1467,206.971,1899.9
-21.6743,207.439,1865.04
-11.9247,207.68,1829.18
-6.45895,211.84,1803.2
-2.2479,213.907,1775.63
-1.63557,213.944,1761.83
-152.675,194.742,1865.5
-153.794,195.386,1892.77
-150.845,200.716,1921.44
