x,y,z
53.6054,470.291,1506.17
53.5979,465.919,1519.15
58.8624,458.768,1533.75
57.9475,455.905,1554.15
64.7761,450.051,1574.62
46.2213,355.609,1603.16
38.5123,306.663,1620.57
31.5377,276.042,1631.97
24.5529,252.853,1642.11
13.1648,233.054,1649.19
1.5993,221.55,1651.32
-8.55589,220.03,1649.66
-14.3883,220.925,1648.56
13.4269,325.349,1665.28
26.7115,376.149,1672.2
25.8654,403.953,1681.24
21.0095,421.655,1687.54
14.9927,428.714,1698.75
4.2501,436.105,1697.45
-5.19722,436.527,1697.93
-17.2672,442.654,1696.48
-25.923,444.598,1693.49
-31.9068,444.925,1693.72
-36.1306,450.631,1704.29
-43.9894,455.183,1713.02
-48.6764,460.394,1732.82
-49.265,463.561,1752.31
-51.0814,459.594,1767.69
-45.0742,458.906,1789.15
-34.8076,455.119,1793.89
-24.4041,445.372,1798.89
-17.4593,438.356,1799.71
-13.7857,425.457,1802.9
-6.73402,415.027,1808.76
-0.369759,408.983,1815.78
7.14278,392.974,1819.05
8.50801,388.282,1812.73
-6.93706,399.814,1646.08
-7.21547,396.072,1649.32
-5.9035,396.79,1655.01
-5.02757,396.787,1660.47
-8.70815,394.743,1671.49
-14.804,397.742,1686.61
-24.2764,401.038,1700.82
-26.5164,399.282,1725.04
-40.327,398.83,1743.71
-55.1217,398.262,1767.55
-67.4843,403.454,1789.08
-79.7638,408.532,1810.77
-85.3897,406.384,1838.68
-96.6708,404.87,1856.88
-99.74,402.914,1875.6
-96.2333,404.323,1901.99
-94.1168,409.596,1919.24
-86.8174,409.917,1932.22
-78.7926,409.598,1941.94
-66.3851,409.917,1946.83
-60.006,410.676,1948.78
-50.4176,404.973,1951.27
-45.8727,404.147,1950.99
-43.6031,404.841,1956.42
-60.5294,399.271,1960.8
-74.5154,395.303,1965.95
-83.5392,395.253,1970.7
-87.5525,397.293,1980.57
-101.198,397.006,1984.72
-110.855,402.249,1991.55
-124.866,403.451,1985.93
-131.917,412.065,1983.64
-136.367,406.642,1978.79
-137.483,411.839,1977.82
-133.589,417.144,1982.96
-131.124,420.19,1984.46
-126.1,422.049,1985.66
-112.89,420.454,1996.15
-103.706,424.232,1999.95
-92.3041,426.093,2012.64
-86.9918,427.475,2019.11
-85.8195,428.711,2025.29
-85.7004,431.13,2040.89
-91.7025,425.45,2049.98
-95.0657,420.613,2056.37
-99.1304,420.602,2071.36
-98.1509,422.168,2089.83
-98.5473,415.137,2102.41
-105.137,415.825,2090.65
-119.522,423.097,2065.24
-153.751,443.734,1818.56
-142.753,443.564,1818.6
-136.431,443.987,1819.57
-126.222,447.915,1816.94
-115.457,450.284,1815.91
-106.932,449.907,1812.78
-94.3974,450.372,1812.13
-87.7558,449.306,1810.7
-84.3289,448.154,1809.63
-82.4226,447.593,1810.59
-79.0984,448.715,1813.94
-77.3525,445.684,1817.45
-83.3914,441.09,1831.9
-93.0554,437.425,1847.19
-101.203,432.927,1868.88
-105.257,431.561,1887.83
-109.385,432.76,1903.62
-115.285,426.784,1929.21
-120.16,428.341,1968.18
-120.386,429.943,1990.81
-157.596,424.234,2041.31
-147.169,409.263,2057.54
-138.485,390.034,2063.65
-132.731,365.069,2077.41
-130.699,350.63,2084.97
-138.742,341.532,2082.21
-147.396,348.533,2079.37
-150.533,363.702,2082.36
-157.338,374.85,2082.65
-169.225,402.911,2077.21
-181.347,433.587,2080.65
-192.217,465.618,2076.58
-204.449,479.388,2063.5
-210.503,484.376,2055.82
-217.713,498.209,2044.08
-222.533,509.219,2037.36
-226.844,514.117,2031.5
-231.345,506.455,2022.34
-230.976,485.999,2008.63
-231.375,470.95,1997.03
-230.862,450.948,1988.27
-228.814,436.414,1985.99
-228.815,417.209,1971.12
-224.727,390.432,1956.02
-205.951,382.326,1955.21
-203.189,377.185,1972.1
-198.957,362.072,1979.19
-187.393,353.666,2010.66
-179.74,345.685,2020.46
-178.095,336.864,2048.9
-178.391,341.293,2071.99
-180.096,346.097,2090.16
-195.185,356.556,2115.65
-204.734,359.904,2131.9
-217.19,368.902,2141.64
-229.474,370.867,2149.18
-235.514,369.916,2149.92
-230.927,383.409,2129.52
-229.371,414.2,2111.02
-227.739,437.386,2096.64
-223.079,454.786,2064.09
-218.621,464.866,2043.92
-215.778,477.635,2015.19
-215.414,487.049,1991.1
-215.729,494.87,1981.52
-215.54,484.266,1962.49
-218.611,476.767,1947.58
-218.76,458.206,1930.26
-216.41,438.123,1920.77
-209.352,421.967,1919.65
-201.9,415.982,1901.56
-187.477,407.695,1888.91
-171.766,412.887,1872.68
-157.628,417.475,1853.25
-147.008,426.474,1841.48
-118.507,454.332,1791.41
-118.147,454.729,1785.05
-119.187,454.22,1783.91
-117.689,454.616,1787.26
-113.551,451.331,1795.26
-110.495,442.689,1811.91
-108.494,436.862,1826.7
-110.499,437.521,1841.85
-121.111,433.751,1882.27
-134.925,437.541,1917.77
-153.116,431.188,1948.86
-165.834,428.953,1971.48
-186.846,421.454,1995.3
-211.185,414.808,2024.69
-235.093,412.847,2039.96
-260.875,401.48,2043.55
-274.147,392.523,2048.18
-282.435,387.739,2059.25
-287.638,387.59,2073.16
-277.545,398.528,2078.61
-266.975,405.615,2056.7
-252.228,416.088,2056.23
-243.018,424.859,2049.95
-235.281,431.617,2040.86
-208.684,435.72,2012.61
-191.908,448.889,1981.44
-182.782,456.243,1954.01
-168.852,464.602,1939.83
-159.195,468.65,1923.16
-154.411,470.87,1912.21
-147.988,462.512,1899.78
-140.941,460.225,1887.85
-133.92,451.427,1877.14
-127.537,446.226,1874.9
-120.624,446.269,1880
-116.684,444.851,1875.15
-106.442,449.572,1868.85
-97.5552,454.765,1877.01
-106.241,436.857,1887.69
-111.598,423.135,1895.51
-114.609,415.401,1902.78
-114.496,410.449,1917.8
-117.445,404.474,1933.89
-121.879,398.096,1941.69
-127.275,404.264,1945.4
-128.338,409.22,1949.22
-127.76,416.662,1940.3
-111.806,421.033,1929.92
-85.3678,432.283,1923.77
-66.2584,439.484,1915.43
-52.4293,446.991,1906.63
-37.411,446.126,1896.25
-25.179,443.298,1877.26
-11.5652,447.367,1855.12
-7.11113,451.41,1834.68
-6.09235,452.65,1824.69
-11.3525,445.856,1817.2
-16.4995,437.454,1814.25
-22.6714,436.002,1819.53
-32.3512,428.738,1833.48
-43.6293,425.68,1850.08
-53.8082,424.151,1875.42
-72.8483,420.635,1905.07
-106.306,421.475,1963.89
-118.105,411.51,1990.01
