x,y,z
-95.0938,-117.55,1437.79
-89.793,-112.531,1430.84
-80.1151,-103.784,1419.24
-72.7083,-99.5006,1413.27
-68.5495,-99.5694,1412.76
-64.9136,-100.727,1412.5
-66.1009,-106.096,1412.27
-76.968,-112.87,1417.25
-89.6407,-117.674,1421.9
-96.1885,-118.077,1419.35
-100.094,-117.162,1414.24
-108.127,-114.13,1401.99
-128.837,-113.46,1398.25
-140.915,-112.043,1391.57
-148.91,-110.148,1381.22
-155.726,-113.117,1368.25
-165.282,-114.733,1354.72
-175.186,-115.935,1342.14
-184.318,-117.962,1333.16
-195.002,-121.331,1327.88
-204.641,-124.193,1322.64
-209.291,-125.016,1320.51
-212.661,-124.982,1320.22
-215.143,-123.824,1323.4
-218.937,-124.921,1330.63
-221.626,-124.97,1343.14
-219.799,-125.635,1353.68
-211.761,-126.609,1369.86
-207.033,-129.189,1391.32
-205.354,-133.009,1420.43
-199.725,-139.039,1444.46
-196.803,-143.619,1469.83
-192.016,-148.949,1491
-190.286,-155.614,1504.49
-189.464,-161.613,1514.66
-184.537,-173.015,1513.72
-185.779,-177.422,1509.86
-274.448,-201.957,1555.93
-273.889,-194.987,1571.32
-275.626,-185.154,1581.04
-272.522,-180.82,1584.73
-267.577,-177.328,1583.66
-270.47,-178.076,1574.42
-270.482,-180.611,1570.54
-273.281,-182.463,1552.1
-291.368,-175.641,1514.42
-296.213,-171.87,1488.92
-302.488,-169.488,1471.05
-306.196,-166.873,1461.46
-309.216,-165.259,1461.67
-308.279,-163.476,1470.38
-307.682,-166.792,1486.93
-302.541,-169.731,1509.81
-296.215,-171.891,1528.61
-283.97,-177.399,1558.64
-274.055,-182.741,1586.4
-261.139,-188.331,1609.54
-251.922,-191.168,1623.44
-242.831,-191.039,1629.14
-237.084,-190.38,1632.51
-233.478,-190.177,1632.75
-235.659,-183.086,1619.22
-240.202,-178.206,1615.45
-244.235,-175.122,1612.94
-256.029,-172.484,1602.24
-272.1,-166.288,1599.57
-293.718,-162.972,1602.39
-312.008,-160.294,1605.61
-325.661,-157.839,1609.77
-333.627,-155.908,1613.28
-338.78,-153.376,1620.19
-341.468,-152.559,1630.09
-342.1,-153.084,1637.76
-339.104,-151.466,1645.03
-329.654,-150.322,1664.76
-322.438,-154.736,1689.22
-308.242,-157.906,1713.66
-301.412,-161.452,1732.1
-296.833,-164.585,1742.7
-290.203,-167.17,1748.35
-289.867,-166.727,1753.11
-291.081,-166.366,1753.8
-297.213,-163.928,1749.45
-301.024,-162.737,1746.42
-306.657,-161.136,1740.82
-318.079,-158.117,1732.18
-330.813,-155.268,1719.44
-318.698,-131.009,1677.3
-312.645,-130.159,1680.88
-310.327,-129.542,1684.1
-298.694,-132.741,1701.42
-294.392,-132.234,1705.28
-292.02,-133.249,1708.13
-287.641,-133.454,1708.15
-282.482,-133.622,1708.56
-283.544,-133.676,1708
-286.113,-135.196,1704.45
-286.827,-134.35,1703.21
-290.245,-132.32,1698.84
-305.609,-128.292,1684.7
-312.561,-127.012,1672.82
-315.836,-128.807,1664.6
-318.736,-131.465,1664.02
-313.05,-137.705,1680.18
-321.821,-141.944,1691.89
-331.845,-145.475,1696.02
-338.373,-147.094,1698.8
-369.887,-213.243,1653.27
-333.005,-173.6,1633.08
-325.71,-155.855,1632.62
-318.778,-149.375,1646.23
-324.971,-148.802,1662.77
-331.342,-148.413,1672.27
-330.095,-148.38,1670.99
-333.851,-147.844,1669.75
-339.759,-146.833,1667.23
-341.917,-144.973,1658.81
-344.873,-143.651,1645.1
-351.418,-140.899,1628.99
-355.033,-140.478,1615.01
-359.069,-138.581,1601.8
-365.1,-136.361,1589.6
-371.47,-136.287,1580
-374.106,-136.053,1574.81
-375.877,-136.282,1572.26
-378.945,-136.275,1574.46
-383.266,-136.55,1578.04
-384.16,-136.576,1579.54
-384.01,-137.276,1583.49
-384.264,-137.772,1588.21
-382.534,-135.098,1594.29
-372.658,-134.34,1609.1
-367.908,-138.195,1628.25
-364.686,-141.868,1644.85
-350.186,-145.773,1662.17
-340.456,-148.232,1678.1
-335.336,-149.907,1687.85
-326.735,-148.073,1691.2
-316.036,-147.281,1690.72
-308.5,-146.778,1688.64
-306.086,-145.737,1687.85
-306.44,-144.782,1680.46
-306.796,-144.762,1677.31
-305.124,-142.513,1672.57
-311.471,-142.35,1662.02
-315.462,-139.901,1649.99
-317.572,-137.522,1642.39
-330.811,-137.463,1625.1
-334.864,-137.469,1610.52
-333.812,-134.229,1592.36
-334.303,-130.089,1569.02
-338.621,-129.438,1554.45
-341.286,-128.937,1542.04
-346.088,-127.662,1528.54
-351.814,-128.128,1524.44
-355.31,-128.965,1521.21
-353.534,-130.82,1522.67
-350.25,-130.864,1526.88
-348.647,-130.337,1533.45
-345.212,-125.634,1548.28
-342.164,-120.067,1560.55
-338.964,-113.943,1574.69
-323.862,-188.73,1621.36
-299.73,-158.467,1631.88
-281.022,-145.96,1632.81
-270.537,-138.521,1631.03
-265.105,-135.28,1630.94
-266.185,-133.726,1631.83
-270.979,-131.731,1630.39
-278.027,-132.874,1630.22
-292.165,-131.411,1625.25
-306.549,-131.354,1619.4
-319.155,-130.973,1613.27
-329.753,-132.349,1609.34
-340.518,-131.173,1603.95
-359.726,-132.129,1601.47
-372.506,-133.316,1594.59
-382.345,-134.038,1589.84
-390.479,-135.034,1585.93
-393.961,-135.826,1586.48
-398.689,-136.652,1589.73
-398.762,-136.601,1592.91
-394.947,-136.464,1594.16
-393.98,-135.906,1597.08
-388.501,-133.8,1597.84
-379.696,-133.087,1603.72
-368.169,-132.67,1610.26
-358.899,-132.903,1617.09
-345.841,-134.31,1622.63
-333.774,-133.927,1627.1
-326.275,-134.061,1632.5
-321.263,-134.47,1635.09
-316.442,-135.404,1636.15
-312.901,-135.885,1631.16
-307.269,-134.646,1624.61
-305.122,-132.549,1617.86
-304.379,-131.508,1610.52
-301.624,-129.947,1599.41
-301.043,-128.218,1590.65
-303.471,-126.007,1578.01
-304.2,-124.704,1569.28
-309.132,-126.165,1563.19
-313.335,-126.842,1559.27
-317.831,-128.843,1556.3
-323.815,-130.64,1553.18
-326.58,-132.304,1551.61
-323.85,-133.957,1556.15
-318.718,-134.163,1557.99
-312.362,-133.439,1565.3
-296.019,-134.056,1584.9
-276.392,-138.183,1608.08
-263.3,-141.269,1635.15
-248.645,-142.967,1649.38
-235.724,-143.418,1660.47
-223.064,-141.313,1667.42
-219.857,-141.46,1665.97
-218.295,-140.344,1663.22
-218.834,-136.521,1656.91
-223.384,-132.062,1651.3
-229.985,-130.344,1645.3
-242.162,-130.27,1644.77
-252.915,-130.895,1648.17
-259.399,-133.413,1651.34
-277.602,-136.606,1658.41
-292.983,-141.166,1669.84
-314.17,-147.829,1695
-321.808,-149.436,1706.44
-325.982,-150.362,1716.18
-404.632,-129.257,1572.9
-406.749,-129.841,1571.78
-408.05,-129.604,1575.05
-405.891,-129.938,1580.81
-400.931,-131.137,1588.97
-393.466,-134.479,1594.38
-377.442,-137.399,1607.87
-350.96,-142.486,1637.73
-323.975,-145.207,1654.65
-299.429,-146.899,1676.15
-273.935,-148.872,1694.9
-256.544,-148.884,1707.26
-247.87,-147.207,1713.39
-241.775,-147.06,1718.01
-235.041,-147.048,1719.01
-232.459,-144.095,1716.62
-235.855,-143.122,1716.58
-230.746,-138.321,1719.65
-220.916,-135.8,1716.22
-207.919,-134.356,1709.87
-188.345,-134.691,1704.42
-178.013,-136.813,1699.22
-171.34,-138.593,1694.37
-155.862,-139.39,1700.28
-146.527,-139.785,1703.21
-143.947,-143.328,1706.66
-148.614,-144.683,1705.74
-152.699,-144.433,1702.75
-165.826,-142.464,1691.5
-173.67,-140.956,1675.15
-184.491,-139.217,1659.46
-199.986,-136.751,1639.91
-210.498,-136.718,1624.3
-224.187,-135.44,1613.31
-245.792,-135.791,1603.59
-260.517,-136.667,1601.31
-269.499,-136.45,1600
-278.554,-136.491,1598.91
-281.924,-137.542,1608.26
-284.454,-139.728,1616.2
-274.289,-121.171,1582.18
-261.185,-117.891,1578.15
-244.626,-121.011,1586.39
-222.758,-123.164,1596.64
-205.042,-124.878,1615.56
-189.721,-130.16,1636.45
-185.417,-133.579,1650.23
-185.185,-134.729,1657.51
-184.767,-137.192,1663.51
-186.398,-136.52,1670.3
-190.646,-135.918,1677.07
-210.687,-136.195,1681.91
-227.138,-138.421,1687.22
-245.753,-139.028,1690.75
-262.596,-141.06,1697.72
-286.788,-143.206,1709.29
-300.287,-144.746,1714.35
-310.532,-146.198,1722.83
-322.323,-147.729,1725.37
-327.195,-148.135,1725.22
-327.182,-149.193,1729.07
-235.616,-125.776,1566.26
-227.764,-125.174,1562.5
-223.815,-123.849,1558.51
-216.333,-120.982,1557.19
-206.462,-122.808,1560.46
-194.067,-122.781,1561.98
-177.919,-123.067,1568.43
-162.547,-125.829,1572.58
-142.763,-127.027,1585.17
-132.349,-130.546,1600.64
-128.705,-130.016,1608.24
-124.328,-130.499,1617.03
-126.001,-126.741,1628.26
-167.706,-127.9,1683
-176.159,-127.936,1700.75
-176.53,-123.488,1707.37
-179.713,-122.165,1712.72
-176.896,-120.966,1717.92
-174.683,-120.376,1717.35
-44.9959,-142.91,1666.87
-47.3511,-144.218,1666.46
-51.7643,-144.477,1663.07
-58.275,-144.573,1668.25
-77.2168,-143.022,1661.24
-93.8902,-143.448,1656.88
-110.4,-143.282,1648.34
-133.317,-142.302,1646.08
-157.744,-142.127,1641.61
-178.848,-142.743,1638.86
-192.555,-143.648,1638.2
-204.946,-143.824,1639.9
-214.45,-142.897,1639.56
-216.282,-142.663,1639.46
-274.263,-122.733,1590.49
-278.283,-124.698,1575.94
-282.094,-125.282,1559.58
-285.639,-126.301,1546.59
-289.338,-126.544,1542.68
-291.746,-127.093,1536.8
-291.103,-128.441,1534.57
-286.103,-127.866,1537.79
-281.639,-129.624,1550.73
-279.794,-130.626,1560.64
-275.393,-132.582,1567.32
-269.466,-132.445,1574.56
-260.181,-133.172,1592.53
-250.969,-139.014,1623.7
-242.249,-143.4,1652.23
-230.682,-146.455,1685.31
-221.101,-146.807,1703.62
-214.321,-146.157,1713.7
-210.048,-146.427,1724.64
-207.44,-146.535,1730.39
-207.944,-146.047,1733.09
-209.28,-143.751,1733.52
-214.703,-141.86,1732.98
-226.142,-140.681,1731.33
-235.427,-139.846,1732.21
-249.405,-141.532,1733.68
-261.355,-142.01,1734.19
-275.434,-144.735,1740.88
-291.146,-147.605,1741.97
-302.303,-148.824,1744.93
-309.615,-150.313,1748.29
-314.631,-150.693,1749.69
-310.527,-150.727,1748.42
-296.662,-149.654,1743.29
-284.287,-149.932,1740.53
-270.657,-150.439,1737.65
-256.917,-150.228,1735.99
-243.082,-149.487,1733.49
-226.111,-149.482,1730.81
-210.72,-148.04,1727.69
-193.848,-147.035,1716.82
-185.831,-146.629,1707.76
-176.336,-142.981,1690.85
-176.085,-137.673,1671.15
-176.442,-135.055,1657.08
-179.646,-133.466,1636.19
-181.792,-130.778,1620.99
-252.738,-127.876,1558.95
-246.832,-129.52,1562.01
-239.462,-129.549,1571.37
-230.302,-130.475,1591.65
-221.536,-134.245,1609.16
-218.361,-138.065,1627.25
-214.582,-140.872,1636.7
-215.654,-141.654,1638.62
-219.293,-139.217,1638.28
-223.156,-137.474,1634.6
-226.856,-135.706,1626.86
-231.32,-134.741,1617.01
-230.939,-133.404,1608.77
-232.93,-132.186,1598.07
-232.496,-128.884,1589.23
-232.504,-127.179,1582.03
-232.963,-125.96,1574.96
-233.745,-123.795,1565.67
-239.524,-123.1,1557.68
-246.714,-122.672,1554.2
-254.205,-123.825,1552.49
-258.527,-121.907,1552.34
-261.749,-123.45,1561.38
-265.781,-124.748,1569.94
-267.174,-125.353,1576.96
-268.514,-126.74,1589.07
-270.621,-127.923,1603.7
-268.313,-128.687,1621.46
-268.308,-133.392,1651.19
-269.152,-139.483,1675.71
-272.237,-146.208,1718.33
-281.01,-147.788,1745.81
-297.482,-232.643,1723.61
-294.286,-186.052,1742.09
-296.54,-159.866,1740.8
-299.604,-146.863,1735.23
-299.602,-144.818,1715.2
-298.917,-141.239,1690.27
-300.902,-139.474,1664.88
-302.569,-137.339,1637.78
-306.299,-134.407,1613.96
-309.287,-133.655,1594.22
-311.481,-133.121,1580.63
-314.621,-132.584,1571.9
-314.365,-132.58,1566.37
-311.521,-131.984,1561.68
-306.746,-129.963,1557.96
-300.53,-129.301,1557.8
-294.26,-128.839,1557.88
-285.871,-127.239,1564.05
-279.288,-128.238,1573.49
-269.955,-129.155,1584
-254.293,-130.201,1594.72
-240.395,-135.648,1617.91
-230.337,-139.2,1636.08
-215.423,-139.515,1648.52
-209.215,-138.235,1660.65
-205.511,-137.035,1667.5
-203.362,-134.443,1672.69
-272.424,-145.38,1778.78
-273.621,-143.711,1783.13
-274.754,-145.097,1785.47
-270.457,-143.536,1783.42
-267.049,-142.355,1784.49
-254.501,-141.373,1776.97
-241.262,-142.954,1768.66
-229.344,-143.992,1764.18
-217.379,-143.572,1761.79
-211.02,-142.246,1758.13
-206.896,-141.548,1752.62
