x,y,z
-0.121787,-0.00152319,0.992555
-0.153896,0.0253167,0.987763
-0.173199,0.053766,0.983418
-0.175015,0.0752053,0.981689
-0.174776,0.0826634,0.981132
-0.176979,0.0862594,0.980427
-0.174465,0.0897281,0.980567
-0.166512,0.10419,0.980519
-0.13136,0.112448,0.984937
-0.118681,0.116591,0.986064
-0.118691,0.118275,0.985862
-0.135196,0.130158,0.982233
-0.115016,0.145977,0.982579
-0.104055,0.15009,0.983181
-0.0925702,0.145075,0.985081
-0.086874,0.120971,0.988847
-0.0584872,0.112573,0.991921
-0.0347026,0.103784,0.993994
-0.00325151,0.100647,0.994917
0.0301988,0.0933591,0.995174
0.0568069,0.0808508,0.995106
0.0837367,0.0664467,0.99427
0.124377,0.0423909,0.991329
0.179758,0.0233431,0.983434
0.23041,-0.00702764,0.973068
0.285197,-0.0255042,0.958129
0.314693,-0.0167792,0.949045
0.309973,0.00274828,0.950741
0.295599,0.0219046,0.955061
0.304767,0.0433386,0.95144
0.298372,0.0584976,0.952655
0.281426,0.077642,0.956437
0.271206,0.0947736,0.957844
0.274807,0.0986148,0.956429
0.275493,0.10457,0.955599
0.265726,0.106051,0.958198
0.255569,0.0963557,0.961977
-0.153874,0.00941126,0.988046
-0.197699,0.0734099,0.97751
-0.217917,0.129404,0.96735
-0.203207,0.133555,0.969984
-0.172613,0.124951,0.977032
-0.138361,0.0966366,0.985656
-0.106771,0.0299425,0.993833
-0.0616199,-0.0248998,0.997789
-0.0190959,-0.00966445,0.999771
0.0437748,-0.0102936,0.998988
0.0984541,-0.00849359,0.995105
0.146207,0.0048255,0.989242
0.185778,0.0155519,0.982469
0.214696,0.0278819,0.976283
0.252402,0.0153538,0.967501
0.2719,0.00635221,0.962305
0.27702,0.0157103,0.960736
0.244373,0.00462894,0.96967
0.231143,0.00598029,0.972901
0.215242,0.0241173,0.976263
0.211854,0.0392138,0.976514
0.23469,0.0323066,0.971533
0.277346,0.021536,0.960529
0.353689,0.00286874,0.935359
0.411963,0.00108167,0.9112
0.409048,-0.015003,0.912389
0.397735,-0.0369003,0.916758
0.372576,-0.0402883,0.927127
0.327136,-0.0268415,0.944596
0.308848,-0.0181344,0.950938
0.275027,-0.0287024,0.961008
0.246638,-0.0336592,0.968523
0.214147,-0.0416946,0.975911
0.198133,-0.0455414,0.979117
0.182457,-0.0437583,0.98224
0.179764,-0.0470173,0.982585
0.18084,-0.0355202,0.982871
0.169608,-0.0284808,0.9851
0.153988,-0.0292752,0.987639
0.160282,0.00828173,0.987036
0.162838,0.0229267,0.986386
0.161938,0.0276458,0.986414
0.174931,0.0333907,0.984014
0.197207,0.0551932,0.978807
0.217826,0.0691131,0.973537
0.222904,0.070461,0.972291
0.21507,0.0608983,0.974698
0.211975,0.0643516,0.975154
0.184679,0.0772672,0.979757
0.135343,0.0516835,0.98945
-0.0384391,0.120336,0.991989
-0.00917253,0.122239,0.992458
0.0104819,0.122619,0.992399
0.0921828,0.122624,0.988163
0.161466,0.116472,0.979981
0.204613,0.124535,0.970888
0.264313,0.122266,0.956655
0.369038,0.126366,0.920783
0.42246,0.137199,0.895938
0.421579,0.119821,0.89884
0.424176,0.131438,0.89599
0.402546,0.144103,0.903986
0.32065,0.150148,0.935221
0.246987,0.133229,0.959817
0.216571,0.122163,0.968593
0.207295,0.127327,0.969957
0.259172,0.118645,0.958516
0.272148,0.104964,0.956514
0.284971,0.0978962,0.953524
0.290002,0.0623883,0.954991
-0.160143,-0.477871,0.863709
-0.148186,-0.301574,0.941857
-0.103774,-0.215361,0.971005
-0.0598404,-0.213794,0.975044
0.0315766,-0.17618,0.983851
0.0851949,-0.152016,0.984699
0.118584,-0.108167,0.987035
0.145964,-0.06758,0.986979
0.165954,-0.0383246,0.985388
0.196641,0.027823,0.980081
0.207764,0.0948967,0.973565
0.219012,0.196861,0.955656
0.219068,0.261541,0.940003
0.219333,0.32637,0.919443
0.218459,0.375815,0.900577
0.210404,0.384731,0.898728
0.192422,0.377849,0.905651
0.184424,0.366752,0.911856
0.161685,0.240092,0.957191
0.142646,0.14259,0.979449
0.128916,0.049518,0.990418
0.112474,-0.0278916,0.993263
0.101993,-0.108783,0.988819
0.0966339,-0.182349,0.978474
0.111369,-0.228719,0.967101
0.122408,-0.257375,0.958527
0.148866,-0.24829,0.957179
0.216215,-0.223188,0.950494
0.29071,-0.171742,0.941272
0.376068,-0.117374,0.919128
0.491849,-0.0321008,0.870089
0.585743,0.0301473,0.809936
0.737108,0.112018,0.666426
0.852484,0.195127,0.484971
0.899473,0.248207,0.359641
0.913494,0.275576,0.299311
0.901073,0.302994,0.310261
0.79331,0.357428,0.492853
0.70364,0.450121,0.549802
0.625068,0.496039,0.602689
0.589893,0.565747,0.576157
0.572002,0.613405,0.544563
0.48469,0.639374,0.596889
0.418481,0.606589,0.675962
0.365871,0.539921,0.758039
0.342782,0.452366,0.823326
0.274434,0.315591,0.908344
0.195309,0.163592,0.967002
0.108631,0.0612083,0.992196
0.0479256,-0.000119252,0.998851
-0.0366049,-0.0283887,0.998927
-0.101154,-0.0288487,0.994452
-0.141981,-0.000649056,0.989869
-0.173774,0.0471958,0.983654
-0.190702,0.0977197,0.976772
-0.135559,0.149462,0.979431
-0.142676,0.24848,0.958072
-0.14909,0.237278,0.959933
-0.120476,0.215101,0.969132
-0.0583165,0.218713,0.974045
0.0243843,0.20378,0.978713
0.0931984,0.214627,0.972239
0.174625,0.221809,0.959326
0.28884,0.214561,0.933025
0.409744,0.220299,0.8852
0.519631,0.229759,0.822918
0.575052,0.232536,0.784374
0.627233,0.248159,0.738238
0.665892,0.262175,0.698464
0.68113,0.25104,0.68778
0.686289,0.246794,0.684178
0.688008,0.246455,0.682572
0.673731,0.237047,0.699925
0.64115,0.209551,0.738251
0.525966,0.175122,0.832281
0.423337,0.162112,0.89135
0.352466,0.148494,0.923968
0.302391,0.149709,0.941354
0.263151,0.1501,0.953007
0.258703,0.193479,0.946382
0.279402,0.22905,0.932454
0.311133,0.26636,0.912277
0.352455,0.312822,0.881996
0.391556,0.355759,0.848599
0.428503,0.396671,0.811811
0.47847,0.430592,0.765282
0.518115,0.448282,0.728423
0.541612,0.443911,0.713862
0.549878,0.434654,0.71324
0.560067,0.431949,0.706927
0.554617,0.411798,0.723065
0.545348,0.370693,0.751786
0.501823,0.299173,0.811585
0.481431,0.243496,0.841982
0.454961,0.189627,0.870088
0.429714,0.147174,0.89089
0.392742,0.097153,0.914503
0.344157,0.0552429,0.937285
0.306954,0.00818933,0.951689
0.248437,-0.0214385,0.968411
0.20457,-0.0224126,0.978595
0.178835,-0.00415384,0.98387
0.192647,0.0168261,0.981124
0.287822,0.0976155,0.952696
0.380572,0.164034,0.910087
0.467658,0.224815,0.854842
0.567856,0.241876,0.786789
0.687445,0.271591,0.673541
0.814222,0.291236,0.50222
0.896516,0.28977,0.335099
0.919304,0.288077,0.268128
0.916295,0.314542,0.247926
0.915919,0.323184,0.238
0.910558,0.316973,0.265354
0.896663,0.268854,0.351728
0.880029,0.227791,0.416725
0.83933,0.202609,0.504454
0.770694,0.182085,0.610635
0.628553,0.1428,0.764545
0.545013,0.1248,0.829088
0.487174,0.110256,0.866317
0.0452832,0.0828125,0.995536
0.0424297,0.07537,0.996253
0.0493149,0.0734619,0.996078
0.0533849,0.0719289,0.99598
0.0704078,0.0695447,0.995091
0.0903908,0.0673964,0.993623
0.11274,0.0671106,0.991356
0.179998,0.0279161,0.983271
0.252808,-0.034829,0.966889
0.392531,0.0524089,0.918244
0.525181,0.129691,0.84105
0.595275,0.190889,0.780519
0.652881,0.22575,0.723038
0.701544,0.229262,0.674741
0.775836,0.218558,0.591871
0.84834,0.210737,0.485704
0.885261,0.213925,0.412976
0.959909,0.237992,0.148102
0.941301,0.30386,0.147044
0.90175,0.390263,0.185856
0.879402,0.431049,0.20211
0.792419,0.534823,0.293318
0.753221,0.540542,0.374796
0.7458,0.498649,0.441738
0.765,0.475668,0.434184
0.712648,0.417613,0.563677
0.654307,0.386585,0.649949
0.629879,0.361052,0.687673
0.584335,0.335787,0.738783
0.537193,0.302449,0.787368
0.503372,0.272942,0.819829
0.474587,0.239882,0.846891
0.422598,0.194691,0.885159
0.360701,0.149064,0.920693
0.306831,0.0894106,0.947555
0.254751,0.0440158,0.966004
