x,y,z
0.0116977,-0.952902,-0.303053
0.00703188,-0.94662,-0.322274
0.0103728,-0.936351,-0.350912
0.00708549,-0.932377,-0.361417
0.00434908,-0.932291,-0.361682
0.00273562,-0.932653,-0.360764
-0.00876852,-0.933005,-0.359756
-0.0273806,-0.930918,-0.3642
-0.040404,-0.930223,-0.364764
-0.0497414,-0.927682,-0.370042
-0.055778,-0.926264,-0.372726
-0.0617812,-0.921694,-0.382966
-0.0810144,-0.919456,-0.384756
-0.080393,-0.922834,-0.376716
-0.0725284,-0.927814,-0.365924
-0.0542687,-0.930459,-0.362354
-0.0427789,-0.931028,-0.362432
-0.0362524,-0.931182,-0.362748
-0.0282288,-0.933862,-0.356518
-0.026377,-0.935167,-0.353223
-0.0310121,-0.935249,-0.352629
-0.0288078,-0.936046,-0.350696
-0.0291612,-0.935577,-0.351916
-0.0386175,-0.935208,-0.351986
-0.0480017,-0.935633,-0.349696
-0.0540824,-0.938562,-0.340848
-0.0503187,-0.938042,-0.34285
-0.0456314,-0.94017,-0.337637
-0.0465536,-0.943873,-0.327013
-0.0399517,-0.952333,-0.302432
-0.0363335,-0.958307,-0.283421
-0.0354966,-0.963026,-0.267061
-0.0322764,-0.966857,-0.253271
-0.0375747,-0.96903,-0.244067
-0.0373764,-0.970028,-0.240101
-0.0399573,-0.968066,-0.247492
-0.0402118,-0.968048,-0.247518
-0.214399,-0.973112,-0.0841769
-0.229969,-0.968951,-0.0908196
-0.240902,-0.964868,-0.104865
-0.226732,-0.966417,-0.12096
-0.205616,-0.969978,-0.129865
-0.187959,-0.972866,-0.134919
-0.160799,-0.976914,-0.140653
-0.131884,-0.978318,-0.159687
-0.142338,-0.967202,-0.210379
-0.131508,-0.963827,-0.231825
-0.128306,-0.961205,-0.244178
-0.125376,-0.958092,-0.257567
-0.125473,-0.956651,-0.26282
-0.121819,-0.955343,-0.269222
-0.118437,-0.959346,-0.256178
-0.11157,-0.964059,-0.241129
-0.111023,-0.967561,-0.226935
-0.103615,-0.974434,-0.199352
-0.0919297,-0.978366,-0.185333
-0.0802724,-0.981981,-0.171086
-0.0717433,-0.984294,-0.161303
-0.0596341,-0.982502,-0.176446
-0.0553373,-0.981278,-0.184474
-0.0516547,-0.981024,-0.186878
-0.0419664,-0.975642,-0.215317
-0.0343475,-0.975796,-0.215969
-0.0338376,-0.976382,-0.213385
-0.045077,-0.97388,-0.222543
-0.0549806,-0.973579,-0.221631
-0.0706818,-0.973885,-0.215757
-0.0858346,-0.972714,-0.215547
-0.0972699,-0.97327,-0.20805
-0.105409,-0.970977,-0.214694
-0.110429,-0.969299,-0.219691
-0.114504,-0.968335,-0.221845
-0.113291,-0.967048,-0.228
-0.109266,-0.966393,-0.232691
-0.102924,-0.964191,-0.244421
-0.0969235,-0.964243,-0.24666
-0.0840257,-0.96974,-0.229226
-0.0736753,-0.972333,-0.221676
-0.0661472,-0.973598,-0.218476
-0.0547842,-0.971503,-0.230608
-0.0528126,-0.970042,-0.237126
