x,y,z
0.833642,-0.159991,0.528625
0.838564,-0.173513,0.516433
0.859236,-0.178195,0.479543
0.870934,-0.184893,0.45529
0.875554,-0.19056,0.44395
0.875499,-0.195337,0.441978
0.854596,-0.219339,0.470697
0.784028,-0.258506,0.564336
0.684613,-0.300405,0.664125
0.638012,-0.320307,0.700246
0.622014,-0.330971,0.709618
0.615059,-0.340577,0.711133
0.512677,-0.368333,0.775559
0.462993,-0.372682,0.804205
0.45014,-0.368006,0.813601
0.450743,-0.358175,0.817644
0.43403,-0.357766,0.826814
0.418848,-0.353988,0.836217
0.399984,-0.347883,0.847933
0.371713,-0.344456,0.862078
0.34926,-0.344477,0.871409
0.350709,-0.336937,0.873772
0.342368,-0.33398,0.878204
0.333627,-0.331615,0.882454
0.334976,-0.326923,0.883693
0.323193,-0.327316,0.887925
0.324295,-0.334987,0.884656
0.356185,-0.326532,0.875505
0.367185,-0.318177,0.874036
0.337668,-0.301594,0.891639
0.341503,-0.284615,0.895751
0.345909,-0.267505,0.899327
0.365642,-0.256563,0.894696
0.370175,-0.254656,0.893376
0.373922,-0.256859,0.891182
0.410384,-0.264985,0.872564
0.415781,-0.270712,0.86824
0.533135,-0.211212,0.819241
0.569766,-0.230718,0.788756
0.582246,-0.247845,0.774314
0.587916,-0.254269,0.767921
0.597186,-0.252447,0.76134
0.585889,-0.251113,0.770504
0.541986,-0.237317,0.806184
0.502151,-0.229097,0.833882
0.441233,-0.271736,0.855262
0.40356,-0.282445,0.870267
0.351896,-0.294696,0.888439
0.318977,-0.303277,0.897929
0.30491,-0.306456,0.901729
0.306498,-0.304431,0.901877
0.301885,-0.294263,0.906794
0.326665,-0.279383,0.902904
0.354787,-0.263858,0.896942
0.43357,-0.24478,0.867237
0.477739,-0.229606,0.847966
0.545947,-0.219619,0.808523
0.59264,-0.211414,0.777227
0.631089,-0.211502,0.74632
0.6562,-0.210282,0.724695
0.664749,-0.208481,0.717387
0.679263,-0.214164,0.701951
0.661913,-0.2134,0.718562
0.651846,-0.209447,0.728854
0.648295,-0.225307,0.72729
0.625015,-0.228323,0.746475
0.548696,-0.234334,0.802509
0.48217,-0.231697,0.844884
0.436795,-0.226198,0.870658
0.408726,-0.226576,0.884085
0.377824,-0.22729,0.897546
0.368582,-0.228757,0.901009
0.364664,-0.234307,0.901177
0.365197,-0.239576,0.899575
0.373789,-0.244907,0.894596
0.391612,-0.249133,0.885761
0.413952,-0.238552,0.878485
0.429217,-0.235153,0.872053
0.443874,-0.23518,0.864677
0.456179,-0.240637,0.856735
0.454379,-0.245112,0.856423
0.45868,-0.251531,0.852259
0.45143,-0.265662,0.851842
0.447448,-0.275444,0.850835
0.45082,-0.284098,0.846197
0.462812,-0.294339,0.836163
0.474762,-0.302723,0.826414
0.86894,-0.215971,0.445308
0.884992,-0.20836,0.416383
0.901326,-0.200805,0.383782
0.920434,-0.188777,0.342293
0.952986,-0.163362,0.255205
0.967849,-0.148358,0.20312
0.978183,-0.134159,0.158618
0.985335,-0.118997,0.122292
0.987609,-0.112994,0.108904
0.98907,-0.110422,0.0977124
0.986509,-0.115859,0.11566
0.983024,-0.12167,0.137335
0.980691,-0.136053,0.140482
0.973163,-0.151197,0.173475
0.961149,-0.165588,0.220847
0.937834,-0.184442,0.294021
0.862897,-0.211567,0.458964
0.776275,-0.228082,0.587687
0.682503,-0.24102,0.689999
0.60565,-0.248332,0.755989
0.555999,-0.228139,0.799261
0.63716,-0.286639,0.715448
0.612699,-0.32264,0.721459
0.572999,-0.325513,0.752139
0.454073,-0.334869,0.825639
0.376516,-0.339289,0.862043
0.361313,-0.337055,0.869394
0.331702,-0.336576,0.8813
0.310813,-0.338721,0.888067
0.305198,-0.337223,0.890581
0.321146,-0.339419,0.884116
0.326822,-0.347047,0.87906
0.346331,-0.348729,0.870886
0.357769,-0.350449,0.865556
0.37591,-0.351352,0.857463
0.379819,-0.352258,0.855366
0.382383,-0.350693,0.854867
