x,y,z
-0.0573822,-0.982169,0.17903
-0.0768726,-0.973461,0.215555
-0.11823,-0.960073,0.253537
-0.127327,-0.963928,0.233734
-0.189288,-0.958455,0.21339
-0.269713,-0.942089,0.19931
-0.379422,-0.901769,0.207005
-0.425604,-0.882188,0.201509
-0.442208,-0.875524,0.194706
-0.466523,-0.869267,0.163494
-0.567146,-0.813888,0.12622
-0.561982,-0.824457,0.0666865
-0.542795,-0.839492,0.0250501
-0.332036,-0.938812,-0.0915643
-0.3101,-0.942999,-0.120792
-0.283275,-0.945865,-0.158413
-0.265609,-0.944009,-0.195701
-0.269062,-0.925558,-0.26636
-0.2494,-0.925246,-0.285865
-0.255935,-0.912306,-0.319679
-0.24166,-0.91794,-0.314622
-0.228369,-0.935576,-0.269342
-0.25181,-0.942334,-0.220449
-0.271222,-0.94428,-0.186478
-0.280406,-0.949181,-0.142925
-0.287964,-0.947844,-0.136634
-0.277478,-0.951429,-0.133378
-0.267706,-0.951901,-0.149055
-0.260265,-0.950438,-0.170089
-0.284034,-0.948245,-0.141973
-0.305975,-0.944776,-0.117374
-0.321954,-0.94319,-0.0820869
-0.325702,-0.944662,-0.0391432
-0.35725,-0.933307,-0.0362074
-0.345948,-0.938211,-0.00896562
-0.346202,-0.937312,-0.0398861
-0.339521,-0.937806,-0.0724265
-0.220688,-0.975128,0.0205216
-0.221191,-0.974224,0.0443006
-0.252327,-0.965293,0.0673845
-0.273932,-0.954738,0.115919
-0.285046,-0.947275,0.146353
-0.29817,-0.943128,0.146983
-0.263855,-0.959977,0.0939408
-0.333589,-0.942147,0.0328287
-0.350712,-0.935974,-0.0308782
-0.364859,-0.922287,-0.127528
-0.342284,-0.917814,-0.201144
-0.304953,-0.919074,-0.249612
-0.301979,-0.89792,-0.320233
-0.285515,-0.896531,-0.338693
-0.296892,-0.892129,-0.340532
-0.308489,-0.880538,-0.359843
-0.303801,-0.882995,-0.357806
-0.316864,-0.894634,-0.315003
-0.301247,-0.912426,-0.276999
-0.291647,-0.924774,-0.244409
-0.286124,-0.931049,-0.226453
-0.304018,-0.924722,-0.229048
-0.307886,-0.926179,-0.217713
-0.30614,-0.924942,-0.225302
-0.30397,-0.920452,-0.245705
-0.287534,-0.919535,-0.267918
-0.291764,-0.907224,-0.303014
-0.28982,-0.894063,-0.34155
-0.293156,-0.889833,-0.349651
-0.299691,-0.877887,-0.373497
-0.302187,-0.895476,-0.326812
-0.308174,-0.892421,-0.329566
-0.339092,-0.883902,-0.322076
-0.332933,-0.900097,-0.281036
-0.321582,-0.910574,-0.259693
-0.311406,-0.918471,-0.243796
-0.319843,-0.918368,-0.233027
-0.339581,-0.909462,-0.239925
-0.305907,-0.931937,-0.194716
-0.296716,-0.933089,-0.203232
-0.25355,-0.957422,-0.138042
-0.232493,-0.965757,-0.115151
-0.218554,-0.966107,-0.137371
-0.212138,-0.967324,-0.138859
-0.22535,-0.961829,-0.155253
-0.247656,-0.943568,-0.219879
-0.259874,-0.922068,-0.286802
-0.270362,-0.89962,-0.34291
-0.271062,-0.91114,-0.310401
-0.24316,-0.930205,-0.27494
0.0308031,-0.984771,-0.171105
0.00576317,-0.985398,-0.170171
0.0168102,-0.985907,-0.166447
0.0511349,-0.987063,-0.151962
0.0642485,-0.987463,-0.144184
0.0621209,-0.990801,-0.120224
0.0488688,-0.994264,-0.0951418
0.0557578,-0.997188,-0.0500776
0.0542489,-0.998287,-0.0219091
0.017562,-0.999768,-0.0124975
-0.0188653,-0.999729,-0.013671
-0.0557052,-0.998407,-0.00891924
-0.0862231,-0.996258,0.00603613
-0.124288,-0.992162,0.0129561
-0.163835,-0.986456,-0.0079023
-0.190411,-0.981385,-0.025045
-0.218184,-0.974881,-0.0447624
-0.254182,-0.965279,-0.0602282
-0.289145,-0.948452,-0.129743
-0.311858,-0.938114,-0.150621
-0.438046,-0.882475,-0.171326
-0.486993,-0.852556,-0.189699
-0.50808,-0.846519,-0.158934
-0.528,-0.822989,-0.209534
-0.539072,-0.806783,-0.241872
-0.528455,-0.816312,-0.233175
-0.499705,-0.843281,-0.19792
-0.459375,-0.859971,-0.222317
-0.41777,-0.880582,-0.223705
-0.337493,-0.917573,-0.21014
-0.263427,-0.930341,-0.255091
-0.207616,-0.943324,-0.258912
-0.166902,-0.956445,-0.239495
-0.164261,-0.948286,-0.271609
-0.143053,-0.957541,-0.250302
-0.13468,-0.95861,-0.250855
-0.126483,-0.960269,-0.24877
-0.121529,-0.961552,-0.24627
-0.134886,-0.968469,-0.20946
-0.145328,-0.971988,-0.184713
-0.175254,-0.965902,-0.190577
-0.195156,-0.959823,-0.201629
-0.2155,-0.961263,-0.17185
-0.268966,-0.952053,-0.145781
-0.359086,-0.920894,-0.151695
-0.34137,-0.929227,-0.141432
-0.38047,-0.920866,-0.0851323
-0.429269,-0.897716,-0.0991652
-0.480695,-0.876694,-0.0184203
-0.523293,-0.852093,-0.0100848
-0.53476,-0.84264,0.0631681
-0.540628,-0.830403,0.13473
-0.450082,-0.882776,0.134654
-0.428467,-0.893378,0.135246
-0.363715,-0.922062,0.132341
-0.278716,-0.956112,0.0903789
-0.26983,-0.960391,-0.0695812
-0.234243,-0.969453,-0.072743
-0.173903,-0.97966,-0.100118
-0.141356,-0.983069,-0.116593
-0.117803,-0.985526,-0.121902
-0.144084,-0.968289,-0.2041
-0.12646,-0.972183,-0.197151
-0.0900315,-0.974922,-0.203521
-0.077614,-0.9751,-0.207739
-0.0729683,-0.982461,-0.171601
-0.0624922,-0.981939,-0.178581
-0.0862338,-0.978105,-0.189407
-0.109942,-0.970106,-0.216351
-0.133116,-0.957361,-0.256398
-0.136741,-0.954417,-0.26531
-0.178859,-0.934794,-0.30687
-0.18323,-0.93766,-0.295332
-0.177689,-0.948315,-0.262916
-0.165943,-0.956162,-0.241282
-0.0259426,-0.994967,-0.0967847
-0.0164843,-0.997061,-0.0748228
0.0128147,-0.998363,-0.0557357
0.011099,-0.999626,-0.0249983
-0.0233595,-0.999627,0.0141455
-0.0621005,-0.997027,0.0456088
-0.0931539,-0.992388,0.0805462
-0.124115,-0.989289,0.0768317
