x,y,z
-0.972978,-0.104545,0.205874
-0.995076,-0.0988621,-0.00710933
-0.935166,-0.0406047,-0.351874
-0.773688,0.157242,-0.613744
-0.55444,0.239937,-0.796886
0.0411534,0.821026,-0.569405
0.223164,0.821865,-0.524151
0.235697,0.84063,-0.487636
0.220131,0.864018,-0.452786
0.260394,0.873987,-0.410294
0.395089,0.835415,-0.382081
0.401849,0.846641,-0.34888
0.330088,0.89051,-0.313104
-0.126362,0.874268,-0.468709
-0.417585,0.603181,-0.679556
-0.544755,0.338016,-0.767455
-0.598174,0.162768,-0.784662
-0.608707,0.0710904,-0.790204
-0.621768,0.0193366,-0.782963
-0.624884,-0.0229232,-0.780381
-0.617988,-0.0554759,-0.784228
-0.581431,-0.0332233,-0.812917
-0.518678,-0.0231917,-0.854655
-0.45126,-0.0235958,-0.89208
-0.38443,-0.0358162,-0.922459
-0.34006,-0.0499997,-0.939074
-0.32558,-0.0615786,-0.943507
-0.299142,-0.0534475,-0.95271
-0.313807,-0.0458315,-0.94838
-0.35528,-0.0331242,-0.934173
-0.377345,-0.0158667,-0.925937
-0.406892,-0.0108989,-0.913411
-0.405018,0.0443145,-0.913234
-0.410127,0.0420473,-0.911059
-0.438596,0.0583716,-0.896787
-0.46207,0.0694068,-0.884123
-0.510854,0.0576207,-0.857735
-0.974188,-0.162695,-0.156486
-0.982989,-0.169747,-0.0701364
-0.987443,-0.155255,-0.0291771
-0.984042,-0.152589,-0.0915264
-0.962462,-0.1165,-0.24514
-0.887117,-0.12162,-0.445232
-0.881503,0.0442981,-0.470095
-0.781094,-0.0339454,-0.62349
-0.706143,-0.056438,-0.705816
-0.613458,-0.0541265,-0.78787
-0.574581,-0.0575064,-0.816425
-0.548966,-0.0509942,-0.834287
-0.521264,-0.0395828,-0.852477
-0.484405,-0.0168101,-0.874682
-0.452709,-0.0206512,-0.891419
-0.420784,-0.0372925,-0.906394
-0.401547,-0.0582524,-0.913984
-0.354844,-0.0462108,-0.933783
-0.379638,-0.0333918,-0.924532
-0.402882,-0.0439693,-0.914195
-0.409433,-0.0560351,-0.910618
-0.422391,-0.0588164,-0.904503
-0.425691,-0.0630782,-0.902667
-0.42919,-0.0771071,-0.899917
-0.357257,-0.0251683,-0.933667
-0.345057,0.0249119,-0.938251
-0.321371,0.0397397,-0.946119
-0.322331,0.0235446,-0.946334
-0.300877,0.0612919,-0.951691
-0.341993,0.0421546,-0.938756
-0.338724,0.086853,-0.936869
-0.355485,0.0491759,-0.933388
-0.34437,0.0596925,-0.936934
-0.368874,0.0655992,-0.927162
-0.396699,0.0590954,-0.916045
-0.419097,0.0428227,-0.906931
-0.432797,0.0387126,-0.90066
-0.467615,0.0413111,-0.882966
-0.531917,0.0100967,-0.846736
-0.57855,-0.0171069,-0.815468
-0.604963,0.00278578,-0.796249
-0.613678,0.0052181,-0.789539
-0.62328,-0.0246844,-0.781609
-0.614323,-0.00625432,-0.78903
-0.603434,0.00877133,-0.797365
-0.603666,-0.0216,-0.796944
-0.617285,-0.0619331,-0.784298
-0.62329,-0.0571919,-0.779896
-0.623935,-0.0264469,-0.781029
-0.653301,-0.0382686,-0.756131
-0.927786,-0.0265103,0.372169
-0.913953,-0.018071,0.405418
-0.91936,-0.0292957,0.392325
-0.902115,-0.0344967,0.430114
-0.914856,-0.00217578,0.403774
-0.927942,-0.00423322,0.3727
-0.949302,-0.0128708,0.314103
-0.97772,0.0250049,0.20842
-0.989189,0.0431335,0.140159
-0.996631,0.0123871,0.0810691
-0.99842,0.00102143,0.0561746
-0.999432,0.0207735,0.0265528
-0.975557,0.103416,-0.193891
-0.905495,0.146809,-0.398153
-0.79262,0.162392,-0.587692
-0.718063,0.159737,-0.677399
-0.757214,0.0973324,-0.645873
-0.706582,0.0711615,-0.704045
-0.637184,0.00674543,-0.770683
-0.606807,-0.0189411,-0.794624
0.00373938,-0.238424,-0.971154
0.046462,-0.107468,-0.993122
0.0194159,0.0148734,-0.999701
-0.0110856,0.12328,-0.99231
