x,y,z
-0.0166725,-0.963978,-0.265459
-0.0220101,-0.957943,-0.286112
-0.0213479,-0.949049,-0.314406
-0.0240345,-0.941435,-0.336338
-0.0288803,-0.937926,-0.345632
-0.0311744,-0.935581,-0.351734
-0.0413597,-0.93229,-0.35934
-0.050059,-0.932527,-0.357613
-0.0598129,-0.931206,-0.359553
-0.0663993,-0.928878,-0.364386
-0.0742322,-0.927118,-0.367343
-0.0799931,-0.924203,-0.373429
-0.0886354,-0.921184,-0.378898
-0.0871737,-0.922059,-0.377106
-0.0835294,-0.924489,-0.371945
-0.0689016,-0.927198,-0.368179
-0.0605323,-0.927274,-0.369457
-0.0522545,-0.928758,-0.366986
-0.0448931,-0.931491,-0.360985
-0.0454359,-0.934254,-0.353701
-0.0438668,-0.934965,-0.352017
-0.0417792,-0.937735,-0.34483
-0.0397368,-0.939002,-0.341608
-0.0404391,-0.94026,-0.338047
-0.0461752,-0.942447,-0.331153
-0.0526614,-0.943047,-0.328465
-0.0538899,-0.940222,-0.33627
-0.0496058,-0.942242,-0.331238
-0.0481123,-0.944914,-0.323765
-0.0453449,-0.95139,-0.304631
-0.0398923,-0.956578,-0.288732
-0.037026,-0.961642,-0.271799
-0.0347135,-0.964348,-0.262349
-0.0350431,-0.964836,-0.260505
-0.0352703,-0.964128,-0.263083
-0.0343454,-0.960663,-0.275584
-0.0367568,-0.958894,-0.281374
-0.212567,-0.970714,-0.111931
-0.22808,-0.966472,-0.117945
-0.236274,-0.962879,-0.130534
-0.226073,-0.963134,-0.145824
-0.208049,-0.965447,-0.156933
-0.196866,-0.966402,-0.16526
-0.173145,-0.970252,-0.16921
-0.146911,-0.972854,-0.178809
-0.148859,-0.962012,-0.228854
-0.135014,-0.959131,-0.248676
-0.129696,-0.955343,-0.265517
-0.122178,-0.952673,-0.278363
-0.120215,-0.951627,-0.282763
-0.11345,-0.952407,-0.28293
-0.109286,-0.955583,-0.273711
-0.106338,-0.960111,-0.258611
-0.0999045,-0.964557,-0.24423
-0.0923732,-0.969402,-0.227434
-0.0821562,-0.972688,-0.21709
-0.0743263,-0.973923,-0.214357
-0.0678871,-0.974617,-0.21334
-0.0574711,-0.972216,-0.22692
-0.0517469,-0.970666,-0.234797
-0.0449952,-0.969702,-0.240112
-0.0345681,-0.964749,-0.260891
-0.026933,-0.964771,-0.261708
-0.0231262,-0.966147,-0.256953
-0.0366463,-0.963341,-0.265766
-0.0473012,-0.965589,-0.255737
-0.0614184,-0.968619,-0.240844
-0.0730061,-0.971666,-0.2248
-0.086245,-0.973941,-0.209763
-0.0934737,-0.973992,-0.206402
-0.0967263,-0.973785,-0.205879
-0.104821,-0.973295,-0.204229
-0.111552,-0.971845,-0.20754
-0.110735,-0.970637,-0.213546
-0.105525,-0.969476,-0.221314
-0.109605,-0.968424,-0.223923
-0.0971768,-0.971118,-0.217915
-0.0923332,-0.971879,-0.216625
-0.0871959,-0.971702,-0.219527
-0.0715988,-0.969548,-0.234199
-0.0648903,-0.967953,-0.242603
