x,y,z
-524.596,398.738,1242.16
-519.14,402.664,1246.29
-514.069,407.952,1251.88
-501.974,410.4,1256.93
-490.817,410.92,1260.99
-481.604,410.287,1263.65
-473.135,409.918,1264.72
-467.746,410.069,1263.31
-462.858,410.043,1262.49
-460.941,410.29,1261.39
-461.704,410.074,1258.59
-467.013,410.598,1254.23
-474.689,410.286,1249.43
-489.154,409.823,1241.76
-502.24,410.437,1232.51
-522.138,406.389,1222.2
-540.549,403.348,1213.4
-555.791,401.333,1204.84
-569.099,397.86,1195.81
-580.986,395.01,1189.27
-592.496,392.225,1185.29
-598.782,391.907,1182.65
-602.712,391.896,1181.69
-602.368,392.696,1184.08
-600.869,392.935,1186.89
-596.08,393.633,1193.84
-590.751,393.892,1203.93
-585.187,394.282,1214.39
-577.068,395.806,1227.66
-569.902,396.503,1239.57
-562.714,395.199,1250.14
-556.359,393.151,1261.32
-553.235,389.829,1271.93
-546.063,384.855,1279.63
-541.585,379.715,1287.41
-536.21,369.759,1295.11
-536.06,366.187,1294.82
-542.473,336.463,1260.67
-534.424,341.453,1276.8
-532.196,348.266,1290.19
-533.846,352.898,1299.72
-541.005,357.402,1305.61
-552.614,357.265,1304
-565.417,356.988,1301.69
-579.867,356.577,1294.96
-596.792,357.244,1287.96
-608.636,358.508,1278.83
-617.716,359.844,1272.28
-623.24,360.819,1270.3
-627.356,362.596,1271.93
-628.973,363.363,1278.26
-630.206,362.438,1284.85
-629.945,362.121,1293.66
-622.358,361.127,1306.24
-615.801,358.708,1324.12
-612.289,356.305,1339.94
-604.843,354.88,1357.75
-600.544,354.202,1368.69
-597.676,354.811,1380.03
-595.206,356.247,1387.43
-595.634,357.05,1391.15
-607.075,358.246,1393.44
-617.675,361.621,1390.65
-629.104,363.238,1387.13
-636.911,364.251,1383.79
-647.644,367.447,1378
-659.393,370.643,1372.23
-666.385,372.706,1367.72
-671.891,375.307,1364.79
-676.428,377.597,1367.98
-673.672,380.508,1372.82
-668.365,382.102,1380.52
-664.103,383.495,1388.38
-656.985,386.711,1396.93
