x,y,z
-599.938,209.633,981.837
-582.224,209.146,972.894
-568.825,209.621,967.011
-556.856,206.428,962.835
-546.665,204.108,959.463
-540.676,202.715,955.315
-535.637,202.735,951.45
-534.069,200.83,947.516
-529.728,200.815,942.906
-526.22,202.15,938.937
-526.657,204.125,931.88
-528.957,202.841,923.491
-529.358,204.717,916.54
-538.915,204.556,908.209
-552.326,203.458,898.932
-574.029,201.243,890.951
-598.691,201.694,883.047
-618.748,198.107,875.394
-641.921,195.474,868.846
-660.29,192.373,864.608
-678.838,190.945,862.638
-694.062,191.539,861.923
-706.462,192.505,866.053
-727.767,195.638,876.166
-742.459,199.329,888.406
-750.295,203.339,906.639
-751.019,201.667,920.5
-745.756,200.24,932.871
-732.432,195.208,945.314
-718.525,186.28,960.876
-707.375,176.553,974.201
-697.265,168.577,987.695
-692.392,162.134,998.559
-687.017,152.812,1009.15
-682.047,147.25,1019.68
-677.385,140.704,1030.18
-676.039,140.191,1029.73
-623.422,140.409,984.012
-605.197,139.442,1003.51
-594.277,143.445,1019.41
-593.161,147.184,1025.24
-609.075,150.161,1027.7
-629.194,150.844,1024.57
-647.883,156.8,1016.66
-666.47,162.461,1005.34
-694.78,163.925,996.818
-717.867,165.905,987.608
-735.586,164.626,981.618
-749.608,162.317,978.884
-762.15,159.133,983.951
-773.062,156.804,991.862
-781.201,157.845,1003.57
-786.597,156.53,1016.91
-782.872,153.992,1037.91
-776.297,147.845,1063.37
-770.658,141.98,1083.73
-762.227,138.906,1107.94
-759.545,137.304,1127
-765.143,140.28,1146.66
-778.206,146.385,1165.86
-792.09,149.276,1183.79
-811.775,154.041,1198.98
-819.676,158.876,1193.25
-825.481,161.975,1187.04
-830.015,162.484,1180.3
-834.638,164.47,1164.63
-837.334,166.906,1144.72
-835.871,169.257,1125.94
-831.175,174.398,1109.13
-824.725,177.79,1097.53
-817.299,180.946,1094.92
-810.256,181.829,1097.22
-804.823,185.976,1102.36
-798.234,189.36,1110.43
-788.694,191.795,1123
-778.346,189.808,1140.08
-769.19,181.59,1156.62
-761.326,180.142,1173.47
-758.101,179.532,1187.28
-760.288,178.49,1199.58
-763.96,176.698,1209.28
-773.364,176.257,1218.15
-781.991,177.802,1220.01
-788.564,177.403,1223.7
-796.16,175.462,1226.04
-803.596,175.412,1223.8
-808.212,179.746,1214.2
-843.463,176.054,1265.44
-846.079,175.106,1284.17
-849.55,176.639,1302.82
-860.33,175.579,1329.45
-867.566,173.956,1353.62
-872.229,172.204,1372.13
-876.434,171.363,1393.62
-880.775,167.345,1411.72
-882.126,165.238,1421.19
-883.765,167.032,1419.29
-890.102,167.671,1414.3
-890.837,163.952,1404.24
-891.25,164.179,1385.44
-889.027,166.094,1363.68
-888.933,167.203,1340.84
-890.876,166.752,1320.36
-892.464,166.577,1302.42
-889.479,167.382,1278.53
-886.783,169.307,1258.11
-881.256,174.85,1237.33
-747.641,230.358,1142.59
-759.761,237.989,1154.62
-770.111,238.516,1167.07
-776.467,243.171,1175.36
-783.865,237.733,1174.43
-789.573,233.695,1177.53
-796.367,222.766,1174.1
-802.515,212.97,1173.23
-807.256,202.975,1174.93
-816.259,190.24,1173.48
-822.186,174.428,1171.58
-827.975,157.686,1169.01
-836.07,142.437,1166.31
-841.344,130.982,1162.86
-848.314,121.325,1158.9
-852.295,119.499,1151.56
-854.942,120.871,1143.58
-860.6,121.464,1136.92
-860.691,139.434,1123.08
-862.089,161.928,1112.73
-862.434,187.234,1103.12
-861.224,210.599,1098.12
-860.158,232.773,1100.14
-857.758,250.362,1110.64
-856.479,260.855,1122.5
-854.912,262.97,1135.29
-857.471,256.373,1149.83
-860.034,243.352,1168.45
-869.25,227.624,1193.33
-882.908,210.52,1225.88
-895.854,194.685,1261.58
-905.482,179.079,1295.75
-914.458,170.555,1325.8
-922.484,164.694,1350.25
-927.873,160.294,1365.17
-924.729,154.262,1370.86
-916.286,150.621,1368.47
-898.545,143.004,1334.93
-883.584,132.11,1316.95
-867.613,119.754,1296.67
-850.404,104.744,1278.98
-842.356,95.4936,1264.86
-837.84,88.2287,1241.12
-836.35,93.7626,1211.47
-840.517,104.699,1176.6
-844.216,119.259,1149.03
-841.958,142.879,1117.22
-835.894,165.304,1086.89
-821.11,186.494,1061.54
-800.514,204.026,1042.54
-775.246,217.183,1034.75
-753.869,222.453,1034.19
-734.035,225.541,1038.66
-714.583,220.222,1051.44
-693.748,214.158,1065.01
-678.072,152.638,1147.56
-687.131,147.687,1163.93
-706.461,145.897,1176.42
-726.782,146.865,1185.75
-754.343,144.757,1195.61
-787.234,145.878,1205.56
-814.185,146.932,1213.23
-838.698,147.558,1221.36
-863.812,151.866,1225.76
-886.875,154.793,1231.72
-907.832,157.056,1237.1
-923.277,156.01,1237.79
-937.852,154.116,1238.35
-947.322,151.577,1234.64
-958.815,151.136,1227.88
-968.478,150.684,1219.44
-972.059,149.718,1212.97
-970.609,149.217,1203.19
-964.07,151.44,1192.58
-949.858,152.985,1174.54
-931.84,156.31,1160.08
-911.608,160.452,1148.59
-896.879,161.317,1144.32
-883.404,161.764,1144.52
-874.836,156.536,1158.73
-872.759,152.196,1172.61
-873.969,145.818,1194.19
-875.2,136.751,1216.87
-877.04,130.058,1239.73
-878.226,126.023,1257.98
-879.629,122.502,1275.75
-881.172,121.793,1289.01
-884.712,122.116,1293.97
-887.718,124.19,1291.47
-889.956,130.422,1287.14
-888.46,136.922,1276.05
-890.158,142.922,1256.97
-887.804,152.32,1233.79
-886.234,162.64,1207.38
-883.464,169.488,1184.21
-879.643,176.337,1163.06
-874.33,181.758,1143.75
-866.808,190.193,1123.47
-858.023,198.615,1103.9
-845.576,202.91,1089.32
-829.007,202.479,1080.01
-817.646,198.183,1079.59
-809.101,192.441,1094.97
-811.251,175.784,1129.21
-815.845,163.68,1177.26
-820.515,155.299,1218.57
-828.692,150.06,1259.36
-836.539,145.501,1314.28
-844.948,143.764,1359.77
-852.099,127.855,1401.04
-872.524,124.053,1429.35
-886.459,129.25,1439.27
-899.282,127.851,1444.08
-917.254,125.595,1437.18
-927.779,134.76,1421.19
-933.192,134.731,1408.83
-938.073,146.08,1386.88
-931.994,151.634,1362.64
-920.062,158.292,1312.68
-909.318,159.996,1289.1
-897.12,160.344,1269.98
-751.519,186.968,1051.24
-754.092,187.258,1046.3
-756.34,187.222,1044.44
-757.733,185.941,1048.52
-761.914,182.544,1055.76
-767.477,180.712,1064.26
-777.437,180.08,1081.28
-788.337,181.914,1107.31
-802.929,187.771,1146.89
-821.363,175.531,1195.66
-834.379,161.363,1254.35
-840.509,156.422,1298.28
-842.81,154.97,1329.8
-848.704,158.237,1357.33
-856.232,157.332,1386.1
-866.47,160.231,1410.47
-879.942,162.606,1427.33
-908.818,133.795,1495.74
-896.426,126.505,1496.93
-871.881,118.928,1489.32
-844.515,107.929,1485.18
-814.236,104.494,1465.7
-796.318,106.845,1447.54
-779.752,112.705,1427.09
-763.686,122.145,1410.42
-749.258,130.317,1371.9
