x,y,z
-585.991,429.221,1005.51
-569.27,429.862,999.45
-563.39,429.343,1000.85
-549.383,427.147,988.095
-539.37,424.891,982.678
-535.555,422.818,982.305
-533.172,422.626,979.632
-528.65,423.059,970.721
-524.123,423.367,965.049
-519.569,424.913,959.03
-516.944,426.472,954.989
-515.005,426.218,945.178
-518.6,429.085,938.818
-531.98,428.053,929.467
-546.321,425.995,922.355
-569.999,423.48,907.021
-598.241,423.52,892.649
-621.814,420.399,883.824
-647.315,417.573,871.253
-665.82,414.289,863.112
-681.807,412.614,860.591
-694.668,412.557,861.74
-707.097,410.84,877.966
-718.278,414.306,892.657
-729.074,416.982,910.066
-733.648,420.184,929.553
-738.253,417.425,948.211
-736.979,416.487,958.635
-727.21,414.063,965.111
-712.833,405.884,968.159
-700.572,396.184,971.934
-692.172,388.265,976.885
-684.516,383.352,981.008
-679.258,373.477,989.42
-675.878,366.137,996.281
-679.991,358.074,1006.52
-682.168,357.473,1007.44
-617.444,352.234,999.052
-605.719,346.874,1014.38
-596.98,343.481,1030.47
-593.792,343.896,1035.53
-602.213,345.713,1037.8
-618.269,348.625,1040.01
-631.911,364.104,1040.44
-648.546,375.026,1031.2
-677.004,378.244,1017.87
-700.645,382.481,1003.89
-721.332,383.923,995.064
-734.294,383.542,990.015
-752.151,379.847,988.872
-766.618,379.481,991.797
-775.342,380.254,1001.74
-781.344,378.292,1013.02
-782.511,373.454,1032.09
-779.792,368.425,1055.14
-776.214,363.032,1075.93
-771.858,354.978,1100.08
-771.053,349.542,1111.54
-776.486,350.655,1127.7
-788.835,356.976,1140.8
-807.563,357.367,1155.44
-843.252,359.977,1174.03
-857.212,369.54,1176.02
-860.183,377.67,1174.25
-859.659,382.292,1171.99
-861.69,384.228,1158.79
-863.06,385.774,1139.34
-855.292,387.015,1125.68
-850.046,392.292,1108.97
-840.502,394.15,1108.6
-830.447,400.075,1106.37
-822.553,403.163,1107.03
-815.324,407.828,1110.14
-805.379,412.462,1117.54
-797.911,413.491,1130.27
-783.891,413.572,1145.59
-777.097,403.141,1164.44
-769.221,400.103,1181.17
-770.861,397.941,1193.96
-775.842,396.016,1204.76
-781.736,391.643,1210.68
-792.948,388.69,1216.01
-804.214,391.848,1219.96
-815.092,392.271,1223.76
-821.761,390.274,1223.89
-829.026,390.497,1222.9
-829.977,398.875,1218.02
-882.55,384.386,1279.41
-888.691,382.948,1296.82
-897.706,384.115,1313.26
-909.464,383.687,1339.29
-916.208,381.949,1362
-922.335,381.861,1380.02
-932.955,376.243,1397.28
-937.068,372.706,1413.44
-941.357,369.307,1421.96
-947.909,371.067,1423.8
-950.111,377.559,1421.01
-950.779,375.01,1412.65
