x,y,z
-448.174,-112.042,1160.21
-445.619,-105.939,1152.32
-441.502,-98.4689,1143.35
-435.754,-95.2171,1137.51
-430.102,-94.7328,1135.11
-425.342,-96.0867,1133.25
-423.946,-96.3776,1128.47
-424.108,-95.9127,1120.32
-421.078,-95.6595,1113.05
-421.656,-95.0426,1108.2
-424.747,-94.5664,1103.63
-431.162,-92.5542,1094.44
-437.101,-90.942,1085.22
-446.874,-92.0023,1078.39
-457.18,-92.0111,1070.27
-470.108,-96.4087,1057.27
-482.615,-98.8458,1048.61
-494.693,-101.179,1040.79
-509.037,-106.71,1034.66
-520.497,-111.16,1031.02
-531.1,-113.909,1029.41
-539.142,-116.074,1030.15
-543.878,-116.736,1031.56
-545.736,-116.478,1034.94
-547.807,-116.993,1041.84
-544.298,-116.333,1052.75
-538.923,-114.73,1064.08
-532.477,-115.108,1078.03
-523.364,-115.39,1097.24
-512.85,-117.43,1117.75
-503.177,-121.632,1137.18
-496.462,-125.37,1155.24
-493.309,-129.21,1171.99
-490.009,-135.416,1183.38
-487.371,-140.887,1191.1
-484.732,-150.298,1196.15
-485.514,-153.112,1195.29
-593.396,-194.197,1240.7
-592.194,-188.073,1258.18
-591.967,-179.071,1268.72
-588.407,-174.553,1274.29
-585.019,-171.552,1272.9
-585.105,-170.858,1265.11
-586.417,-172.609,1258.02
-587.497,-174.474,1242.78
-600.248,-168.333,1217.12
-607.649,-166.436,1196.04
-612.494,-164.413,1180.36
-616.895,-163.049,1170.37
-620.492,-161.214,1168.87
-620.395,-159.337,1175.84
-618.688,-161.092,1186.68
-616.586,-163.293,1201.41
-599.719,-162.358,1224.47
-588.184,-164.857,1254.73
-578.532,-166.793,1277.35
-569.25,-169.105,1300.45
-562.95,-170.255,1315.26
-558.552,-169.213,1324.84
-556.689,-167.799,1331.02
-555.002,-166.731,1333.85
-559.839,-163.147,1325.63
-565.674,-159.533,1320.38
-573.951,-158.58,1314.57
-587.576,-156.724,1306.76
-600.153,-153.042,1304.73
-612.847,-150.184,1302.74
-622.943,-148.932,1299.95
-632.707,-148.184,1298.59
-638.09,-145.967,1297.89
-639.885,-143.528,1302
-640.094,-141.891,1307.32
-637.882,-140.172,1312.27
-630.917,-136.277,1320.04
-622.324,-134.033,1332.4
-612.792,-134.006,1350.95
-600.848,-135.391,1367.3
-591.115,-136.133,1380.37
-586.352,-136.912,1389.67
-580.759,-137.197,1395.11
-579.022,-135.797,1399.32
-579.41,-135.316,1401.76
-582.101,-132.691,1400.93
-587.943,-131.57,1399.74
-595.427,-130.126,1396.76
-611.736,-129.139,1395.31
-626.323,-128.104,1387.12
-672.237,-113.293,1406.44
-649.972,-125.348,1429.77
-645.773,-120.088,1435.14
-642.145,-116.568,1446.75
-638.944,-116.389,1459.27
-635.044,-115.546,1466.71
-629.926,-117.267,1473.46
-624.326,-118.399,1482.7
-621.264,-118.504,1485.8
-622.922,-120.477,1482.32
-625.948,-120.563,1479.5
-633.602,-123.256,1469.71
-640.727,-122.674,1459.6
-649.458,-121.655,1446.84
-660.701,-124.469,1431.62
-667.689,-126.669,1422.28
-666.022,-127.098,1411.83
-667.512,-130.234,1405.12
-665.777,-132.811,1397.79
-663.652,-133.21,1389.55
-656.85,-164.141,1333.52
-644.726,-139.115,1334.57
-638.741,-126.754,1335.1
-630.724,-122.726,1341.36
-622.725,-122.615,1342.53
-620.531,-121.938,1344.21
-619.158,-121.382,1341.44
-621.305,-121.665,1336.8
-627.424,-122.095,1333.02
-631.816,-121.368,1324.45
-641.203,-121.751,1317.58
-650.791,-121.127,1308.63
-660.688,-121.495,1302.01
-670.42,-122.45,1292.71
-682.725,-123.279,1285.94
-691.597,-124.896,1280.72
-698.02,-126.324,1277.98
-701.497,-127.713,1274.93
-702.308,-128.347,1274.25
-702.659,-128.667,1273.69
-700.17,-127.969,1272.45
-695.563,-126.58,1277.51
-690.877,-124.883,1281.43
-685.687,-121.223,1286.83
-673.884,-119.441,1297.36
-666.435,-120.133,1311.69
-655.594,-119.618,1326.96
-642.033,-122.685,1339.95
-636.766,-124.365,1353.86
-634.881,-125.521,1366.51
-631.229,-124.344,1374.42
-626.842,-123.569,1379.01
-623.726,-123.521,1380.26
-620.731,-122.893,1379.14
-619.718,-120.143,1374.63
-620.645,-120.908,1369.6
-621.13,-120.282,1364.85
-621.739,-117.878,1352.31
-625.568,-115.912,1342.82
-631.365,-115.125,1333.12
-632.448,-113.106,1314.42
-635.005,-113.235,1303.4
-640.039,-112.126,1287.53
-647.589,-111.044,1270.96
-657.88,-113.731,1257.54
-664.052,-115.836,1244.75
-670.232,-117.246,1234.42
-671.001,-118.741,1227.86
-671.682,-120.359,1221.6
-671.292,-122.216,1220.02
-670.273,-122.691,1219.32
