x,y,z
-574.062,208.593,1168.8
-569.207,215.11,1164.75
-563.933,222.574,1162.83
-554.469,227.422,1162.7
-545.835,229.587,1165.15
-538.569,229.739,1166.26
-531.664,231.051,1164.17
-524.879,234.181,1155.45
-515.514,236.943,1146.24
-512.829,239.013,1141.56
-514.083,239.745,1138.13
-519.009,241.824,1131.56
-520.957,243.229,1122.91
-531.779,241.782,1116.24
-543.401,241.742,1107.83
-560.346,237.05,1096.19
-575.472,233.641,1086.75
-588.236,231.7,1076.56
-601.723,227.655,1068.58
-612.109,223.741,1062.24
-622.733,220.857,1058.9
-630.551,219.323,1057.04
-634.783,219.103,1056.49
-636.438,219.681,1060.75
-637.378,219.54,1066.48
-632.915,219.938,1076.5
-627.687,220.785,1088.13
-623.418,220.039,1100.22
-615.402,219.327,1115.38
-605.23,217.342,1129.39
-597.454,212.785,1143.14
-591.588,209.281,1156.75
-589.407,205.363,1170.31
-584.514,200.072,1180.38
-581.096,195.171,1189.14
-579.146,185.971,1198.11
-579.532,182.918,1198.65
-621.446,149.035,1184.67
-617.876,155.482,1202.32
-618.156,164.548,1216.58
-618.49,168.788,1225.05
-622.512,171.792,1228.69
-629.091,171.862,1225.62
-636.436,170.417,1221.6
-645.008,168.496,1211.45
-658.272,173.559,1200.09
-667.502,176.431,1186.59
-672.284,178.475,1175.55
-676.416,180.444,1169.29
-680.126,182.363,1169.25
-681.996,183.9,1175.51
-681.922,181.869,1183.68
-681.995,179.524,1195.08
-673.4,176.747,1213.17
-668.952,172.266,1239.08
-665.619,168.388,1259.76
-661.138,165.071,1284.1
-658.825,163.014,1300.07
-657.817,163.435,1313.61
-657.31,165.131,1323.14
-657.875,165.759,1328.25
-667.077,168.555,1327.73
-674.163,171.849,1322.99
-683.032,173.097,1317.63
-692.671,175.663,1311.93
-702.283,179.51,1305.08
-709.604,182.78,1296.19
-714.653,184.986,1287.23
-718.886,187.011,1280.91
-722.025,189.392,1279.04
-719.755,193.147,1281.39
-716.159,196.235,1287.24
-712.016,198.373,1293.7
-705.055,202.149,1302.19
-698.034,204.24,1316.81
-688.238,203.721,1334.64
-679.264,202.618,1350.2
-671.795,201.864,1365.14
-668.925,201.177,1377.07
-668.555,199.774,1387.3
-669.499,200.332,1394.23
-672.196,199.858,1399.95
-677.15,200.867,1403.18
-685.505,200.895,1406.65
-693.876,201.625,1406.89
-708.298,202.704,1407.32
-721.589,204.038,1402.54
-787.827,204.869,1431.87
-767.63,189.238,1450.26
-765.004,194.582,1459.78
-759.336,197.635,1471.75
-757.155,198.236,1485.37
-753.417,199.829,1492.61
-747.796,199.187,1502.6
-741.548,199.984,1514.2
-739.751,200.845,1518.46
-741.319,199.675,1515.5
-743.214,200.454,1512.38
-748.584,199.965,1505.78
-755.034,201.172,1499.46
-762.289,201.954,1488.6
-770.181,201.098,1473.27
-774.997,200.057,1457.31
-772.373,199.821,1441.57
-770.445,200.609,1423.78
-765.909,200.033,1408.22
-760.206,201.25,1395.32
-718.487,174.137,1309.68
-725.065,195.056,1339.41
-724.808,205.285,1353.77
-721.217,208.972,1361.04
-713.688,209.646,1362.66
-711.66,210.875,1364.15
-714.244,210.381,1362.41
-716.618,210.262,1358.7
-721.018,210.357,1355.73
-727.275,210.721,1350.18
-736.729,210.463,1344.71
