x,y,z
-471.99,231.157,1223.63
-468.432,235.641,1224.79
-463.859,241.131,1225.88
-454.89,243.338,1228.16
-445.539,243.697,1231.01
-438.008,242.41,1232.77
-432.089,241.071,1232.9
-430.055,240.525,1230.61
-427.746,239.596,1228.53
-427.533,239.614,1226.46
-429.017,239.495,1223.15
-434.197,240.43,1216.94
-442.989,240.198,1211.9
-455.591,239.292,1204.78
-467.428,239.816,1196.25
-484.378,235.67,1185.21
-500.945,232.853,1176.48
-515.699,230.882,1168.36
-529.905,226.919,1160.71
-542.021,223.447,1154.94
-553.919,221.026,1151.59
-561.274,220.156,1149.32
-565.93,220.205,1148.83
-566.815,221.176,1151.1
-566.693,221.642,1155.12
-562.378,222.52,1163.87
-556.894,223.275,1174.6
-550.672,223.498,1186.08
-542.4,223.885,1201.53
-534.592,223.587,1216.79
-526.721,220.874,1230.44
-520.553,218.802,1244.04
-516.951,215.942,1256.79
-511.254,210.439,1266.22
-507.142,205.07,1274.35
-502.036,195.03,1280.98
-501.87,191.608,1280.83
-540.882,157.253,1275.1
-534.605,162.141,1290.63
-532.898,169.915,1302.6
-532.744,174.128,1310.33
-536.114,177.677,1313.26
-543.145,178.442,1309.94
-552.055,178.009,1305.87
-562.327,176.884,1295.69
-578.209,178.919,1282.75
-589.417,180.323,1270.05
-597.998,181.295,1261.13
-604.742,182.058,1256.87
-609.532,183.617,1257.57
-611.317,185.623,1263.67
-611.611,184.735,1271.92
-609.974,183.849,1282.6
-599.98,184.599,1298.71
-590.293,183.006,1320.71
-583.982,181.397,1338.65
-574.431,179.322,1358.25
-568.608,178.272,1370.61
-564.443,178.731,1380.5
-561.473,180.142,1386.92
-561.02,180.951,1389.99
-569.186,183.507,1388.21
-577.673,187.005,1385.14
-587.429,188.467,1381.36
-597.336,189.478,1376.58
-609.002,193.288,1372.19
-622.063,196.326,1367.89
-632.14,198.507,1363.44
-639.995,200.365,1361.08
-645.723,202.607,1361.95
-645.556,205.583,1366.23
-642.233,207.714,1372.69
-638.108,209.151,1379.09
-630.89,212.599,1387.02
-623.295,214.352,1401.31
-612.303,213.82,1418.25
