x,y,z
-180.029,256.903,1217.1
-179.627,257.379,1232.23
-178.594,257.848,1246.19
-174.911,251.571,1260.91
-173.376,246.913,1274.49
-190.767,193.379,1293.22
-206.047,169.777,1307.17
-214.408,154.372,1315.03
-220.265,142.53,1321.77
-229.893,133.292,1322.82
-251.236,136.097,1319.94
-259.199,134.044,1312.77
-265.109,130.711,1309.26
-232.359,172.261,1305.62
-228.69,199.846,1307.98
-235.818,212.206,1311.82
-246.587,219.477,1312.96
-257.345,223.66,1310.91
-272.174,222.831,1310.06
-288.354,222.005,1308.57
-301.651,224.983,1310.87
-310.94,225.372,1316.82
-320.786,226.821,1324.9
-331.612,231.077,1344.33
-340.108,233.394,1361.2
-344.818,240.316,1377.22
-342.017,243.563,1390.44
-337.681,244.844,1399.23
-327.275,241.345,1410.19
-316.881,236.901,1418.62
-305.512,232.365,1428.03
-295.899,228.913,1434.9
-288.612,221.019,1443.85
-282.273,216.974,1449.22
-272.084,209.474,1457.29
-260.761,194.837,1454.99
-256.103,191.018,1446.94
-267.792,177.726,1331.46
-262.399,180.337,1335.92
-263.372,183.648,1342.52
-265.504,187.796,1351.83
-271.25,188.946,1367.42
-279.231,192.991,1379.8
-288.152,186.889,1387.6
-301.095,192.79,1396.01
-321.011,194.453,1404.18
-339.411,193.087,1409.7
-352.718,192.683,1415.75
-361.337,193.378,1423.13
-370.423,192.695,1435.09
-378.748,190.149,1447.24
-383.479,191.435,1461.55
-382.187,194.591,1475.28
-376.92,199.047,1491.5
-367.938,199.951,1507.42
-353.193,199.897,1518.87
-335.733,199.114,1525.92
-322.214,199.912,1529.3
-311.714,199.746,1530.22
-304.705,201.094,1531.89
-300.389,202.869,1534.64
-312.918,200.19,1539.12
-324.969,196.79,1541.82
-339.66,195.833,1541.94
-349.413,196.37,1543.76
-366.631,193.914,1547.2
-383.465,196.7,1550.43
-399.218,193.877,1554.62
-411.801,200.027,1556.59
-422.499,201.067,1557.83
-421.396,205.483,1563.3
-414.499,208.737,1568.36
-406.877,211.708,1571.58
-397.772,216.54,1571.88
-385.936,220.693,1576.35
-368.964,223.121,1582.97
-354.18,224.338,1589.55
-337.884,223.677,1600.57
-327.522,223.443,1609.26
-322.195,224.147,1616.81
-322.234,222.834,1623.36
-326.027,220.203,1627.59
-333.286,221.344,1630.93
-340.314,221.917,1633.66
-345.499,222.259,1633.06
-355.856,218.782,1628.72
-366.622,220.662,1618.8
-378.834,220.95,1450.72
-366.046,225.363,1449.83
-349.895,227.744,1445.91
-333.016,230.766,1441.44
-321.387,232.926,1437.28
-311.694,240.105,1436.11
-301.636,244.176,1435.11
-293.964,244.559,1440.22
-291.143,243.38,1442.58
-294.641,241.478,1447.03
-299.273,240.618,1450.72
-304.296,241.813,1455.28
-313.334,239.597,1466.38
-325.201,235.664,1481.82
-338.686,229.309,1501.32
-350.425,222.971,1520.54
-359.899,222.596,1533.33
-372.895,221.684,1555.8
-384.076,222.757,1574.44
-392.617,223.883,1590.62
-444.773,227.518,1641.75
-444.896,216.994,1652.3
-442.618,198.628,1661.7
-439.737,185.484,1663.82
-439.124,177.867,1665.22
-441.804,173.957,1667.43
-447.183,173.729,1667.56
-445.91,184.015,1664.58
-445.748,194.805,1661.92
-445.776,212.21,1656.56
-447.594,235.829,1648.73
-451.57,254.374,1643.46
-459.331,268.99,1635.76
-468.992,278.569,1624.65
-475.526,286.527,1617.24
-481.298,286.643,1612.37
-486.921,288.68,1607.88
-489.19,279.529,1603.56
-490.875,260.718,1602.31
-492.642,238.137,1601.19
-496.231,218.047,1597.32
-497.536,197.263,1595.36
-501.425,176.933,1592.51
-505.834,161.459,1589.09
-507.127,154.379,1590.76
-501.546,149.588,1603.13
-497.26,152.573,1619.18
-493.698,155.081,1639.05
-486.773,168.718,1658.77
-483.731,184.204,1681.36
-489.203,185.254,1707.94
-494.976,188.957,1732.75
-494.474,188.199,1748.92
-499.365,187.352,1759.83
-502.981,185.356,1767.03
-499.687,179.874,1765.01
-496.54,191.51,1745.12
-483.997,197.636,1728.6
-470.569,225.486,1711.52
-463.501,251.37,1689.75
-458.364,278.305,1660.21
-462.266,297.442,1628.93
-461.533,312.035,1605.39
-460.324,318.057,1583.47
-461.621,309.876,1571.93
-460.084,288.817,1563.7
-460.379,267.916,1553.36
-464.138,239.658,1543.42
-466.504,217.305,1533.81
-463.111,200.345,1524.13
-454.879,193.424,1506.4
-447.632,192.934,1490.64
-434.499,197.741,1476.83
-422.104,201.411,1466.39
-409.357,205.318,1454.96
-357.391,235.245,1437.9
-354.001,236.644,1437.33
-345.838,235.741,1438.32
-341.727,232.824,1442.74
-341.736,233.421,1450.98
-341.841,235.311,1466.73
-343.756,232.57,1486.73
-351.006,228.916,1503.64
-362.934,227.569,1527.73
-380.347,227.742,1551.69
-404.15,223.608,1571.46
-430.434,216.827,1591.58
-457.166,210.186,1605.75
-486.222,199.147,1617.06
-516.88,191.755,1627.82
-543.176,183.75,1637.13
-560.744,180.861,1640.22
-570.434,175.612,1644.01
-575.288,179.44,1643.75
-568.957,183.23,1646.2
-562.249,188.791,1641.46
-547.322,198.217,1635.83
-532.377,204.424,1634.36
-518.128,212.788,1627.32
-499.415,223.269,1621.77
-480.764,235.212,1622.31
-463.482,244.932,1621.78
-446.501,253.123,1617.95
-424.56,262.836,1604.5
-409.234,268.937,1595.41
-393.86,270.217,1579.55
-378.722,268.251,1562.24
-369.314,264.203,1543.2
-365.322,256.722,1531.9
-360.94,252.571,1524.13
-360.773,243.067,1522.39
-363.118,232.929,1519.81
-366.443,226.607,1518.43
-374.722,215.094,1518
-386.247,207.668,1517.22
-396.302,199.778,1519.14
-403.539,194.764,1522.17
-410.413,191.98,1527.62
-418.896,187.688,1533.05
-424.339,192.255,1536.02
-421.627,196.756,1540.56
-416.193,201.97,1542.43
-402.606,206.967,1543.58
-380.732,220.177,1538.5
-357.173,230.507,1533.91
-332.59,237.534,1527.87
-298.293,242.044,1520.63
-271.233,247.783,1502.38
-251.47,251.808,1485.07
-241.356,253.596,1468.84
-239.733,254.964,1454.94
-245.873,252.815,1447.9
-262.161,245.361,1449.18
-271.915,241.673,1452.47
-289.255,232.558,1467.74
-302.695,227.13,1480.04
-321.403,223.777,1499.39
-337.086,221.223,1519.94
-368.012,220.512,1565.87
-386.365,220.171,1587.7
-395.878,221.193,1606.7
-594.197,168.504,1693.07
-595.016,165.144,1691.28
-592.175,167.932,1685.02
-582.885,174.869,1676.46
-563.834,183.403,1672.76
-546.115,192.148,1665.63
-520.642,191.645,1655.47
-489.145,202.636,1643.04
-450.966,210.429,1627.76
-409.648,214.736,1612.62
-370.33,218.442,1593.07
-340.471,221.586,1573.32
-314.998,226.547,1557.69
-290.777,227.217,1544.61
-274.926,228.415,1529.07
-268.076,231.871,1514.59
-266.316,230.081,1509.16
-276.719,237.672,1475.85
-256.382,242.363,1468.55
-233.52,250.246,1462.45
-215.184,259.771,1460.5
-198.658,263.789,1464.65
-182.674,264.747,1473.31
-172.878,266.471,1482.29
-165.61,268.253,1492.28
-165.546,262.62,1509.65
-169.126,257.74,1521.01
-175.37,253.681,1531.55
-188.337,247.769,1541.31
-200.181,239.862,1547.96
-220.629,234.494,1548.59
-242.612,225.418,1546.99
-265.113,217.622,1547.26
-292.028,213.513,1548.46
-316.135,214.737,1548.1
-335.288,218.266,1549.09
-347.473,220.634,1553.69
-361.843,229.012,1558.63
-374.436,235.644,1563.64
-379.402,240.437,1568.09
-353.538,228.258,1445.5
-339.224,231.823,1435.23
-323.068,237.419,1429.31
-304.301,241.402,1424.37
-276.04,243.71,1425.11
-264.049,246.333,1430.29
-243.782,246.366,1439.89
-239.779,244.604,1449.4
-236.999,239.184,1461.36
-234.219,237.448,1470.78
-242.613,232.107,1486.47
-258.259,226.886,1502.83
-273.383,219.111,1519.4
-286.232,213.306,1534.53
-303.542,210.97,1545.02
-325.93,206.393,1558.58
-344.299,203.26,1571.75
-355.774,202.238,1583.78
-367.149,202.871,1595.36
-375.711,204.459,1604.07
-381.662,204.705,1611.33
-292.282,205.91,1399.95
-289.656,209.576,1385.33
-285.153,214.258,1373.43
-275.409,217.498,1364.48
-262.025,222.48,1360.54
-241.417,228.256,1356.1
-219.413,233.726,1354.46
-202.329,239.843,1356.48
-186.609,243.313,1361.99
-175.646,246.443,1365.33
-166.891,249.939,1372.73
-160.508,249.278,1381.47
-162.662,248.603,1392.51
-211.695,227.965,1448.21
-222.421,223.757,1462.81
-232.175,223.525,1471.97
-235.62,224.184,1472.24
-237.129,223.791,1471.26
-237.345,226.657,1462.52
-56.2793,253.013,1451.86
-59.1791,252.167,1455.31
-60.8602,248.411,1464.41
-75.3572,246.867,1465.79
-95.8883,246.942,1463.35
-114.152,248.275,1462.81
-137.272,252.814,1462.66
-174.83,261.987,1465.53
-205.696,264.987,1472.59
-224.597,261.079,1483.22
-246.39,253.423,1497.27
-267.203,247.039,1516.23
-282.129,242.444,1532.63
-291.439,241.152,1547.45
-350.357,194.169,1605.63
-362.002,195.625,1589.5
-369.004,200.631,1572.71
-379.095,202.579,1557
-389.289,204.961,1547.15
-396.675,205.804,1541.75
-400.187,207.738,1538.45
-399.576,214.36,1533.33
-393.236,221.726,1530.02
-385.165,227.581,1527.69
-375.46,229.438,1528.16
-365.168,233.353,1526.39
-352.693,234.923,1525.61
-335.323,231.768,1535.05
-314.971,230.79,1538.25
-293.158,230.321,1535.75
-271.289,234.225,1529.99
-257.959,235.958,1523.83
-246.47,236.398,1519.67
-237.233,236.435,1515.15
-234.583,235.584,1513.26
-238.272,234.54,1515.19
-246.388,231.487,1521.53
-258.387,229.273,1527.81
-275.061,221.058,1540.25
-291.698,214.651,1552.56
-307.06,212.85,1561.76
-325.531,207.572,1577.36
-342.785,204.786,1587.82
-356.099,204.813,1601.96
-370.227,205.991,1612.93
-380.31,207.132,1624.77
-381.828,210.605,1631.61
-374.256,213.215,1638.39
-362.071,219.177,1632.75
-350.886,225.374,1621.55
-334.545,231.344,1613.12
-314.815,234.15,1601.59
-295.19,238.621,1588.14
-254.037,239.601,1562.52
-233.996,243.817,1528.95
