x,y,z
-239.64,454.4,1146.56
-236.293,453.071,1157.43
-231.955,449.172,1167.54
-222.619,449.819,1182.12
-210.314,448.271,1197.36
-210.503,401.366,1214.04
-209.095,377.301,1226.89
-210.289,362.998,1237.26
-210.829,352.175,1243.65
-217.333,342.809,1248.92
-232.451,338.166,1257.26
-242.307,338.555,1260.63
-246.262,339.695,1262.87
-235.565,393.729,1277.13
-232.664,419.829,1285.69
-238.313,433.943,1295
-247.003,442.678,1302.71
-254.859,446.272,1311.96
-272.432,444.913,1318.14
-286.405,440.314,1322.04
-306.846,441.476,1324.52
-318.586,442.19,1324.45
-328.085,442.161,1326.43
-330.413,446.598,1335.55
-336.153,448.657,1344.14
-341.909,456.238,1360.16
-342.163,460.801,1374.21
-340.663,461.695,1387.79
-325.454,460.032,1399.49
-308.478,455.705,1402.82
-291.522,448.812,1405.24
-278.697,443.109,1406.44
-271.472,434.867,1409.51
-261.344,427.683,1412.36
-252.907,421.118,1416.93
-240.892,406.151,1418.99
-236.689,401.518,1414.8
-266.431,380.113,1284.74
-265.081,378.514,1287.04
-263.291,378.848,1290.16
-267.3,382.377,1294.46
-267.5,380.81,1303.68
-278.923,388.177,1317.93
-289.44,393.807,1331.99
-293.874,396.623,1348.11
-308.873,398.373,1368.04
-322.427,398.038,1389.04
-333.927,401.156,1407.07
-345.25,405.73,1424.33
-353.381,404.316,1447.15
-358.116,403.335,1464.67
-362.449,404.952,1479.37
-361.468,407.632,1497.59
-351.685,413.124,1512.69
-338.749,416.833,1523.07
-327.967,419.463,1529.3
-310.993,419.658,1529.93
-303.304,419.96,1529.57
-293.881,416.389,1529.07
-290.017,415.949,1529.17
-286.533,416.472,1531.92
-299.573,413.259,1540.82
-311.425,409.498,1547.9
-324.113,408.734,1555.13
-331.398,409.734,1563.4
-344.12,407.166,1569.14
-357.034,409.795,1575.88
-368.879,410.611,1574.67
-380.809,414.421,1574.19
-387.531,411.764,1571.42
-388.987,417.149,1569.82
-385.881,423.279,1571.76
-383.438,426.763,1572.73
-376.427,431.307,1571.75
-363.501,434.007,1576.21
-353.203,438.48,1578.08
-339.386,438.753,1584.36
-329.387,442.128,1588.64
-325.475,443.855,1594.85
-322.997,445.084,1606.08
-325.568,442.204,1613.01
-327.618,439.133,1621.19
-329.963,438.347,1633.07
-332.816,437.281,1645.29
-337.927,434.96,1652.85
-349.055,433.108,1645.24
-361.964,438.229,1629.74
-421.011,426.66,1435.7
-408.426,428.444,1432.54
-402.728,428.675,1431.88
-389.483,434.105,1426.34
-380.635,439.651,1424.58
-377.53,445.016,1422.32
-371.962,447.877,1422.72
-365.948,449.858,1421.71
-365.184,447.999,1422.08
-361.579,445.214,1424.43
-360.004,443.977,1428.21
-361.511,442.46,1433.01
-368.753,440.694,1443.43
-370.023,441.025,1455.16
-374.358,436.345,1476.06
-374.139,433.725,1494.47
-375.254,434.671,1509.5
-377.34,432.427,1530.96
-379.822,433.1,1556.82
-379.409,435.419,1575.6
-406.599,434.468,1621.27
-389.715,422.318,1634.96
-371.061,403.906,1640.92
-357.312,385.98,1650.43
-352.85,374.547,1656.61
-361.277,368.488,1656.31
-375.49,374.785,1655.98
-386.589,387.601,1658.06
-404.668,399.713,1657.12
-423.652,422.576,1654.2
-445.731,448.65,1655.99
-460.525,470.897,1652.6
-479.601,483.804,1644.45
-496.818,490.023,1637.72
-508.583,500.694,1630.83
-515.22,502.463,1626.01
-527.004,504.196,1621.9
-530.243,494.637,1615
-527.399,476.45,1605.33
-524.241,456.1,1598.07
-523.031,434.645,1593.67
-513.902,415.572,1589.95
-507.842,395.849,1581.89
-501.241,376.426,1574.17
-484.547,369.499,1576.22
-475.843,364.709,1585.87
-457.175,362.261,1592.69
-439.652,359.1,1612.12
-421.803,359.136,1620.28
-408.141,362.312,1637.53
-405.158,373.684,1654.85
-409.462,383.385,1671.67
-422.308,393.648,1690.3
-432.583,396.869,1703.33
-449.323,402.066,1715.57
-463.556,403.45,1724.27
-472.831,405.047,1726.88
-479.101,415.321,1710.05
-484.671,435.376,1694.8
-497.539,456.026,1678.04
-509.214,472.441,1651.7
-520.366,484.976,1632.81
-526.628,497.248,1612.29
-533.23,502.369,1593.64
-533.983,501.358,1585.4
-526.731,485.651,1570.92
-522.647,470.36,1559.54
-515.647,447.354,1549.25
-507.659,429.12,1543.07
-496.495,414.35,1538.79
-486.01,407.65,1524.81
-473.406,401.806,1513.86
-462.369,406.714,1499.49
-450.024,410.604,1483.74
-435.036,416.666,1466.93
-391.141,439.944,1410.66
-389.173,435.953,1405.34
-384.533,428.924,1403.7
-381.725,428.467,1406.07
-387.459,431.353,1415.38
-390.554,431.505,1432.12
-387.97,431.542,1448.07
-387.383,433.253,1464.9
-395.371,433.456,1492.83
-407.713,437.221,1523.61
-422.207,433.759,1552.09
-441.901,428.766,1578.39
-459.482,421.263,1600.51
-475.412,415.674,1624.36
-498.798,411.287,1644.73
-523.455,402.911,1655.43
-538.432,397.376,1663.59
-549.598,395.159,1673.65
-554.148,395.056,1681.9
-545.65,401.262,1683.77
-533.378,405.924,1666.35
-517.223,416.342,1655.8
-506.139,423.596,1644.44
-495.94,432.433,1627.58
-477.216,437.55,1605.5
-467.257,448.611,1580.67
-460.168,454.368,1557.52
-450.294,459.972,1542.57
-445.799,463.696,1526.54
-444.22,466.112,1516.28
-442.998,462.361,1507.21
-437.105,459.649,1495.86
-429.834,453.814,1486.68
-421.355,448.475,1484.03
-414.112,446.673,1486.18
-405.577,443.874,1483.76
-391.449,444.079,1481.53
-378.872,443.527,1487.2
-378.935,430.756,1495.93
-376.814,420.489,1503.9
-373.987,413.682,1511.6
-373.314,409.015,1521.95
-378.033,405.578,1533.23
-383.404,400.8,1539.39
-387.86,404.815,1542.64
-389.107,409.779,1544.24
-388.318,417.366,1538.41
-378.637,423.461,1529.24
-356.628,436.526,1519.54
-331.412,445.929,1505.35
-313.41,451.873,1494.88
-291.941,453.176,1481.84
-276.163,454.195,1462.2
-267.32,456.629,1442.2
-262.765,458.646,1424.41
-263.325,458.828,1414.2
-271.001,454.562,1409.3
-280.749,448.052,1414.54
-288.578,446.183,1422.04
-297.096,439.978,1437.91
-307.132,436.904,1454.22
-316.721,433.471,1476.54
-333.746,431.228,1501.65
-358.871,431.777,1553.07
-371.951,427.821,1578.72
-381.758,429.895,1603.9
-548.897,393.051,1680.37
-548.757,389.965,1673.97
-545.269,391.296,1674.93
-535.143,397.672,1672.82
-520.478,406.427,1669.27
-505.469,408.691,1657.41
-479.016,410.952,1642.49
-451.61,419.667,1627.64
-418.436,426.302,1600.35
-380.162,427.424,1578.14
-342.861,433.357,1548.38
-313.76,431.106,1526.29
-299.608,434.9,1513.24
-290.049,437.307,1497.93
-282.815,435.505,1483.5
-286.084,436.582,1471.88
-289.004,433.944,1463.96
-305.493,436.702,1434.69
-295.339,441.263,1432.49
-281.467,449.776,1430.85
-267.749,456.495,1432.11
-256.047,461.607,1434.38
-245.189,464.43,1436.21
-233.309,465.469,1448.1
-223.587,467.1,1459.29
-214.341,462.765,1473.58
-205.451,460.679,1486.25
-201.729,458.366,1499.69
-204.346,456.331,1508.09
-207.743,450.528,1514.61
-216.984,443.853,1520.79
-230.605,433.653,1533.71
-249.391,427.258,1536.56
-276.874,421.019,1536.09
-299.258,422.606,1537.2
-319.756,428.992,1534.62
-333.956,434.441,1533.64
-353.463,438.834,1531.74
-372.84,441.518,1533.22
-383.539,446.748,1540.46
-366.48,438.807,1408.28
-352.375,444.456,1396.57
-341.525,447.314,1385.51
-327.192,450.962,1380.94
-308.738,447.776,1374.73
-293.493,449.977,1377.8
-274.228,443.54,1382.37
-267.607,440.573,1392.77
-265.528,438.153,1405
-259.46,434.206,1415.14
-255.444,432.179,1431.76
-261.894,424.657,1453.63
-268.401,421.505,1469.64
-277.891,418.284,1485.41
-291.454,417.698,1500.16
-310.23,412.271,1514.8
