x,y,z
-313.323,-81.8821,1232.57
-313.337,-78.9044,1231.12
-310.322,-74.0842,1226.01
-305.444,-74.4048,1223.17
-299.015,-76.3658,1221.15
-293.872,-79.5617,1220.18
-292.311,-83.6647,1219.13
-297.253,-88.5654,1220.65
-304.688,-92.9003,1222.23
-309.766,-94.4354,1219.61
-313.4,-94.9435,1214.93
-320.205,-94.4028,1206.14
-334.767,-95.1691,1202.16
-347.237,-95.1575,1194.1
-357.943,-94.4636,1185.72
-370.826,-98.1839,1173.57
-385.171,-99.8641,1165.92
-399.817,-102.231,1160.85
-415.119,-107.676,1155.15
-428.83,-111.556,1152.28
-441.103,-113.685,1150.63
-448.547,-114.975,1150.81
-453.835,-115.293,1152.33
-454.622,-114.491,1153.15
-455.356,-114.24,1157.78
-452.05,-112.961,1167.02
-446.357,-111.487,1177.15
-437.331,-110.609,1190.35
-427.896,-109.423,1209.9
-420.452,-109.279,1232.11
-410.674,-111.044,1251.34
-403.565,-112.916,1269.38
-398.543,-115.374,1285.1
-394.197,-121.849,1295.64
-390.652,-127.937,1302.53
-384.15,-138.28,1303.97
-384.076,-141.66,1302.51
-484.741,-184.834,1364.09
-481.639,-180.074,1375.99
-479.67,-172.386,1382.26
-475.905,-167.743,1386.3
-471.84,-163.942,1383.74
-472.599,-162.292,1375.52
-475.877,-162.704,1368.45
-479.322,-163.519,1353.02
-495.297,-161.407,1325.61
-505.554,-161.394,1305.24
-515.326,-160.772,1292.37
-523.162,-160.933,1284.9
-528.198,-159.565,1284.32
-527.976,-157.077,1291.11
-526.735,-157.343,1302.09
-522.382,-157.644,1315.9
-504.088,-152.305,1336.16
-485.869,-150.725,1360.67
-472.156,-149.703,1379.98
-455.959,-150.463,1397.31
-445.107,-150.281,1407.36
-436.528,-149.19,1412.22
-431.427,-148.14,1414.34
-428.401,-146.844,1414.52
-432.926,-143.251,1403.59
-440,-139.546,1401.09
-449.179,-138.39,1397.62
-463.014,-138.607,1391.17
-478.191,-135.002,1392.45
-498.177,-132.544,1396.78
-514.991,-131.247,1399.66
-529.559,-130.672,1403.34
-538.355,-128.649,1406.2
-542.884,-127.259,1412.89
-543.45,-126.867,1419
-541.245,-126.073,1423.91
-533.93,-122.608,1430.97
-524.58,-120.809,1442.92
-513.474,-120.8,1460.32
-499.467,-121.26,1475.86
-488.41,-121.668,1488.37
-481.958,-122.56,1496.33
-475.178,-122.779,1500.2
-473.576,-121.317,1503.74
-473.768,-120.967,1505.69
-477.424,-118.871,1504.62
-483.59,-118.242,1502.74
-490.917,-117.397,1499.46
-505.757,-117.585,1496.54
-519.669,-117.968,1489.24
-530.243,-89.6894,1472.4
-505.334,-100.591,1477.94
-499.699,-94.5019,1475.23
-489.613,-89.9035,1484.04
-485.359,-86.7911,1485.33
-481.184,-84.6951,1485.64
-474.472,-86.4423,1482.55
-468.426,-89.3336,1475.64
-468.572,-90.8353,1472.14
-470.486,-91.9917,1468.96
-472.894,-92.7756,1467.77
-480.305,-96.1706,1463.26
-491.698,-95.9742,1455.21
-499.34,-95.7548,1448.63
-509,-100.338,1442.61
-516.699,-104.266,1445.94
-517.934,-107.602,1456.1
-529.578,-112.624,1464.89
-538.065,-116.183,1468.88
-542.825,-117.834,1470.53
-554.078,-152.562,1452.29
-532.828,-131.881,1442.98
-527.32,-122.263,1442.35
-522.249,-117.762,1450.57
-523.941,-118.406,1457.37
-528.23,-117.754,1460.73
-528.161,-116.356,1458.34
-532.41,-116.827,1454.73
-539.349,-117.639,1450.4
-543.329,-116.66,1440.59
-550.235,-117.17,1431.33
-558.437,-117.456,1420.57
-565.741,-117.562,1411.15
-573.901,-119.198,1400.78
-584.064,-120.777,1392.98
-592.487,-122.283,1387.17
-598.901,-123.758,1385.1
-603.809,-125.384,1384.78
-607.7,-126.111,1387.03
-610.477,-126.759,1388.79
-610.737,-127.075,1389.87
-607.343,-124.943,1396.06
-603.867,-122.605,1401.06
-599.202,-119.17,1406.56
-587.21,-115.731,1416.66
-579.065,-114.192,1431.17
-566.887,-111.485,1444.73
-552.268,-112.7,1455.88
-540.657,-112.354,1465.7
-531.732,-112.056,1472.67
-521.396,-110.202,1474.45
-511.876,-108.743,1474.5
-505.386,-109.054,1473.02
-502.396,-109.348,1472.59
-501.733,-108.324,1469.19
-502.412,-110.514,1465.5
-502.335,-110.52,1461.48
-508.34,-110.592,1452.96
-513.312,-110.476,1443.65
-519.48,-111.24,1434.1
-530.601,-112.348,1419.31
-536.739,-112.571,1407.18
-542.291,-112.388,1390.71
-548.623,-111.741,1374.05
-559.172,-115.803,1360.4
-566.275,-118.858,1350.69
-573.655,-120.96,1342.38
-579.843,-121.87,1340.69
-584.931,-124.219,1340.61
-586.555,-126.557,1342.64
-585.374,-127.762,1345.43
-583.775,-127.615,1351.9
-579.034,-124.048,1359.89
-573.201,-117.519,1369.2
-562.761,-111.103,1379.53
-522.33,-130.19,1423.93
-507.765,-114.104,1432.19
-495.169,-106.742,1433.44
-484.807,-102.953,1429.94
-479.714,-100.019,1427.16
-479.361,-97.4948,1424.8
