x,y,z
-369.918,253.722,1278.47
-367.656,256.173,1284.83
-363.785,259.689,1288.93
-355.311,259.254,1293.62
-345.242,257.807,1296.86
-337.447,255.08,1299.27
-332.514,251.091,1301.64
-335.232,246.869,1305.77
-339.978,242.248,1310.82
-342.237,240.214,1311.37
-343.951,239.245,1308.17
-349.385,239.036,1302.31
-365.021,237.167,1300.89
-379.402,236.802,1293.32
-391.455,237.891,1284.68
-408.41,234.29,1274.22
-426.419,232.065,1266.21
-443.161,230.065,1260.17
-458.088,226.183,1252.84
-471.932,223.154,1247.64
-485.106,221.196,1244.29
-491.998,220.989,1241.59
-497.078,221.307,1241.18
-497.192,222.672,1241.46
-496.008,223.744,1243.77
-491.841,225.101,1251.24
-486.1,225.764,1261.07
-477.926,226.957,1271.93
-469.398,228.444,1287.68
-463.955,229.831,1304.2
-455.988,228.964,1317.75
-449.519,228.324,1331.32
-444.495,226.522,1343.27
-437.993,220.807,1352.06
-433.189,214.969,1359.55
-424.926,204.089,1363.85
-424.209,200.299,1363.02
-460.319,165.47,1365.53
-451.335,168.799,1378.95
-447.639,175.283,1388.61
-446.998,179.469,1395.61
-449.716,183.562,1397.83
-457.198,185.022,1394.26
-467.674,185.601,1390.14
-479.645,185.271,1379.93
-498.147,184.279,1365.42
-511.333,184.215,1353.52
-523.711,184.115,1346.71
-533.067,183.673,1344.45
-538.939,184.872,1345.88
-540.638,187.346,1351.84
-541.3,187.6,1360.17
-537.953,188.174,1370.12
-526.56,192.451,1384.25
-511.634,193.746,1402.33
-502.345,194.406,1417.55
-487.724,193.574,1432.4
-478.391,193.529,1441.15
-471.07,194.027,1447.39
-465.637,195.154,1450.7
-464.164,196.143,1451.73
-471.295,198.459,1448.69
-481.183,202.16,1447.28
-491.826,203.836,1445.09
-502,203.292,1441.24
-515.72,207.066,1439.3
-534.522,209.872,1439.59
-549.628,212.028,1439.65
-561.104,213.719,1441.25
-569.421,215.823,1444.86
-571.357,218.019,1451.06
-568.308,219.193,1458.13
-564.199,219.93,1464.48
-556.725,223.049,1471.86
-548.555,224.463,1485.81
-536.368,223.919,1501.87
-524.242,224.234,1516.19
-514.735,223.982,1530.31
-509.29,223.12,1540.19
-507.108,221.817,1548
-508.245,222.47,1553.92
-510.647,221.801,1558.88
-517.088,222,1561.73
-525.931,221.275,1564.17
-534.058,221.09,1563.94
-546.247,220.375,1562.1
-558.513,219.518,1558.7
-575.735,242.24,1530.16
-550.322,228.764,1521.84
-543.509,235.229,1519.87
-535.015,240.864,1525.23
-528.191,244.773,1523.58
-521.536,247.651,1520.82
-513.474,246.645,1515.99
-507.964,244.127,1503.3
-506.265,243.519,1497.33
-506.465,243.388,1495.03
-507.996,242.996,1494.47
-511.818,241.106,1496.23
-517.732,240.749,1494.05
-525.57,240.446,1492.61
-533.975,237.19,1491.09
-541.855,233.749,1494.24
-551.453,231.055,1506.27
-561.113,227.931,1514.02
-569.372,225.115,1518.09
-574.183,224.281,1520.69
-560.62,191.413,1492.39
-553.451,205.962,1505.73
-553.991,212.021,1518.25
-555.056,216.49,1528.38
-562.989,216.398,1537.58
-570.294,217.105,1542.79
-574.796,217.812,1541.87
-580.557,217.549,1539.36
-586.282,217.091,1535.39
-591.932,217.869,1527.89
-597.623,217.442,1518.69
-603.983,216.916,1509
-610.545,216.611,1499
-616.661,215.269,1489.42
-623.239,214.323,1480.72
-630.055,212.801,1473.94
-635.675,211.694,1470.55
-641.157,210.329,1470.22
-646.484,209.771,1472.45
-649.492,209.42,1475.4
-650.939,208.524,1478.93
-648.093,210.929,1482.56
-645.904,212.655,1486.87
-641.974,214.852,1493.25
-633.279,218.686,1501.14
-626.072,220.717,1510.65
-614.787,222.692,1519.88
-604.117,222.021,1528.27
-590.623,223.65,1533.51
-576.497,224.964,1534.79
-563.181,227.111,1534.39
-552.612,228.994,1533.27
-543.918,229.006,1532.14
-539.309,228.847,1532.31
-536.352,228.93,1531.22
-533.783,227.473,1529.08
-532.75,227.588,1526.9
-539.508,226.477,1523.39
-542.73,225.996,1517.85
-547.828,225.36,1511.65
-562.329,222.365,1503.43
-570.237,221.024,1493.55
-578.283,220.617,1481.37
-584.928,221.037,1466.43
-593.896,217.301,1454.98
-600.024,214.392,1447.25
-606.104,212.661,1438.95
-615.497,211.879,1436.45
-620.839,209.964,1436.24
-621.939,208.688,1437.08
-619.4,207.929,1440.49
-616.549,207.921,1446.31
-610.714,211.352,1455.07
-605.975,215.453,1466.25
-596.458,220.323,1477.17
-546.253,198.54,1500.18
-544.374,215.409,1509.58
-539.414,223.6,1509.66
-533.105,227.853,1505.32
-531.778,231.185,1503.7
-533.449,233.887,1502.19
-536.395,235.405,1497.74
-541.556,233.472,1492.89
-549.495,232.138,1487.63
-562.573,230.494,1486.63
-574.648,228.241,1484.13
-588.905,224.262,1482.63
-599.763,222.513,1479.92
-613.863,221.317,1477.92
-625.4,216.859,1475.28
-635.829,214.981,1473.63
-643.93,213.013,1472.86
-648.039,211.85,1473.12
-652.11,211.465,1474.19
-653.713,211.872,1477.19
-652.741,212.091,1479.65
-650.743,213.76,1482.06
-647.901,215.259,1484.88
-639.474,219.407,1487.96
-629.412,220.485,1494.06
-617.888,221.02,1498.66
-601.854,221.75,1499.28
-588.904,222.578,1501.31
-575.714,224.32,1500.42
-565.535,224.686,1499.01
-557.693,223.917,1497.71
-551.262,224.575,1492.1
-546.402,225.725,1485.97
-543.425,226.63,1480.6
-541.259,226.454,1475.16
-541.037,226.78,1469
-543.535,227.825,1461.98
-547.409,228.227,1454.88
-552.752,227.44,1449.42
-558.317,226.735,1444.74
-563.648,225.025,1440.53
-568.362,224.135,1437.62
-573.917,222.664,1435.85
-578.406,222.483,1434.37
-579.622,223.03,1432.86
-575.882,223.994,1432.45
-571.165,225.692,1436.17
-558.034,229.187,1444.19
-537.424,230.86,1453.81
-512.825,237.076,1463.19
-492.18,240.674,1467.37
-476.436,242.588,1468.12
-463.265,245.793,1465.98
-454.119,246.205,1461.1
-450.623,246.756,1457.54
-450.771,247.885,1452.05
