x,y,z
-426.369,67.0977,1210.01
-423.955,71.61,1208.26
-419.885,77.4273,1205.28
-412.745,79.2635,1204.25
-405.048,79.0738,1204.57
-398.808,77.2927,1204.74
-395.109,75.5248,1203.35
-395.368,74.143,1200.55
-395.314,72.6579,1198.08
-396.622,72.4373,1195.19
-399.045,72.3699,1191.21
-404.94,73.4758,1183.61
-414.461,73.5711,1177.8
-426.323,72.8559,1170.51
-437.494,73.2895,1162.12
-452.423,69.1869,1150.31
-467.419,66.7488,1141.87
-481.477,64.5888,1134.59
-495.992,59.863,1127.81
-508.342,56.0448,1123.29
-520.01,53.6146,1120.81
-527.56,52.3157,1119.9
-532.394,52.0954,1120.39
-533.497,52.846,1122.57
-534.137,53.0127,1127.47
-530.276,53.9365,1136.88
-524.767,55.0831,1147.61
-517.788,55.3198,1160.13
-509.015,55.7394,1177.55
-500.622,55.1159,1195.86
-491.823,52.268,1212.35
-485.283,49.8298,1228.17
-481.438,46.8251,1242.67
-476.678,40.9032,1252.87
-473.077,35.3291,1260.58
-468.239,25.3705,1265.52
-468.333,22.1111,1264.87
-539.975,-16.1314,1288.75
-535.761,-10.9662,1303.86
-534.358,-2.90664,1314.04
-532.45,1.49046,1320.31
-532.272,4.96475,1320.79
-535.998,5.93333,1315.13
-541.601,5.17604,1309.55
-547.868,3.94358,1296.79
-562.991,7.02441,1277.06
-573.009,8.2042,1260.35
-580.954,9.35116,1248.75
-587.385,10.0337,1242.25
-591.939,11.6141,1242.08
-592.751,13.7079,1248.57
-592.161,12.7588,1258.16
-589.729,11.6903,1270.63
-575.942,13.6337,1289.51
-563.66,12.6076,1314.2
-554.663,11.5743,1333.66
-543.518,9.76927,1353.57
-536.318,9.00181,1365.96
-530.992,9.76462,1374.51
-527.766,11.0865,1379.8
-526.36,12.0818,1382.09
-532.784,15.154,1376.41
-540.255,18.7324,1372.94
-549.497,19.9908,1368.73
-561.315,20.9062,1362.77
-574.087,24.6329,1360.39
-588.788,27.481,1358.83
-600.554,29.2089,1356.62
-610.564,30.4685,1356.02
-616.973,32.6496,1357
-618.47,35.0948,1361.84
-617.003,36.6674,1367.92
-613.836,38.0145,1373.59
-606.657,41.5782,1381.26
-598.374,43.4654,1394.48
-587.718,43.2086,1411.95
-575.955,42.5502,1427.38
-566.514,42.0114,1441.05
-561.631,41.2062,1450.81
-557.9,40.4039,1457.65
-557.585,41.4217,1462.8
-559.005,41.3443,1466.57
-563.441,42.8261,1467.61
-570.742,43.0896,1468.33
-578.57,43.7982,1466.76
-593.01,44.0886,1465.32
-606.523,44.3711,1459.4
-641.51,61.0317,1460.22
-618.314,48.0157,1469.95
-613.496,53.8055,1472.5
-606.527,58.0067,1481.94
-602.412,59.9573,1488.39
-597.795,61.8098,1491.45
-591.417,60.5309,1493.65
-585.566,59.0947,1493.96
-583.963,58.7562,1493.43
-585.298,57.6484,1490.45
-587.513,57.528,1488.53
-593.577,55.4111,1483.74
-601.298,55.8182,1477.08
-609.164,56.2476,1469.17
-618.464,53.3704,1459.65
-625.31,50.7177,1454.94
-626.945,49.0436,1453.94
-632.162,46.4205,1451.95
-634.781,44.0385,1448.24
-635.216,43.6216,1444.02
-622.509,12.2116,1396.97
-614.018,32.5055,1405.67
-611.215,42.0725,1412.37
-607.311,46.2431,1420.34
-605.836,46.2558,1425.03
-607.679,47.0719,1427.97
-609.09,47.6139,1426.01
-612.723,47.3299,1422.4
-618.518,46.9286,1418.63
-623.588,47.6406,1410.78
-631.447,47.2463,1403.08
-639.609,47.4117,1394
-648.173,47.0395,1386.07
-656.317,45.9775,1376.76
-666.037,45.1887,1369.17
-673.943,43.6072,1363.24
-679.962,42.3465,1360.09
-684.238,41.0065,1358.05
-686.906,40.4139,1358.44
-688.272,40.1216,1359.32
-687.384,40.1588,1360.16
-683.506,41.958,1364.34
-679.903,43.5852,1368.32
-675.275,46.5415,1374.2
-665.048,49.1316,1383.47
-657.809,49.5043,1395.37
-646.92,50.4643,1407.84
-634.947,48.3513,1418.77
-626.377,48.0362,1428.95
-619.302,47.9303,1436.66
-611.72,49.5076,1441.19
-604.956,50.7494,1443.49
-599.513,50.8346,1443.89
-595.708,51.194,1443.33
-593.654,52.8362,1440.4
-592.86,51.9132,1436.65
-592.658,52.3625,1433.09
-595.578,53.3031,1424.6
-599.025,54.3366,1416.96
-604.411,54.6127,1409.01
-610.736,54.4175,1395.31
-615.664,53.8582,1384.64
-622.129,54.3173,1370.71
-629.374,55.1057,1355.01
-638.954,52.0699,1342.63
-644.96,49.6926,1331.98
-650.952,48.1992,1322.4
-655.281,46.9807,1317.26
-657.682,45.3463,1313.2
-657.845,43.8067,1312.31
-656.056,43.2896,1313.24
-653.09,43.6914,1317.77
-647.718,47.4276,1325.32
-641.954,53.0693,1335.39
-632.498,58.4988,1346.28
-597.375,32.8944,1387.41
-592.493,47.1206,1398.42
-589.002,51.7387,1404.25
-585.671,52.8373,1406.57
-585.052,54.2857,1407.91
-586.77,56.2748,1408.39
-590.995,57.9426,1405.51
-597.521,56.6764,1401.53
-605.76,56.2111,1397.03
-615.236,56.0758,1392.55
-625.704,54.509,1387.12
-639.862,51.1321,1383
-650.938,49.849,1379.14
-662.264,48.7748,1375.47
-673.385,44.9281,1370.64
-682.329,43.1879,1366.96
-688.385,41.5243,1364.42
-692.305,40.1563,1364.09
-695.25,39.2605,1364.83
-696.413,39.6974,1366.82
-694.813,40.2543,1368.22
-691.094,41.9831,1369.95
-687.841,44.2497,1371.17
-678.935,47.4357,1375.16
-670.574,49.5352,1381.51
-661.269,50.5612,1387.62
-648.701,50.5244,1393.47
-637.767,51.3957,1398.43
-629.796,52.3254,1403.16
-623.383,52.1644,1406.12
-618.304,51.3843,1407.29
-614.667,52.1639,1404.95
-612.11,52.8923,1401.48
-610.657,53.9627,1397.12
-610.376,54.3147,1392.25
-609.912,55.1257,1383.43
-610.78,56.2034,1374.77
-611.818,57.4201,1364.47
-613.403,57.0727,1354.72
-615.042,56.6133,1346.64
-617.779,54.972,1340.28
-619.864,53.7074,1335.38
-621.974,51.9677,1330.56
-623.366,51.1813,1327.29
-622.002,49.8044,1325.82
-616.733,50.1531,1324.96
-611.345,51.4294,1328.57
-598.854,53.3412,1339.57
-582.937,53.6948,1354.99
-560.618,57.2342,1374.68
-544.16,59.0691,1388.9
-533.234,59.286,1399.89
-524.868,60.8219,1409.73
-520.809,60.2874,1415.21
-520.046,59.9961,1419.58
-522.057,60.7718,1423.21
-527.347,63.9252,1425.19
-536.761,62.7098,1425.57
-548.546,61.2252,1427.89
-563.068,59.0259,1429.5
-574.306,56.1311,1431.32
-587.79,53.6014,1434.71
-599.494,51.3713,1438.5
-617.433,47.8965,1444.21
-622.023,46.7334,1447.11
-623.17,45.9707,1447.96
-665.512,45.6004,1354.49
-668.172,45.4457,1350.64
-668.616,45.368,1349.21
-666.815,46.8464,1350.7
-661.004,47.965,1354.07
-655.416,46.444,1357.43
-644.39,46.7293,1363.71
-629.37,45.1685,1378.82
-609.022,48.7109,1392.69
-587.694,50.9192,1409.41
-563.094,54.5624,1425.3
-546.606,55.6964,1437.74
-536.416,58.0226,1444.76
-529.516,59.376,1450.9
-525.899,59.8469,1455.55
-526.121,60.5862,1460.26
-530.181,61.3921,1464.23
-533.908,64.2899,1473.43
-525.167,66.2186,1471.34
-507.229,68.6172,1465.38
-486.017,69.676,1460.52
-471.542,69.396,1455.42
-459.446,69.401,1450.83
-446.211,70.2582,1446.74
-436.996,71.5524,1443.39
-429.98,70.824,1436.88
-427.253,70.7448,1430.53
-428.801,70.9121,1423.98
-434.279,71.7615,1412.72
-440.54,70.8258,1401.62
-453.792,67.9905,1389.94
-467.052,68.3119,1377.36
-483.351,65.2251,1365.74
-502.212,62.7436,1357.87
-519.716,61.6879,1347.77
-533.387,59.6095,1342.48
-542.694,59.0476,1339.41
-551.731,58.8061,1338.83
-557.881,57.7607,1344.29
-562.028,56.8895,1348.38
-604.092,62.4639,1368.49
-591.463,64.9453,1369.99
-573.868,64.5902,1373.86
-554.17,67.1286,1379.18
-535.3,67.683,1388.69
-515.45,67.1749,1400.17
-503.249,66.8326,1408.98
-496.295,66.8176,1414.37
-493.381,65.8344,1419.17
-492.951,66.5122,1423.29
-495.864,65.8454,1427.57
-506.338,66.0357,1432.18
-518.155,64.6902,1433.76
-534.727,61.842,1438.79
-553.502,57.0503,1443.84
-570.523,54.1371,1450.59
-584.066,53.3149,1454.44
-594.808,50.9624,1457.92
-602.6,49.1011,1459.25
-606.694,48.4384,1459.15
-607.463,48.2761,1459.41
-555.908,59.031,1345.2
-555.027,59.6989,1341.16
-552.65,60.8582,1339.1
-541.575,65.9617,1338.36
-527.801,68.3933,1340.02
-512.693,68.4451,1342.1
-494.902,71.3135,1346.13
-476.746,72.3709,1351.19
-460.074,74.3624,1358.57
-448.094,73.9197,1365.96
-438.513,73.9833,1373.37
-433.434,74.7059,1381.46
-432.513,75.6323,1392.62
-468.731,73.531,1443.54
-478.262,72.7044,1458.35
-484.105,73.0427,1469.68
-488.43,75.0618,1476.84
-489.437,76.3954,1480.41
-487.232,77.7556,1481.38
-318.427,75.1268,1403.43
-319.917,74.871,1400.14
-324.362,74.9268,1396.11
-332.75,74.4641,1392.4
-348.687,73.4922,1383.01
-363.086,72.4352,1378.26
-383.748,69.9656,1371.79
-409.131,70.7316,1369.19
-436.485,66.9686,1363.77
-456.008,64.828,1361.96
-469.599,62.8928,1361.09
-480.407,61.6038,1361.09
-488.522,62.6172,1361.39
-491.53,63.5936,1364.02
-522.829,68.8512,1355.33
-535.299,65.3089,1340.81
-546.73,63.322,1326.54
-556.544,61.2948,1315.99
-565.066,59.6252,1310.1
-572.729,58.3695,1304.54
-577.448,56.9982,1301.04
-578.92,56.7827,1301.28
-577.612,57.2917,1307.39
-575.265,57.3622,1313.11
-573.043,56.7543,1318.51
-560.218,60.427,1330.5
-550.482,61.9245,1344.24
-538.799,60.8545,1364.19
