x,y,z
-0.0630257,-0.992265,-0.10695
-0.0581742,-0.991158,-0.119256
-0.0244422,-0.988052,-0.152173
-0.0336217,-0.992953,-0.113641
-0.0328444,-0.993981,-0.104513
-0.0230868,-0.992301,-0.12168
-0.0111191,-0.991826,-0.127115
-0.024243,-0.9943,-0.103823
-0.0250528,-0.994774,-0.0989771
-0.0297238,-0.995516,-0.0897973
-0.0434073,-0.993705,-0.103278
-0.0620496,-0.993402,-0.0964446
-0.0476592,-0.993976,-0.0986915
-0.0308765,-0.995032,-0.0946423
-0.0268262,-0.994148,-0.104641
-0.0180834,-0.997233,-0.0721104
-0.00202705,-0.999062,-0.0432471
0.0137814,-0.999187,-0.0378944
0.0242751,-0.999647,-0.0108317
0.0249092,-0.999667,0.00673919
0.0133893,-0.999868,0.00923158
0.00274109,-0.999996,0.000825972
0.00290493,-0.99851,-0.0544828
-0.0432338,-0.996236,-0.0751315
-0.0610804,-0.993227,-0.098843
-0.0761188,-0.991578,-0.104777
-0.0585888,-0.990149,-0.127171
-0.0402711,-0.992172,-0.118208
-0.0237559,-0.995652,-0.0900662
-0.0258951,-0.999116,-0.0331317
-0.0309567,-0.999467,0.0103134
-0.0231492,-0.998524,0.0491301
-0.0354685,-0.99624,0.0790403
-0.0350003,-0.995418,0.0889826
-0.0280116,-0.993944,0.106262
0.011919,-0.994057,0.108207
0.0280533,-0.994389,0.102001
-0.0281398,-0.997094,-0.0707956
0.00251466,-0.998626,-0.0523386
0.0134923,-0.998383,-0.0552141
0.0031989,-0.998629,-0.0522396
-0.0350216,-0.998056,-0.0515612
-0.0549909,-0.995458,-0.0777094
-0.0763197,-0.990586,-0.113644
-0.0834121,-0.989226,-0.120307
-0.0822614,-0.991839,-0.097414
-0.0790495,-0.994067,-0.0747176
-0.0647434,-0.996032,-0.0610699
-0.0689719,-0.996358,-0.0501336
-0.0452454,-0.998728,-0.0222703
-0.028926,-0.999582,0.000289052
-0.0263328,-0.999619,0.00822613
-0.0236775,-0.999566,0.0175308
-0.00164696,-0.999648,0.0264959
0.0158297,-0.99918,0.0372591
0.0251109,-0.999063,0.0352458
0.0444994,-0.998348,0.0363482
0.0540003,-0.995902,0.0725494
0.053623,-0.994528,0.0896585
0.0500569,-0.991749,0.118016
0.0734749,-0.98817,0.134618
0.150024,-0.981508,0.118893
0.17485,-0.981317,0.0802841
0.158571,-0.985618,0.0584212
0.133561,-0.990334,0.0374284
0.122132,-0.992164,0.0263514
0.116703,-0.992867,0.0244123
0.0888346,-0.996046,0.00118261
0.0862821,-0.996271,0.000720557
0.0726315,-0.996055,-0.0509817
0.0598088,-0.99685,-0.0520849
0.0554211,-0.997485,-0.0441725
0.0472537,-0.99827,-0.0349858
0.03199,-0.998981,-0.0318347
0.0415177,-0.9986,-0.032771
0.0247624,-0.99939,-0.0246354
0.0356457,-0.998742,-0.0352685
0.0358512,-0.998744,-0.0349941
0.058296,-0.997833,-0.0304982
0.0713013,-0.997172,-0.0237719
0.0824202,-0.996576,-0.00650924
0.0917974,-0.995727,0.0100382
0.103265,-0.994654,0.000226332
0.122534,-0.992464,-0.000303907
0.118338,-0.992924,0.00990194
0.117412,-0.993075,0.00417187
0.0988246,-0.994954,-0.01734
0.184004,-0.980724,-0.0657499
0.200486,-0.977887,-0.0595126
0.225826,-0.972937,-0.048957
0.229535,-0.972213,-0.0459975
0.227541,-0.97298,-0.0391674
0.232291,-0.971959,-0.0365505
0.265898,-0.963848,-0.0172052
0.264358,-0.964391,-0.00809203
0.278747,-0.960358,-0.00366052
0.299841,-0.953757,-0.0210717
0.274765,-0.961019,-0.0307544
0.273004,-0.96125,-0.0382963
0.254966,-0.966479,-0.0301578
0.25169,-0.967291,-0.0316266
0.238349,-0.971098,-0.0125656
0.203768,-0.979,-0.00611774
0.173063,-0.984898,-0.00509889
0.151523,-0.988436,0.00586484
0.120462,-0.992217,0.0315265
0.080136,-0.996602,0.0190647
-0.0374671,-0.933173,-0.357469
-0.0415364,-0.93086,-0.363007
-0.0278836,-0.928454,-0.370399
0.0134342,-0.912025,-0.409914
0.0394458,-0.913778,-0.404294
0.0646202,-0.916658,-0.394415
0.0589949,-0.934797,-0.350249
0.0743567,-0.949151,-0.305913
0.0913078,-0.95329,-0.287925
0.088801,-0.964422,-0.249007
0.104212,-0.974907,-0.196712
0.119882,-0.983192,-0.137699
0.111008,-0.990478,-0.0814325
0.137991,-0.989902,-0.032432
0.126521,-0.991955,0.00434202
0.125671,-0.992026,0.00959068
0.134908,-0.990771,0.0131731
0.11325,-0.993529,0.00865487
0.0834796,-0.99627,-0.0218588
0.0613038,-0.997656,-0.0304092
0.0513062,-0.996532,-0.0655101
0.0576931,-0.994538,-0.0869798
0.0508917,-0.993558,-0.101259
0.0359999,-0.993973,-0.10355
0.0319934,-0.991171,-0.128674
0.0134475,-0.981485,-0.191068
-0.0215274,-0.973196,-0.228967
-0.0354527,-0.974413,-0.22195
-0.0801822,-0.977583,-0.194686
-0.14876,-0.977161,-0.151747
-0.125276,-0.989129,-0.0770028
-0.150232,-0.98859,0.0109902
-0.111823,-0.99072,0.0772581
-0.0577207,-0.988332,0.140952
0.0114348,-0.983536,0.180352
0.0238423,-0.976532,0.214049
0.0292184,-0.974657,0.22179
0.0190089,-0.982478,0.185404
0.0224697,-0.976664,0.213592
-0.00106396,-0.965441,0.260619
-0.0441883,-0.942186,0.332164
-0.103348,-0.921517,0.374333
-0.143314,-0.920113,0.364489
-0.168557,-0.934089,0.314749
-0.18791,-0.951305,0.244353
-0.213622,-0.962578,0.166758
-0.222339,-0.971135,0.0863861
-0.193477,-0.981045,-0.0108024
-0.142772,-0.984936,-0.0975565
-0.0867457,-0.981964,-0.167993
-0.0224174,-0.97853,-0.204884
0.0306928,-0.970683,-0.238395
0.0555235,-0.962657,-0.264971
0.0813676,-0.962953,-0.257102
0.0967899,-0.963464,-0.249736
0.0322405,-0.990777,-0.131613
0.0371027,-0.987532,-0.152985
0.0118928,-0.988811,-0.148702
-0.00688519,-0.991023,-0.133512
-0.0173372,-0.995934,-0.0884018
-0.0225168,-0.997807,-0.0622479
-0.0268374,-0.999415,-0.021202
-0.0343029,-0.99912,0.0241153
-0.0428162,-0.997756,0.0514849
-0.00942885,-0.994946,0.0999726
0.0208618,-0.989483,0.143136
0.0393279,-0.986899,0.156471
0.037031,-0.984689,0.170341
0.047154,-0.9841,0.171242
0.0453459,-0.982439,0.180988
0.0716664,-0.982854,0.169887
0.0752036,-0.984027,0.161354
0.0644206,-0.987415,0.144437
0.0546595,-0.991764,0.115832
0.0299554,-0.997433,0.0650454
0.0204083,-0.99857,0.0494019
0.0139076,-0.999894,0.00432574
0.00434952,-0.999988,-0.00233254
0.000157004,-0.999878,-0.0156176
-0.00469842,-0.999672,-0.0251589
-0.0238963,-0.999679,-0.00840517
-0.0201356,-0.998815,0.0443141
-0.0215729,-0.994832,0.099212
0.0092327,-0.987666,0.156302
0.0391864,-0.978417,0.202893
0.0700962,-0.965967,0.248986
0.0965955,-0.964419,0.2461
0.103648,-0.965704,0.238062
0.112082,-0.970473,0.21359
0.116866,-0.971474,0.206353
0.12995,-0.971287,0.199285
0.0870997,-0.9831,0.16102
0.0764949,-0.988731,0.128686
0.0816982,-0.992408,0.0919336
0.0663659,-0.995714,0.0644077
0.0487137,-0.998511,0.024558
0.0434073,-0.998945,-0.015005
0.0508955,-0.996655,-0.0639448
0.0573995,-0.98967,-0.131369
0.0582074,-0.983379,-0.171982
