x,y,z
0.137097,-0.00550925,0.990542
0.0676588,0.0310015,0.997227
0.0249216,0.0659807,0.99751
0.0118763,0.104461,0.994458
0.00400491,0.122932,0.992407
0.00990476,0.127062,0.991845
0.0185106,0.13193,0.991086
0.043596,0.158218,0.986441
0.0686655,0.174528,0.982255
0.064886,0.178609,0.981778
0.0599686,0.169879,0.983639
0.0469428,0.183953,0.981813
0.0399877,0.183301,0.982243
0.0337445,0.176047,0.983803
0.0419891,0.180106,0.982751
0.0655344,0.171498,0.983002
0.111899,0.153957,0.981721
0.147958,0.162892,0.975487
0.19489,0.156016,0.968337
0.234094,0.152407,0.960194
0.271952,0.144986,0.951326
0.30672,0.134179,0.942294
0.349302,0.129614,0.928003
0.440486,0.115959,0.890239
0.505806,0.0972834,0.857144
0.566669,0.0801338,0.820039
0.590132,0.0914787,0.802107
0.587474,0.0950792,0.803638
0.56307,0.116045,0.818221
0.551533,0.151215,0.820333
0.536767,0.176928,0.824971
0.519337,0.200038,0.830827
0.502673,0.211002,0.838331
0.499807,0.23044,0.83492
0.497331,0.236084,0.834821
0.491808,0.226619,0.840695
0.484511,0.214507,0.848078
0.0098419,0.0429444,0.999029
-0.0634427,0.0802641,0.994753
-0.119551,0.105654,0.98719
-0.125041,0.106656,0.986402
-0.0663218,0.106766,0.99207
0.000511196,0.103976,0.99458
0.0556458,0.0661947,0.996254
0.103527,0.0291126,0.994201
0.176578,0.0466011,0.983183
0.245053,0.0512129,0.968156
0.309591,0.0677286,0.948455
0.357405,0.0885156,0.929746
0.40213,0.113887,0.908472
0.440428,0.131041,0.888173
0.479473,0.11603,0.869852
0.50318,0.110614,0.857073
0.526583,0.109458,0.843048
0.517686,0.11777,0.847426
0.508227,0.127774,0.851692
0.493645,0.127769,0.860227
0.498888,0.127346,0.85726
0.537124,0.11588,0.835506
0.60673,0.0940775,0.789321
0.678273,0.0832994,0.730073
0.744993,0.0747256,0.662874
0.744743,0.0663968,0.66404
0.735911,0.0574574,0.674636
0.72025,0.0691117,0.690263
0.683733,0.0776962,0.725584
0.642588,0.0798638,0.762038
0.598966,0.07772,0.796994
0.546116,0.0613449,0.83546
0.491691,0.0555461,0.868996
0.462736,0.0578768,0.884605
0.442753,0.0677811,0.894078
0.435669,0.0581961,0.898224
0.436259,0.0598743,0.897827
0.423002,0.0580657,0.904267
0.419371,0.0647513,0.905503
0.419273,0.0980383,0.902551
0.420998,0.102147,0.901291
0.423019,0.102675,0.900285
0.436779,0.101339,0.893842
0.451922,0.113067,0.884863
0.483168,0.112719,0.868241
0.493817,0.108639,0.862753
0.487743,0.111183,0.865878
0.48843,0.124933,0.863613
0.45689,0.13085,0.879846
0.415018,0.116387,0.902338
0.312858,0.162041,0.935876
0.425826,0.0767061,0.901548
0.471848,0.100143,0.875974
0.57419,0.125396,0.809062
0.636006,0.139862,0.758904
0.692994,0.16113,0.702706
0.752833,0.162834,0.637752
0.791384,0.185525,0.582488
0.808623,0.202227,0.552479
0.814124,0.186566,0.549905
0.817659,0.182491,0.546013
0.79719,0.201818,0.568997
0.750719,0.203875,0.628376
0.698169,0.197539,0.688141
0.655817,0.187187,0.731345
0.635095,0.182534,0.750557
0.642931,0.177979,0.744959
0.624178,0.174231,0.761607
0.619355,0.157439,0.769163
0.602896,0.131483,0.786911
0.163159,-0.314632,0.935086
0.179906,-0.222617,0.958163
0.232353,-0.170436,0.957582
0.280845,-0.173837,0.943879
0.345969,-0.138471,0.927972
0.38285,-0.112133,0.91698
0.399016,-0.0601741,0.914967
0.420209,-0.0132502,0.907331
0.430233,0.036827,0.901966
0.447379,0.102974,0.888396
