x,y,z
0.297849,-0.94883,-0.104918
0.288328,-0.949694,-0.122262
0.285052,-0.947078,-0.147607
0.267613,-0.949542,-0.163562
0.257526,-0.951099,-0.170561
0.24746,-0.952902,-0.175331
0.232357,-0.955813,-0.180091
0.213262,-0.95932,-0.185
0.198027,-0.961298,-0.191552
0.188335,-0.962163,-0.196909
0.184398,-0.962302,-0.199932
0.185117,-0.959932,-0.210384
0.179058,-0.960733,-0.211966
0.188884,-0.959689,-0.208134
0.195719,-0.959237,-0.20386
0.211286,-0.955254,-0.206997
0.221392,-0.953091,-0.206405
0.224154,-0.952976,-0.203938
0.219139,-0.955755,-0.196241
0.21738,-0.957109,-0.191542
0.215878,-0.958044,-0.188545
0.209622,-0.959877,-0.186262
0.205904,-0.961133,-0.183921
0.199466,-0.962278,-0.185025
0.192501,-0.964842,-0.178948
0.190456,-0.966976,-0.169364
0.191935,-0.967223,-0.166253
0.19553,-0.967497,-0.160369
0.195514,-0.969568,-0.147347
0.198428,-0.971721,-0.127998
0.200978,-0.973403,-0.109974
0.200229,-0.97497,-0.0966497
0.203527,-0.975378,-0.084943
0.195161,-0.977884,-0.0751967
0.192969,-0.978473,-0.0731743
0.191341,-0.978328,-0.0791337
0.191598,-0.978341,-0.0783501
0.00884546,-0.996735,0.0802531
-0.00100523,-0.997036,0.0769338
-0.00392124,-0.997583,0.0693725
0.00615369,-0.998225,0.0592405
0.027181,-0.998725,0.0425501
0.0528507,-0.998053,0.0331331
0.074432,-0.996954,0.0233062
0.0971493,-0.995262,0.0040377
0.103601,-0.994195,-0.029037
0.107108,-0.993045,-0.0488872
0.10956,-0.992049,-0.0619236
0.102644,-0.991922,-0.07453
0.09878,-0.991919,-0.0796129
0.0985233,-0.991801,-0.081386
0.103796,-0.991979,-0.0721424
0.111118,-0.991902,-0.0615148
0.125651,-0.991172,-0.0423078
0.143646,-0.989443,-0.0191997
0.159756,-0.98713,-0.00723582
0.17069,-0.985321,0.00278503
0.178596,-0.983864,0.0107225
0.18546,-0.982648,0.00263638
0.18813,-0.98214,-0.00286476
0.192867,-0.981204,-0.0064697
0.211815,-0.976873,-0.0292332
0.223194,-0.974288,-0.0307628
0.231834,-0.972227,-0.0320645
0.220672,-0.97452,-0.0401831
0.216494,-0.97574,-0.032578
0.20934,-0.97754,-0.0243536
0.192836,-0.980936,-0.0240622
0.179329,-0.983568,-0.0208632
0.172726,-0.984386,-0.033913
