x,y,z
0.864685,0.191153,0.464521
0.846225,0.172405,0.504163
0.835858,0.154999,0.526608
0.828264,0.132384,0.544475
0.830208,0.116794,0.545081
0.829534,0.104522,0.548588
0.820164,0.0825289,0.566144
0.782603,0.0523574,0.620315
0.729325,0.0220445,0.683812
0.708738,0.00499113,0.705454
0.707289,-0.00208004,0.706921
0.704707,-0.0115854,0.709404
0.658776,-0.0256119,0.751903
0.652097,-0.0213125,0.757836
0.651598,-0.0165162,0.758385
0.649131,-0.0117911,0.760585
0.638928,-0.00675494,0.769237
0.619957,-0.00698414,0.784605
0.614794,-0.00629814,0.788663
0.603093,-0.00252789,0.797667
0.596081,0.0014694,0.802923
0.60037,0.0072207,0.79969
0.597697,0.00956742,0.801665
0.610302,0.0131094,0.79206
0.623349,0.0185382,0.781724
0.628018,0.0229869,0.777859
0.633332,0.0222702,0.773559
0.646165,0.0307212,0.762579
0.645946,0.0403376,0.762317
0.627582,0.0554806,0.776571
0.627896,0.0718105,0.774977
0.628979,0.0843064,0.772837
0.639417,0.0933615,0.76317
0.646434,0.091481,0.757466
0.652963,0.0874005,0.75233
0.679015,0.0797709,0.729778
0.6848,0.076632,0.724691
0.663688,0.0676967,0.74494
0.684973,0.054771,0.726507
0.703294,0.0442788,0.709518
0.708337,0.0441164,0.704494
0.713784,0.0486178,0.698676
0.712766,0.0545682,0.699277
0.70614,0.0635337,0.705217
0.698717,0.0708821,0.711878
0.69497,0.046524,0.717532
0.682786,0.0340336,0.729825
0.655314,0.0248754,0.754947
0.633258,0.0142662,0.77381
0.624343,0.0110976,0.781071
0.625414,0.0152503,0.780144
0.622949,0.0253858,0.781851
0.634963,0.0381271,0.771601
0.64973,0.0694844,0.756982
0.69082,0.0943257,0.716848
0.714398,0.113839,0.690417
0.754138,0.123952,0.644913
0.780872,0.132061,0.610572
0.805829,0.132006,0.577247
0.825515,0.129307,0.549368
0.835977,0.131126,0.532868
0.843629,0.128859,0.521234
0.83349,0.130915,0.536801
0.824713,0.132582,0.549791
0.821734,0.119073,0.557292
0.805992,0.119047,0.579832
0.76814,0.118858,0.629153
0.729336,0.119513,0.673636
0.696513,0.117899,0.707791
0.672555,0.116487,0.730822
0.65437,0.109675,0.748178
0.650931,0.101076,0.752378
0.651494,0.09501,0.752681
0.655374,0.0923453,0.749638
0.659857,0.0892733,0.746069
0.669618,0.0890576,0.737347
0.67948,0.0947468,0.72755
0.68587,0.0965857,0.721286
0.696232,0.0957003,0.711409
0.705458,0.0963216,0.702176
0.707189,0.0970875,0.700327
0.709536,0.0963755,0.698048
0.707348,0.0933954,0.700668
0.708757,0.0905186,0.699622
0.710583,0.0865494,0.69827
0.720898,0.0786076,0.688568
0.720561,0.0683974,0.69001
0.895933,0.157862,0.415192
0.935934,0.170238,0.308297
0.950324,0.174396,0.25782
0.956082,0.184248,0.227947
0.967114,0.196569,0.161404
0.97251,0.200565,0.118312
0.978566,0.198191,0.0559376
0.981576,0.185499,-0.045802
0.97983,0.179083,-0.0886678
0.979525,0.182315,-0.085392
0.981283,0.177477,-0.0747401
0.984461,0.171063,-0.0396812
0.986127,0.164467,-0.0224732
0.986898,0.160478,0.0167281
0.98579,0.150625,0.074368
0.977772,0.141299,0.15491
0.950975,0.134451,0.278514
0.911773,0.119003,0.393076
0.867505,0.110712,0.484952
0.824922,0.102134,0.555943
0.652136,0.0713688,0.754735
0.717352,0.0455879,0.695218
0.720064,0.0283958,0.693326
0.704255,0.0318627,0.709232
0.652436,0.0292362,0.757279
0.620301,0.0273384,0.783887
0.613262,0.032676,0.789203
0.601296,0.0322066,0.798377
0.599697,0.0299744,0.799666
0.605574,0.031981,0.795146
0.624176,0.0313131,0.780656
0.636188,0.0252384,0.771121
0.656093,0.0271521,0.754191
0.665954,0.0224636,0.745655
0.677652,0.0172264,0.735181
0.681302,0.0179568,0.731782
0.679062,0.0175652,0.733871
0.66439,0.0157309,0.74722
0.642653,0.0152314,0.766006
0.625085,0.012976,0.780449
0.605898,0.00605807,0.795519
0.596946,0.0110792,0.802205
0.588141,0.0153805,0.808612
0.585503,0.0139218,0.81055
0.587603,0.025155,0.808758
0.589827,0.0401369,0.806532
0.60069,0.0550304,0.797586
0.610803,0.0678742,0.788868
0.649807,0.0815816,0.755709
0.694124,0.0908618,0.714098
0.736041,0.0948937,0.670253
0.765517,0.0987037,0.635799
0.783383,0.0955874,0.614146
0.781568,0.0892341,0.617405
0.777919,0.0778039,0.62353
0.774807,0.0680079,0.628529
0.774186,0.063602,0.629754
0.747239,0.0486276,0.662774
0.743369,0.0357408,0.667926
0.742047,0.0256021,0.669859
0.697745,0.00721784,0.71631
0.686964,0.0036968,0.726682
0.687291,-0.00252248,0.726378
0.692305,-0.00518825,0.721587
0.692226,-0.0147262,0.72153
0.677903,-0.0212302,0.734845
0.666531,-0.0256356,0.745036
0.628311,-0.0215443,0.777664
0.58842,-0.026811,0.808111
0.568321,-0.0290332,0.822294
0.558143,-0.0333428,0.829074
0.545093,-0.0364122,0.837585
0.540602,-0.0385455,0.840395
0.536197,-0.0419541,0.84305
0.541259,-0.0397552,0.839916
0.645439,0.012989,0.763701
0.675257,0.0361056,0.736698
0.727491,0.0681467,0.682725
0.778726,0.0973646,0.619762
0.80419,0.114374,0.583264
0.818626,0.121287,0.561374
0.832931,0.118796,0.540476
0.841054,0.107431,0.530177
0.840812,0.0971088,0.532546
0.815731,0.0857446,0.572041
0.79344,0.074987,0.604011
0.769714,0.0591696,0.635641
0.751699,0.0483287,0.657733
0.717399,0.043657,0.695293
0.691187,0.0311035,0.722006
0.664228,0.0249704,0.747113
0.641445,0.0213377,0.766872
0.629185,0.0188472,0.777027
0.615338,0.0204043,0.787999
0.61301,0.021209,0.789791
0.615252,0.0216094,0.788034
0.612032,0.0251273,0.790434
0.617069,0.0218578,0.786605
0.626436,0.031414,0.77884
0.64861,0.0278643,0.76061
0.674866,0.0276945,0.73742
0.719804,0.038971,0.693082
0.750434,0.0423837,0.659585
0.791569,0.048701,0.609136
0.817744,0.0516193,0.573262
0.836902,0.0525892,0.544821
0.858101,0.0529123,0.510747
0.872025,0.0557635,0.486275
0.878323,0.0548736,0.474909
0.884416,0.0485162,0.46417
0.878998,0.045945,0.474606
0.869876,0.0460961,0.491112
0.852526,0.0417562,0.521014
0.828632,0.0376891,0.558524
0.802578,0.0370318,0.595397
0.777785,0.0325939,0.627684
0.750789,0.0312693,0.659802
0.717104,0.0324829,0.696209
0.687231,0.0354062,0.725576
0.669027,0.0475063,0.741718
0.660796,0.0524817,0.748729
0.660173,0.0560787,0.749017
0.678179,0.0706178,0.731496
0.724527,0.0835322,0.684166
0.770336,0.116209,0.626959
0.821566,0.13802,0.553154
0.871003,0.153651,0.466631
0.918353,0.167459,0.358588
0.950272,0.17589,0.256995
0.966704,0.182882,0.178988
0.977713,0.188698,0.0920391
0.980146,0.192053,0.0492926
0.980548,0.193725,0.0315767
0.982288,0.184887,0.0304584
0.980985,0.174026,0.085928
0.978748,0.16459,0.12232
0.970216,0.149019,0.190984
0.951418,0.138546,0.27497
0.885053,0.127172,0.447782
0.847584,0.124569,0.515833
0.810556,0.118887,0.573468
0.254568,-0.0660884,0.964794
0.249192,-0.0657214,0.966221
0.245182,-0.0601632,0.967609
0.26688,-0.0496512,0.96245
0.302306,-0.0302119,0.952732
0.345326,-0.0217971,0.93823
0.424636,-0.00395604,0.905356
0.497381,0.0230222,0.867227
0.603286,0.0480906,0.796074
0.701063,0.0756487,0.709075
0.784823,0.106077,0.610574
0.853634,0.123686,0.505976
0.896111,0.134376,0.422999
0.927081,0.143196,0.346433
0.950781,0.153815,0.268991
0.965918,0.160367,0.203189
0.971811,0.164949,0.168451
0.978516,0.205194,-0.0200526
0.975873,0.21172,-0.053347
0.97462,0.212379,-0.0707927
0.971527,0.222021,-0.0827125
0.972224,0.22079,-0.0776713
0.974171,0.221016,-0.0462831
0.974492,0.216565,0.0588718
0.969056,0.209932,0.129845
0.950796,0.19418,0.241415
0.922839,0.176234,0.342505
0.892459,0.157987,0.422561
0.858315,0.133006,0.495586
0.829085,0.111329,0.547927
0.802698,0.0817307,0.590758
0.77403,0.06676,0.62962
0.756935,0.0497007,0.651598
0.729917,0.0450693,0.682049
0.688496,0.0484525,0.72362
0.651523,0.0599311,0.756258
0.628082,0.0668738,0.775268
0.596687,0.0751644,0.798946
0.581264,0.0887637,0.808859
0.573243,0.0939522,0.813981
0.949306,0.169164,0.264958
0.962839,0.181869,0.199662
0.970426,0.192229,0.146015
0.972346,0.207935,0.10633
0.972447,0.219435,0.0787117
0.973467,0.21798,0.0696157
0.973708,0.214098,0.0778091
0.973132,0.210703,0.0928306
0.971716,0.208018,0.111785
0.968619,0.205067,0.140443
0.958331,0.20209,0.201896
0.942721,0.188724,0.275062
0.926165,0.170474,0.336389
0.915353,0.147408,0.374699
0.905203,0.122568,0.40692
0.881233,0.113348,0.458891
0.860621,0.111581,0.496871
0.841875,0.102091,0.529928
0.818624,0.0963788,0.566186
0.801433,0.0920994,0.590951
0.787714,0.0915934,0.609195
0.965857,0.131787,0.223052
0.973212,0.146318,0.17734
0.977761,0.155136,0.141124
0.98321,0.161645,0.0846667
0.98429,0.173851,0.0308002
0.982014,0.188776,-0.00334267
0.978415,0.203502,-0.0359374
0.973816,0.215403,-0.0726907
0.96967,0.227576,-0.0891581
0.969259,0.231837,-0.0823911
0.97032,0.232945,-0.0649234
0.97047,0.237701,-0.0410693
0.969507,0.245026,-0.00429347
0.967574,0.252336,0.0112603
0.967751,0.251757,-0.00868969
0.962279,0.262463,-0.0716448
0.957885,0.268665,-0.101369
0.955127,0.275644,-0.108412
0.948968,0.280221,-0.144689
0.975277,0.214669,0.0524665
0.974787,0.199639,0.099672
0.972945,0.188258,0.133932
0.957803,0.179172,0.224745
0.93837,0.161998,0.305318
0.92064,0.157421,0.357267
0.910561,0.1437,0.387595
0.880403,0.15069,0.449647
0.850474,0.136423,0.508019
0.822815,0.131536,0.552877
0.785733,0.132057,0.604305
0.750083,0.134852,0.647449
0.724681,0.131828,0.676357
0.706628,0.123501,0.696724
0.547121,-0.0440937,0.835892
0.54832,-0.0447647,0.835069
0.547202,-0.0345752,0.836286
0.553085,-0.0262971,0.83271
0.554714,-0.011223,0.831966
0.56371,-0.00173842,0.825971
0.578037,0.0109495,0.815937
0.593562,0.0232197,0.804453
0.610133,0.0457766,0.790975
0.623034,0.0573675,0.780088
0.64894,0.063266,0.758204
0.680378,0.0790624,0.728584
0.710595,0.0994799,0.696533
0.750077,0.125926,0.649252
0.793398,0.143647,0.591511
0.839977,0.161787,0.517941
0.877365,0.169709,0.448808
0.904095,0.168982,0.3925
0.921881,0.169129,0.348612
0.937108,0.170112,0.304779
0.946529,0.171336,0.273362
0.951672,0.170386,0.255515
0.95031,0.16977,0.260937
0.945311,0.154355,0.287334
0.937166,0.151569,0.314241
0.925322,0.151461,0.347617
0.91633,0.144991,0.373253
0.886809,0.142393,0.439652
0.86129,0.13363,0.490226
0.832217,0.136926,0.537277
0.795224,0.137537,0.590511
0.759129,0.137893,0.636168
0.728317,0.135371,0.671736
0.716195,0.131428,0.685413
0.712209,0.128661,0.690076
0.712787,0.128957,0.689423
0.723303,0.128609,0.678448
0.749601,0.132645,0.648463
0.779444,0.13688,0.611336
0.8377,0.145156,0.526486
0.895137,0.153867,0.418395
0.923926,0.154836,0.349839
0.959787,0.157368,0.232472
0.977811,0.155001,0.140925
0.98552,0.154565,0.069712
0.987523,0.155886,0.0223129
0.986563,0.163347,-0.00336508
0.754479,0.0879247,0.650409
0.722811,0.0754675,0.686912
0.662085,0.0639511,0.746695
0.598505,0.0625152,0.798676
0.542211,0.0586343,0.838194
0.502298,0.0535517,0.863035
0.484201,0.0438936,0.873855
0.475201,0.0302171,0.879358
0.457869,0.0184387,0.888829
0.440407,0.0121923,0.897715
0.443484,0.00304829,0.896277
0.450258,-0.00314027,0.892893
0.488217,-0.0029451,0.872717
0.548908,-0.00121431,0.835882
0.613672,0.0078866,0.789522
0.682279,0.0307196,0.730446
0.724034,0.0462581,0.688211
0.793644,0.0723088,0.604071
0.84185,0.0876184,0.532552
0.870747,0.096269,0.482216
0.889879,0.101489,0.444764
0.909115,0.106093,0.402808
0.913532,0.110414,0.391495
0.913158,0.10926,0.392689
0.909922,0.104998,0.401269
0.89711,0.101232,0.430052
0.868537,0.0924741,0.486921
0.83627,0.0841786,0.541818
0.782841,0.0844732,0.616461
0.733225,0.0804408,0.675211
0.671416,0.0888549,0.735734
0.602391,0.0842429,0.793743
0.49629,-0.0470022,0.866883
0.433692,-0.0199551,0.90084
0.41448,-0.00898459,0.910014
0.411129,0.000855073,0.911577
0.429898,-0.00381078,0.90287
0.463058,-0.00849729,0.886287
0.494571,-0.00569479,0.869118
0.52708,-0.00656316,0.849791
0.549521,-0.00596535,0.835459
0.586658,-0.000412946,0.809835
0.617639,0.00790166,0.786422
0.643514,0.017713,0.76523
0.667084,0.0332721,0.744239
0.69613,0.0463748,0.716417
0.731899,0.0573889,0.678992
0.766964,0.0692468,0.637942
0.802883,0.0773815,0.591093
0.834368,0.0894621,0.543899
0.863295,0.103352,0.494004
0.888504,0.116474,0.44384
0.908451,0.130867,0.396978
0.920418,0.148253,0.361734
0.934701,0.158885,0.317947
0.94699,0.171006,0.271967
0.95884,0.183631,0.216575
0.966322,0.194092,0.168967
0.968674,0.205071,0.140061
0.93445,0.215642,0.283376
0.929012,0.205999,0.307411
0.925363,0.19203,0.326846
0.928553,0.176625,0.326486
0.930276,0.170633,0.324763
0.946895,0.168732,0.273714
0.95793,0.169088,0.231905
0.963304,0.167773,0.209516
0.966985,0.166831,0.192632
0.969534,0.165224,0.180846
0.970277,0.16583,0.176246
0.967999,0.17334,0.181469
0.964265,0.187513,0.18717
0.961742,0.192873,0.194559
0.947877,0.183551,0.260457
0.933554,0.173773,0.313496
0.920256,0.166775,0.353999
0.903594,0.149822,0.401337
0.865501,0.13634,0.481996
0.799948,0.120976,0.587749
0.749602,0.109169,0.652824
0.69944,0.0966673,0.708124
0.62941,0.0740874,0.773533
0.578352,0.0587963,0.813666
0.51468,0.0347497,0.856678
0.490109,0.0231744,0.871353
0.465718,0.0151664,0.884803
0.455581,0.00942686,0.890145
0.454318,0.00424136,0.890829
0.455989,-0.000661994,0.889985
0.464986,0.000356217,0.885318
0.476073,0.0017945,0.879404
0.501206,0.00654966,0.865303
0.584873,0.0163603,0.81096
0.66311,0.020944,0.748228
0.70757,0.0310472,0.705961
0.792501,0.0494267,0.607864
0.835111,0.0567399,0.547148
0.985382,0.142822,0.0928638
0.980517,0.156239,0.119065
0.96793,0.163039,0.191129
0.948532,0.167893,0.268513
0.912063,0.162067,0.376663
0.881283,0.149336,0.448373
0.847646,0.137909,0.512325
0.824162,0.127123,0.551902
0.810891,0.122085,0.572321
0.804514,0.118242,0.582045
0.805055,0.117423,0.581463
0.816006,0.112108,0.567068
0.835275,0.113222,0.538049
0.884801,0.127039,0.448317
0.918949,0.141262,0.368208
0.949476,0.255568,-0.182154
0.961557,0.25242,-0.108131
0.966858,0.248416,-0.0589566
0.973368,0.228197,0.0219311
0.971367,0.219524,0.0908629
0.966772,0.205406,0.152188
0.956933,0.193041,0.216826
0.934837,0.164588,0.314627
