x,y,z
-0.864685,-0.191153,-0.464521
-0.846225,-0.172405,-0.504162
-0.835858,-0.154999,-0.526609
-0.828264,-0.132384,-0.544475
-0.830209,-0.116794,-0.54508
-0.829534,-0.104522,-0.548588
-0.820164,-0.082529,-0.566144
-0.782602,-0.0523575,-0.620316
-0.729325,-0.0220445,-0.683812
-0.708738,-0.00499126,-0.705455
-0.707289,0.00208017,-0.706922
-0.704707,0.0115852,-0.709404
-0.658776,0.025612,-0.751903
-0.652097,0.0213123,-0.757836
-0.651597,0.0165163,-0.758386
-0.64913,0.0117912,-0.760586
-0.638928,0.00675467,-0.769237
-0.619957,0.00698426,-0.784605
-0.614794,0.00629814,-0.788663
-0.603094,0.00252775,-0.797666
-0.596081,-0.0014694,-0.802923
-0.60037,-0.00722085,-0.79969
-0.597697,-0.00956728,-0.801665
-0.610302,-0.0131095,-0.79206
-0.62335,-0.0185383,-0.781723
-0.628018,-0.0229868,-0.777859
-0.633332,-0.0222705,-0.773559
-0.646166,-0.0307211,-0.762579
-0.645946,-0.0403376,-0.762317
-0.627581,-0.0554807,-0.776572
-0.627896,-0.0718105,-0.774977
-0.62898,-0.0843066,-0.772836
-0.639418,-0.0933615,-0.76317
-0.646434,-0.091481,-0.757466
-0.652963,-0.0874003,-0.75233
-0.679015,-0.0797707,-0.729778
-0.6848,-0.076632,-0.72469
-0.663687,-0.0676967,-0.74494
-0.684973,-0.0547708,-0.726507
-0.703295,-0.0442785,-0.709518
-0.708338,-0.0441164,-0.704494
-0.713784,-0.0486178,-0.698677
-0.712765,-0.0545682,-0.699277
-0.706139,-0.0635337,-0.705217
-0.698717,-0.0708821,-0.711878
-0.69497,-0.0465239,-0.717532
-0.682785,-0.0340337,-0.729826
-0.655314,-0.0248756,-0.754947
-0.633257,-0.0142663,-0.77381
-0.624344,-0.0110974,-0.781071
-0.625415,-0.0152504,-0.780144
-0.622949,-0.0253856,-0.781851
-0.634962,-0.0381269,-0.771602
-0.649731,-0.0694846,-0.756982
-0.69082,-0.0943255,-0.716848
-0.714399,-0.113839,-0.690417
-0.754137,-0.123952,-0.644913
-0.780872,-0.132061,-0.610572
-0.80583,-0.132006,-0.577246
-0.825515,-0.129307,-0.549367
-0.835977,-0.131126,-0.532869
-0.84363,-0.128859,-0.521234
-0.83349,-0.130915,-0.536801
-0.824714,-0.132582,-0.54979
-0.821734,-0.119073,-0.557293
-0.805992,-0.119048,-0.579831
-0.76814,-0.118858,-0.629153
-0.729336,-0.119513,-0.673636
-0.696513,-0.117899,-0.707792
-0.672555,-0.116486,-0.730822
-0.654371,-0.109675,-0.748178
-0.650932,-0.101076,-0.752377
-0.651494,-0.09501,-0.752681
-0.655374,-0.0923454,-0.749638
-0.659857,-0.0892733,-0.746069
-0.669618,-0.0890575,-0.737347
-0.67948,-0.0947466,-0.727551
-0.68587,-0.0965857,-0.721286
-0.696232,-0.0957002,-0.711409
-0.705457,-0.0963216,-0.702177
-0.707189,-0.0970874,-0.700327
-0.709536,-0.0963757,-0.698047
-0.707348,-0.0933955,-0.700669
-0.708757,-0.0905185,-0.699622
-0.710583,-0.0865494,-0.69827
-0.720898,-0.0786075,-0.688568
-0.720561,-0.0683974,-0.69001
-0.895933,-0.157862,-0.415191
-0.935934,-0.170238,-0.308296
-0.950324,-0.174396,-0.257819
-0.956082,-0.184248,-0.227947
-0.967114,-0.196569,-0.161404
-0.97251,-0.200565,-0.118313
-0.978566,-0.198191,-0.0559376
-0.981576,-0.185499,0.045802
-0.97983,-0.179083,0.0886689
-0.979525,-0.182315,0.085391
-0.981283,-0.177478,0.0747401
-0.984461,-0.171062,0.0396812
-0.986127,-0.164467,0.0224722
-0.986898,-0.160478,-0.0167281
-0.98579,-0.150625,-0.074367
-0.977772,-0.141299,-0.154909
-0.950975,-0.134451,-0.278513
-0.911773,-0.119003,-0.393076
-0.867505,-0.110711,-0.484952
-0.824922,-0.102134,-0.555942
-0.652135,-0.0713688,-0.754736
-0.717352,-0.045588,-0.695218
-0.720064,-0.0283958,-0.693326
-0.704255,-0.0318627,-0.709232
-0.652436,-0.0292361,-0.75728
-0.620301,-0.0273383,-0.783887
-0.613262,-0.032676,-0.789203
-0.601298,-0.0322068,-0.798376
-0.599697,-0.0299745,-0.799665
-0.605573,-0.0319809,-0.795146
-0.624176,-0.0313131,-0.780656
-0.636189,-0.0252381,-0.77112
-0.656094,-0.0271522,-0.754191
-0.665954,-0.0224634,-0.745655
-0.677651,-0.0172263,-0.735182
-0.681302,-0.0179567,-0.731782
-0.679062,-0.0175652,-0.733871
-0.66439,-0.0157309,-0.74722
-0.642652,-0.0152312,-0.766007
-0.625086,-0.012976,-0.780448
-0.605898,-0.00605793,-0.795519
-0.596946,-0.0110792,-0.802205
-0.588141,-0.0153805,-0.808612
-0.585504,-0.013922,-0.81055
-0.587604,-0.0251549,-0.808758
-0.589827,-0.0401369,-0.806532
-0.600689,-0.0550304,-0.797586
-0.610803,-0.0678745,-0.788868
-0.649808,-0.0815817,-0.755708
-0.694124,-0.0908618,-0.714098
-0.736041,-0.0948938,-0.670253
-0.765517,-0.0987035,-0.635799
-0.783383,-0.0955872,-0.614145
-0.781568,-0.0892341,-0.617405
-0.777918,-0.0778037,-0.62353
-0.774807,-0.0680078,-0.628529
-0.774186,-0.063602,-0.629754
-0.747238,-0.0486274,-0.662775
-0.743369,-0.0357408,-0.667927
-0.742047,-0.0256021,-0.669859
-0.697745,-0.00721798,-0.71631
-0.686964,-0.00369652,-0.726682
-0.687291,0.00252249,-0.726378
-0.692304,0.00518825,-0.721588
-0.692226,0.0147264,-0.72153
-0.677903,0.02123,-0.734845
-0.666532,0.0256359,-0.745036
-0.628311,0.0215446,-0.777664
-0.58842,0.0268112,-0.808111
-0.568321,0.0290333,-0.822295
-0.558144,0.0333429,-0.829074
-0.545092,0.036412,-0.837585
-0.540602,0.0385453,-0.840395
-0.536196,0.041954,-0.84305
-0.541259,0.0397551,-0.839916
-0.645439,-0.0129891,-0.763701
-0.675257,-0.0361055,-0.736698
-0.72749,-0.0681464,-0.682725
-0.778727,-0.0973647,-0.619762
-0.80419,-0.114374,-0.583264
-0.818626,-0.121287,-0.561374
-0.832931,-0.118796,-0.540476
-0.841053,-0.10743,-0.530177
-0.840812,-0.0971089,-0.532546
-0.815731,-0.0857446,-0.572041
-0.793441,-0.074987,-0.60401
-0.769714,-0.0591697,-0.635641
-0.751699,-0.0483288,-0.657734
-0.7174,-0.0436569,-0.695293
-0.691187,-0.0311034,-0.722006
-0.664228,-0.0249705,-0.747113
-0.641445,-0.0213376,-0.766872
-0.629184,-0.0188472,-0.777027
-0.615338,-0.0204042,-0.788
-0.613009,-0.0212088,-0.789792
-0.615252,-0.0216093,-0.788034
-0.612032,-0.0251274,-0.790434
-0.617069,-0.021858,-0.786605
-0.626435,-0.0314141,-0.77884
-0.64861,-0.0278643,-0.76061
-0.674865,-0.0276944,-0.737421
-0.719804,-0.038971,-0.693082
-0.750434,-0.042384,-0.659585
-0.791569,-0.0487011,-0.609136
-0.817744,-0.0516195,-0.573263
-0.836902,-0.0525894,-0.54482
-0.858101,-0.0529124,-0.510748
-0.872024,-0.0557636,-0.486276
-0.878323,-0.0548737,-0.474909
-0.884416,-0.0485162,-0.46417
-0.878998,-0.0459449,-0.474606
-0.869876,-0.0460962,-0.491112
-0.852526,-0.0417562,-0.521014
-0.828632,-0.0376891,-0.558524
-0.802578,-0.0370319,-0.595397
-0.777785,-0.0325941,-0.627684
-0.750789,-0.0312693,-0.659802
-0.717104,-0.0324831,-0.696209
-0.68723,-0.035406,-0.725576
-0.669027,-0.0475064,-0.741718
-0.660796,-0.0524817,-0.748728
-0.660174,-0.0560789,-0.749017
-0.678179,-0.0706181,-0.731496
-0.724526,-0.0835323,-0.684167
-0.770336,-0.11621,-0.626959
-0.821566,-0.13802,-0.553155
-0.871003,-0.153651,-0.466631
-0.918352,-0.167459,-0.358589
-0.950272,-0.17589,-0.256996
-0.966704,-0.182882,-0.178988
-0.977713,-0.188698,-0.0920392
-0.980146,-0.192053,-0.0492915
-0.980548,-0.193725,-0.0315767
-0.982288,-0.184887,-0.0304574
-0.980985,-0.174025,-0.085929
-0.978748,-0.16459,-0.12232
-0.970216,-0.149019,-0.190983
-0.951418,-0.138546,-0.274969
-0.885053,-0.127172,-0.447782
-0.847584,-0.124569,-0.515833
-0.810556,-0.118887,-0.573468
-0.254569,0.0660886,-0.964794
-0.249192,0.0657215,-0.966222
-0.245183,0.0601634,-0.967608
-0.266881,0.0496512,-0.96245
-0.302307,0.0302118,-0.952732
-0.345326,0.0217971,-0.93823
-0.424636,0.00395605,-0.905356
-0.497381,-0.0230222,-0.867227
-0.603286,-0.0480906,-0.796074
-0.701063,-0.0756485,-0.709075
-0.784822,-0.106077,-0.610575
-0.853634,-0.123686,-0.505975
-0.896111,-0.134376,-0.422999
-0.927081,-0.143196,-0.346432
-0.950781,-0.153815,-0.268992
-0.965917,-0.160367,-0.20319
-0.971811,-0.164949,-0.168451
-0.978516,-0.205194,0.0200516
-0.975873,-0.21172,0.0533481
-0.97462,-0.212379,0.0707927
-0.971527,-0.222021,0.0827136
-0.972224,-0.22079,0.0776713
-0.974171,-0.221016,0.0462821
-0.974492,-0.216564,-0.0588718
-0.969056,-0.209932,-0.129846
-0.950796,-0.19418,-0.241415
-0.922839,-0.176233,-0.342505
-0.892459,-0.157987,-0.422561
-0.858315,-0.133006,-0.495586
-0.829085,-0.111329,-0.547927
-0.802699,-0.0817308,-0.590757
-0.77403,-0.0667602,-0.62962
-0.756935,-0.0497007,-0.651598
-0.729916,-0.0450695,-0.68205
-0.688496,-0.0484527,-0.72362
-0.651523,-0.0599311,-0.756258
-0.628083,-0.0668738,-0.775268
-0.596687,-0.0751642,-0.798946
-0.581264,-0.0887636,-0.808859
-0.573243,-0.0939524,-0.813981
-0.949306,-0.169164,-0.264957
-0.962839,-0.181869,-0.199662
-0.970426,-0.19223,-0.146016
-0.972346,-0.207935,-0.10633
-0.972447,-0.219435,-0.0787127
-0.973467,-0.21798,-0.0696179
-0.973708,-0.214098,-0.0778091
-0.973132,-0.210703,-0.0928307
-0.971716,-0.208018,-0.111785
-0.968619,-0.205067,-0.140443
-0.958331,-0.20209,-0.201895
-0.942722,-0.188724,-0.275061
-0.926165,-0.170474,-0.33639
-0.915353,-0.147408,-0.374699
-0.905203,-0.122568,-0.40692
-0.881234,-0.113348,-0.45889
-0.860621,-0.111581,-0.496871
-0.841875,-0.102091,-0.529928
-0.818624,-0.0963788,-0.566186
-0.801433,-0.0920994,-0.590951
-0.787714,-0.0915932,-0.609194
-0.965857,-0.131787,-0.223051
-0.973212,-0.146318,-0.177341
-0.977761,-0.155136,-0.141125
-0.98321,-0.161645,-0.0846668
-0.98429,-0.173851,-0.0307992
-0.982014,-0.188776,0.00334267
-0.978415,-0.203502,0.0359385
-0.973816,-0.215402,0.0726896
-0.96967,-0.227575,0.089158
-0.969259,-0.231837,0.0823911
-0.97032,-0.232946,0.0649224
-0.97047,-0.237701,0.0410703
-0.969507,-0.245026,0.00429243
-0.967574,-0.252336,-0.0112603
-0.967751,-0.251757,0.00868866
-0.962279,-0.262463,0.0716448
-0.957885,-0.268664,0.101369
-0.955127,-0.275644,0.108412
-0.948968,-0.280222,0.144689
-0.975277,-0.214669,-0.0524655
-0.974787,-0.199639,-0.0996731
-0.972945,-0.188258,-0.133931
-0.957803,-0.179172,-0.224746
-0.938369,-0.161998,-0.305319
-0.920641,-0.157421,-0.357266
-0.91056,-0.1437,-0.387596
-0.880403,-0.15069,-0.449647
-0.850474,-0.136423,-0.508019
-0.822815,-0.131536,-0.552877
-0.785733,-0.132057,-0.604305
-0.750083,-0.134852,-0.647449
-0.724681,-0.131829,-0.676357
-0.706628,-0.123501,-0.696724
-0.54712,0.044094,-0.835892
-0.54832,0.0447647,-0.83507
-0.547202,0.0345753,-0.836286
-0.553085,0.026297,-0.83271
-0.554713,0.011223,-0.831966
-0.563709,0.00173855,-0.825971
-0.578036,-0.0109495,-0.815938
-0.593562,-0.0232196,-0.804453
-0.610133,-0.0457766,-0.790976
-0.623033,-0.0573674,-0.780089
-0.64894,-0.0632662,-0.758204
-0.680378,-0.0790624,-0.728584
-0.710596,-0.0994798,-0.696532
-0.750077,-0.125926,-0.649252
-0.793398,-0.143647,-0.591511
-0.839977,-0.161787,-0.517941
-0.877365,-0.169709,-0.448808
-0.904096,-0.168982,-0.3925
-0.921881,-0.169129,-0.348613
-0.937108,-0.170112,-0.304778
-0.946529,-0.171335,-0.273363
-0.951673,-0.170386,-0.255514
-0.95031,-0.169771,-0.260937
-0.945311,-0.154356,-0.287335
-0.937166,-0.151569,-0.314241
