x,y,z
0.273415,-0.905846,0.323554
0.261098,-0.901686,0.34466
0.249778,-0.895574,0.368182
0.218245,-0.906906,0.360402
0.16885,-0.920431,0.352556
0.0883353,-0.930912,0.354399
0.0136983,-0.932549,0.360784
-0.0184972,-0.936845,0.349257
-0.0421391,-0.936232,0.348846
-0.0564455,-0.941547,0.332118
-0.0884382,-0.951361,0.295113
-0.0797796,-0.965912,0.24627
-0.0877042,-0.972479,0.215853
0.0143573,-0.991724,0.127583
0.0179691,-0.994743,0.100813
0.0112216,-0.997072,0.0756461
0.00186217,-0.998946,0.0458547
-0.0111667,-0.999927,-0.00471167
0.00116136,-0.999338,-0.0363537
-0.00891113,-0.998062,-0.0615907
0.0239461,-0.997733,-0.0628981
0.0352225,-0.998762,-0.0351147
0.0338755,-0.999401,-0.00709865
-0.00555477,-0.999155,0.0407133
-0.018314,-0.996708,0.078981
-0.0134291,-0.996803,0.0787582
0.000672849,-0.997222,0.0744883
0.0137331,-0.998519,0.0526442
-0.00831945,-0.99877,0.0488892
-0.0382771,-0.996672,0.0719752
-0.0641479,-0.992455,0.104485
-0.0793568,-0.98816,0.131307
-0.0788901,-0.984272,0.158064
-0.0973755,-0.98036,0.171501
-0.0886509,-0.978427,0.186607
-0.0922961,-0.981593,0.167204
-0.090799,-0.984461,0.150307
-0.00655403,-0.97436,0.224898
0.0131409,-0.970819,0.239455
-0.000397133,-0.965853,0.25909
0.00885141,-0.959145,0.282776
-0.018547,-0.94884,0.315211
-0.00150546,-0.953246,0.302193
0.00600955,-0.965716,0.25953
-0.0344672,-0.972906,0.228616
-0.0585094,-0.982969,0.174207
-0.0821731,-0.991593,0.099957
-0.0896927,-0.995108,0.0414216
-0.0755386,-0.997127,-0.00565918
-0.0801425,-0.995171,-0.0566817
-0.0960125,-0.992069,-0.0811162
-0.0976816,-0.991771,-0.0827594
-0.096273,-0.989942,-0.103667
-0.116505,-0.988357,-0.0978611
-0.133042,-0.98854,-0.0713344
