x,y,z
-0.951424,-0.0159369,0.307471
-0.963002,-0.00617844,0.269424
-0.974345,0.00968206,0.224851
-0.983094,0.0418706,0.178251
-0.989686,0.0627293,0.128785
-0.9211,0.387466,0.038003
-0.840569,0.540454,-0.0367888
-0.792565,0.606752,-0.0607706
-0.766466,0.638448,-0.0701072
-0.722402,0.687539,-0.0736545
-0.666103,0.741055,-0.0845238
-0.649745,0.75641,-0.0753372
-0.68322,0.727967,-0.0572168
-0.913005,0.400738,-0.0763661
-0.964423,0.225428,-0.138097
-0.969529,0.124056,-0.211242
-0.965616,0.0675914,-0.251031
-0.964137,0.0332327,-0.263317
-0.955604,0.017231,-0.29415
-0.949076,0.00593759,-0.314992
-0.939829,-0.0193994,-0.341093
-0.923228,-0.0223484,-0.383602
-0.902954,-0.0282406,-0.428809
-0.848643,-0.0430814,-0.527209
-0.797775,-0.0493798,-0.600929
-0.757015,-0.0783387,-0.648684
-0.740954,-0.0915327,-0.665289
-0.737178,-0.0940242,-0.669125
-0.755646,-0.0685931,-0.651378
-0.788709,-0.0379142,-0.613596
-0.806436,-0.0182289,-0.59104
-0.82911,-0.00317887,-0.559077
-0.839888,0.0296474,-0.541949
-0.848224,0.0208759,-0.529226
-0.854602,0.0291497,-0.518464
-0.873251,0.0492118,-0.484779
-0.893629,0.0493368,-0.446087
-0.982772,-0.0625604,0.173912
-0.973306,-0.0594379,0.221682
-0.969175,-0.0439959,0.242414
-0.971148,-0.0445557,0.234279
-0.985351,-0.0297263,0.167929
-0.995727,-0.0445884,0.0808688
-0.999874,-0.00717776,0.0141872
-0.995093,-0.0419044,-0.0896338
-0.975344,-0.0560193,-0.213463
-0.949391,-0.0489913,-0.310251
-0.926276,-0.0464147,-0.373976
-0.907929,-0.0513115,-0.415972
-0.883057,-0.0409931,-0.467471
-0.861427,-0.0149144,-0.507663
-0.841184,-0.0204425,-0.540362
-0.828307,-0.0341249,-0.559235
-0.81228,-0.0358085,-0.582168
-0.806687,-0.0348336,-0.589952
-0.826806,-0.030439,-0.561663
-0.851268,-0.0310289,-0.523812
-0.870314,-0.0355723,-0.491211
