x,y,z
0.116476,0.956906,0.266014
0.115599,0.947386,0.298492
0.11515,0.936975,0.329877
0.122249,0.927007,0.35456
0.132668,0.92039,0.367805
0.140092,0.915377,0.377438
0.15201,0.906138,0.394723
0.151091,0.894013,0.421796
0.135365,0.884348,0.446771
0.131499,0.879743,0.456903
0.135084,0.877397,0.460354
0.137808,0.872563,0.468661
0.11908,0.865296,0.486911
0.10818,0.867821,0.484958
0.103536,0.869415,0.483113
0.0927045,0.86805,0.487745
0.0797026,0.868544,0.489162
0.0692239,0.868232,0.491306
0.0681949,0.870781,0.486918
0.0635195,0.873767,0.482179
0.0580139,0.876367,0.478137
0.0605888,0.880862,0.469479
0.0600933,0.883388,0.464774
0.0640619,0.886275,0.458707
0.0716306,0.890825,0.448664
0.0736344,0.894109,0.441754
0.0745938,0.894817,0.440157
0.0774141,0.898208,0.4327
0.0756888,0.902676,0.423613
0.0644299,0.909107,0.41155
0.0598226,0.916268,0.396073
0.0588031,0.921604,0.383652
0.0624535,0.926184,0.371865
0.070167,0.928075,0.365724
0.0752504,0.927658,0.365771
0.0869966,0.926579,0.365901
0.090758,0.925583,0.367503
0.278212,0.927355,0.250222
0.294826,0.925264,0.238673
0.301924,0.923261,0.237554
0.293937,0.924743,0.241767
0.277103,0.927313,0.251604
0.258214,0.929602,0.262992
0.235314,0.933492,0.270591
0.207941,0.936183,0.283411
0.197101,0.927689,0.317086
0.182988,0.922558,0.33971
0.16654,0.917525,0.361126
0.155541,0.912288,0.378864
0.150394,0.910315,0.385628
0.145698,0.912036,0.383357
0.139737,0.915817,0.3765
0.141293,0.920566,0.364136
0.125722,0.930542,0.343926
0.12992,0.940127,0.31509
0.126586,0.945941,0.298617
0.136613,0.949644,0.281982
0.141519,0.952568,0.26942
0.146774,0.953141,0.264535
0.154128,0.953241,0.259956
0.152829,0.954144,0.257395
0.144404,0.951675,0.271039
0.135508,0.950336,0.280178
0.129936,0.94884,0.287783
0.139612,0.94436,0.297814
0.138647,0.94506,0.296039
0.128077,0.945763,0.298544
0.118917,0.946173,0.301025
0.117184,0.945461,0.303926
0.111538,0.943443,0.31221
0.112952,0.942148,0.315594
0.121552,0.939924,0.31901
0.126579,0.937975,0.322771
0.127914,0.937777,0.322821
0.126349,0.93636,0.327514
0.132604,0.937216,0.322557
0.131394,0.939225,0.317164
0.129619,0.93861,0.319702
0.130151,0.937773,0.321936
0.120518,0.936354,0.329722
0.113143,0.935378,0.335063
0.107803,0.933345,0.342412
0.0988952,0.930228,0.353406
0.0912816,0.926916,0.363998
0.089555,0.923953,0.371875
0.0997287,0.922524,0.372833
0.105288,0.917158,0.384363
0.166087,0.942287,0.290705
0.175143,0.959118,0.222302
0.178552,0.961974,0.206702
0.19612,0.961245,0.193765
0.20025,0.966652,0.159635
0.203652,0.969658,0.135237
0.21039,0.971375,0.110304
0.212937,0.975105,0.0618702
0.205739,0.9777,0.0421153
0.206454,0.977438,0.0446322
0.210701,0.976296,0.0495127
0.217963,0.97296,0.0764269
0.214725,0.972028,0.095161
0.219263,0.96807,0.12151
0.228402,0.961695,0.151575
0.228729,0.957396,0.176283
0.210913,0.950714,0.227287
0.189905,0.949021,0.251584
0.1662,0.94826,0.270519
0.151894,0.944593,0.290986
0.180233,0.925547,0.332983
0.163093,0.911481,0.377628
0.146649,0.899464,0.411653
0.124547,0.898865,0.420155
0.0894995,0.894888,0.437225
0.0679777,0.893932,0.443018
0.0532016,0.892995,0.44691
0.0452599,0.891167,0.451412
0.0469536,0.891111,0.45135
0.043315,0.889715,0.454457
0.0514394,0.89113,0.450823
0.0590825,0.890532,0.451067
0.0663053,0.892899,0.445349
0.0747107,0.892269,0.445281
0.088463,0.893035,0.441206
0.0936816,0.894135,0.437888
0.0958187,0.894987,0.43568
0.0913757,0.893295,0.440085
0.0813941,0.89186,0.444927
0.0757952,0.889236,0.451126
0.0672717,0.884594,0.461484
0.0634675,0.887161,0.457076
0.0577937,0.887266,0.457623
0.0549632,0.88559,0.461205
0.0466275,0.889579,0.454396
0.0455569,0.895899,0.441916
0.0460072,0.902116,0.429033
0.0376041,0.907557,0.418243
0.0551632,0.915419,0.398705
0.0829791,0.923863,0.373618
0.104188,0.928435,0.356586
0.116948,0.931459,0.344538
0.129358,0.931503,0.339953
0.133651,0.929838,0.342839
0.139463,0.925583,0.351917
0.148236,0.922,0.357691
0.151596,0.919238,0.363346
0.139415,0.912222,0.385246
0.141504,0.907604,0.395261
0.143471,0.903479,0.403909
0.115922,0.89446,0.43186
0.103536,0.894509,0.434896
0.0958081,0.890393,0.444996
0.097357,0.888075,0.449272
0.101038,0.885127,0.454248
0.10151,0.880099,0.463811
0.102355,0.878301,0.467023
0.0831946,0.877048,0.473145
0.0737391,0.8728,0.482475
0.0706166,0.871865,0.484628
0.0743397,0.867933,0.491086
0.075109,0.866275,0.493888
0.0775251,0.863916,0.497634
0.0736063,0.859912,0.505108
0.073002,0.858718,0.507222
0.132839,0.888847,0.438526
0.109417,0.894264,0.433958
0.105794,0.904048,0.414132
0.109959,0.913593,0.39148
0.106689,0.917981,0.382006
0.104898,0.920256,0.376994
0.110171,0.920697,0.374405
0.118113,0.920019,0.373649
0.122372,0.920282,0.371625
0.111204,0.916383,0.384546
0.107526,0.913326,0.392776
0.111312,0.91037,0.398542
0.11575,0.909427,0.399431
0.109827,0.908952,0.402175
0.112512,0.906527,0.406879
0.109715,0.904878,0.411289
0.1038,0.903116,0.416661
0.104618,0.903195,0.416286
0.101494,0.903958,0.415401
0.0989539,0.902565,0.419029
0.0946438,0.900581,0.424259
0.0864732,0.89975,0.427752
0.0828454,0.896,0.436258
0.0779265,0.898349,0.432316
0.0826774,0.896082,0.436121
0.0897622,0.896084,0.434714
0.100393,0.902273,0.419315
0.105358,0.904872,0.412439
0.125419,0.910359,0.394356
0.139824,0.914833,0.378852
0.150552,0.916012,0.371829
0.161877,0.9178,0.362545
0.170495,0.919933,0.353064
0.176811,0.91997,0.349848
0.185479,0.918588,0.348991
0.18399,0.9147,0.359822
0.177435,0.913852,0.365228
0.167116,0.910986,0.377064
0.152312,0.907339,0.391839
0.137729,0.904896,0.402733
0.129269,0.904104,0.407291
0.120608,0.903938,0.410303
0.108512,0.902214,0.417415
0.0972911,0.902602,0.419338
0.0863746,0.906409,0.413475
0.0793676,0.907215,0.413112
0.0755675,0.90765,0.412868
0.0749484,0.913178,0.40061
0.0906297,0.920037,0.381207
0.0940872,0.934967,0.34203
0.107571,0.945804,0.306404
0.123424,0.95492,0.269988
0.139449,0.963515,0.228456
0.157613,0.968326,0.193657
0.165805,0.971978,0.166635
0.173021,0.975419,0.13646
0.172875,0.97711,0.123977
0.176932,0.976197,0.125436
0.178573,0.976457,0.12101
0.180753,0.97259,0.14628
0.184185,0.970178,0.157575
0.178476,0.968183,0.175407
0.171932,0.96499,0.198075
0.156855,0.954987,0.251788
0.145793,0.951359,0.271405
0.13548,0.945788,0.295179
-0.0115277,0.853179,0.521491
-0.0118826,0.852447,0.522679
-0.0120917,0.854622,0.51911
-0.00178132,0.860764,0.509001
0.00596107,0.869333,0.494191
0.0215003,0.875935,0.481949
0.0425188,0.885716,0.462276
0.0563397,0.898095,0.436179
0.0820052,0.90935,0.40787
0.108291,0.923942,0.366884
0.116437,0.940657,0.318758
0.136439,0.95181,0.274666
0.149382,0.958502,0.242814
0.15784,0.965032,0.209283
0.163335,0.969609,0.182153
0.168829,0.972099,0.162847
0.172045,0.973616,0.149908
0.154999,0.986058,0.0605311
0.151846,0.987301,0.0466925
0.150349,0.987601,0.0451599
0.142028,0.988913,0.0433444
0.146371,0.987997,0.0493777
0.151239,0.986205,0.0672751
0.146039,0.982358,0.116811
0.141413,0.979308,0.144768
0.131323,0.972402,0.192844
0.118933,0.964514,0.235726
0.115246,0.955807,0.270466
0.112637,0.944233,0.309413
0.105168,0.934445,0.340223
0.109205,0.925626,0.362341
0.100223,0.917966,0.383788
0.102642,0.911594,0.398073
0.0981827,0.909456,0.404042
0.0864963,0.908827,0.408107
0.0742135,0.911793,0.403889
0.064007,0.912179,0.404763
0.0486713,0.91365,0.403578
0.0378132,0.918052,0.394652
0.0344149,0.918272,0.39445
0.144815,0.954801,0.259584
0.153032,0.959644,0.235933
0.167755,0.964054,0.206055
0.164625,0.969443,0.181874
0.158821,0.974954,0.155692
0.157832,0.977615,0.139131
0.148581,0.979778,0.134012
0.144386,0.980322,0.134613
0.143318,0.979518,0.141438
0.138733,0.978203,0.154505
0.138507,0.972946,0.184911
0.122652,0.969243,0.213365
0.123378,0.961751,0.244567
0.134708,0.957031,0.256797
0.154469,0.952722,0.261648
0.151199,0.952149,0.265615
0.147457,0.950709,0.272778
0.154606,0.947234,0.280792
0.148881,0.946062,0.287751
0.144783,0.94321,0.298987
0.142986,0.940214,0.309118
0.187132,0.963933,0.189246
0.192063,0.967745,0.16304
0.189973,0.971088,0.144564
0.186603,0.975663,0.115158
0.181583,0.979264,0.0898325
0.173632,0.981906,0.0755752
0.16765,0.983914,0.0617003
0.161237,0.985802,0.0468659
0.155542,0.987162,0.0363144
0.140638,0.989193,0.0414469
0.134766,0.989449,0.0531938
0.134368,0.988225,0.0731915
0.128183,0.986792,0.0990535
0.130573,0.98535,0.109708
0.124819,0.987419,0.0970779
0.119941,0.990076,0.0732394
0.116008,0.991755,0.0544519
0.109855,0.99273,0.0491747
0.109178,0.99354,0.0309528
0.169675,0.980152,0.102528
0.175712,0.976834,0.122151
0.176994,0.974906,0.135021
0.161587,0.971184,0.175192
0.152085,0.964576,0.215554
0.139275,0.96204,0.234693
0.138808,0.957775,0.251791
0.118873,0.95818,0.260309
0.122398,0.95288,0.277559
0.122754,0.951953,0.280567
0.11244,0.949022,0.294474
0.095816,0.947091,0.306331
0.0818212,0.943044,0.32245
0.0702571,0.936814,0.342699
0.0635653,0.870007,0.488925
0.0659499,0.866274,0.495197
0.0582664,0.868086,0.492983
0.0574148,0.870632,0.488574
0.0565708,0.877473,0.476279
0.0589959,0.881591,0.468312
0.0627632,0.88747,0.456571
0.0635113,0.893206,0.44514
0.0592778,0.901737,0.428202
0.0598521,0.90596,0.41911
0.0670852,0.908899,0.411586
0.064472,0.916201,0.395498
0.0678633,0.925724,0.372062
0.0783238,0.939133,0.334505
0.0915624,0.948249,0.30404
0.108073,0.958249,0.264726
0.121869,0.964347,0.234911
0.136206,0.966876,0.215869
0.144025,0.969195,0.199796
0.151581,0.970007,0.190025
0.158042,0.970554,0.181791
0.158153,0.970485,0.182061
0.153424,0.969173,0.192783
0.160714,0.963923,0.212186
0.155884,0.962582,0.221669
0.148839,0.960961,0.233239
0.148103,0.960143,0.237047
0.134937,0.957493,0.254951
0.131924,0.95475,0.266549
0.120748,0.953569,0.275909
0.106577,0.951281,0.28932
0.093057,0.94866,0.302298
0.0799764,0.945041,0.317019
0.0734822,0.941426,0.329116
0.0692759,0.938262,0.338918
