x,y,z
0.267055,-0.960378,-0.0797227
0.260468,-0.960613,-0.096843
0.257525,-0.958712,-0.120631
0.246351,-0.959053,-0.139742
0.235986,-0.959461,-0.154092
0.227902,-0.959953,-0.162941
0.214775,-0.961463,-0.171643
0.200973,-0.963988,-0.174177
0.187722,-0.966286,-0.176217
0.178818,-0.967101,-0.180942
0.173479,-0.967333,-0.184856
0.169366,-0.966489,-0.192911
0.165418,-0.966193,-0.197759
0.169738,-0.965243,-0.198735
0.173421,-0.964794,-0.197731
0.184634,-0.961907,-0.201607
0.193846,-0.960407,-0.200106
0.197694,-0.960652,-0.195103
0.195344,-0.96225,-0.189515
0.193929,-0.963945,-0.182212
0.195369,-0.964555,-0.177384
0.194097,-0.966254,-0.169353
0.193,-0.96745,-0.163682
0.191536,-0.967684,-0.164017
0.187149,-0.969381,-0.158985
0.184789,-0.970418,-0.155378
0.185333,-0.97026,-0.155714
0.189735,-0.970359,-0.14968
0.192868,-0.971398,-0.138524
0.196212,-0.97308,-0.120901
0.201571,-0.973883,-0.104503
0.203471,-0.974795,-0.091513
0.204823,-0.975403,-0.0814654
0.199236,-0.976926,-0.0769449
0.196149,-0.977366,-0.0792552
0.194594,-0.976837,-0.0890066
0.193278,-0.976819,-0.0920202
0.00521486,-0.996903,0.0784707
-0.00665703,-0.997072,0.0761747
-0.00843183,-0.997779,0.0660768
0.00170089,-0.998331,0.0577256
0.0222195,-0.998805,0.0435347
0.041372,-0.998692,0.030038
0.0603625,-0.99795,0.0212595
0.0833114,-0.996503,0.00636845
0.0881407,-0.995562,-0.0329665
0.0947504,-0.993921,-0.0560593
0.0983894,-0.992577,-0.0714891
0.10003,-0.991413,-0.0842292
0.101351,-0.990841,-0.0892252
0.106962,-0.99045,-0.0869923
0.112027,-0.990535,-0.079306
0.116512,-0.990797,-0.0688938
0.139035,-0.988857,-0.0532009
0.154316,-0.987303,-0.0376828
0.170057,-0.985009,-0.0289579
0.179298,-0.98342,-0.0271687
