x,y,z
-0.600127,0.790887,-0.119776
-0.587814,0.799819,-0.121512
-0.58241,0.805392,-0.110197
-0.569611,0.815754,-0.100444
-0.561351,0.822911,-0.0877692
-0.55419,0.828389,-0.0815211
-0.540611,0.837172,-0.0829609
-0.513522,0.851599,-0.105238
-0.476285,0.870085,-0.1269
-0.457854,0.879654,-0.128758
-0.452073,0.883155,-0.12517
-0.447399,0.886389,-0.118946
-0.423464,0.896615,-0.129459
-0.422494,0.897561,-0.12603
-0.42506,0.896342,-0.126074
-0.434837,0.891938,-0.123949
-0.43899,0.889279,-0.128337
-0.435334,0.889321,-0.139972
-0.430092,0.891,-0.145396
-0.423487,0.892653,-0.154367
-0.421148,0.892914,-0.159179
-0.421228,0.891855,-0.164807
-0.418656,0.892049,-0.170225
-0.420659,0.892445,-0.163059
-0.420511,0.892745,-0.161791
-0.418841,0.893605,-0.161376
-0.420523,0.893337,-0.158458
-0.43056,0.887958,-0.161707
-0.434184,0.884024,-0.173164
-0.429959,0.881671,-0.194399
-0.435155,0.875747,-0.209063
-0.437667,0.871631,-0.220699
-0.443217,0.867233,-0.226858
-0.44012,0.868445,-0.228251
-0.439268,0.870091,-0.223575
-0.447362,0.870641,-0.204574
-0.448219,0.871212,-0.200223
-0.286425,0.874826,-0.390692
-0.282398,0.882374,-0.376388
-0.286771,0.888709,-0.357713
-0.297227,0.88957,-0.346874
-0.317868,0.888439,-0.331112
-0.334301,0.887037,-0.318447
-0.346529,0.885145,-0.310541
-0.361757,0.883793,-0.296719
-0.360253,0.896355,-0.258391
-0.358883,0.902309,-0.238832
-0.350038,0.907379,-0.232672
-0.34244,0.911603,-0.227409
-0.339986,0.913049,-0.22528
-0.345388,0.910639,-0.226812
-0.348995,0.90735,-0.234347
-0.358658,0.901794,-0.241107
-0.384762,0.88857,-0.249802
-0.416475,0.874443,-0.248794
-0.441248,0.862513,-0.247733
-0.466327,0.85338,-0.232983
-0.484755,0.846527,-0.220012
-0.500576,0.842318,-0.199808
-0.508971,0.841216,-0.182493
-0.516971,0.838716,-0.171162
-0.527746,0.837168,-0.143642
-0.529157,0.83541,-0.148603
-0.528845,0.834937,-0.152326
-0.518713,0.841714,-0.149847
-0.507484,0.844794,-0.169657
-0.482555,0.852225,-0.202122
-0.457881,0.858663,-0.23031
-0.43444,0.864216,-0.253758
-0.422534,0.866912,-0.264439
-0.405894,0.87183,-0.274159
-0.394498,0.877114,-0.273939
-0.38954,0.880538,-0.270021
-0.390321,0.881185,-0.266762
-0.395704,0.880893,-0.259703
-0.398269,0.879793,-0.259512
-0.40865,0.875178,-0.258977
-0.416703,0.873271,-0.252501
-0.424425,0.872392,-0.242477
-0.440398,0.868758,-0.226513
-0.447662,0.867188,-0.218139
-0.454698,0.865852,-0.208687
-0.46034,0.865367,-0.19806
-0.467129,0.86473,-0.184476
-0.470298,0.864893,-0.175443
-0.46822,0.867584,-0.167538
-0.46567,0.870379,-0.159975
-0.592672,0.802825,-0.0649044
-0.604663,0.795333,-0.042743
-0.608685,0.793277,-0.0145938
-0.620074,0.784465,-0.0110948
-0.62349,0.781662,0.0162683
-0.622464,0.782036,0.0309682
-0.621552,0.781149,0.0589927
-0.616627,0.781328,0.096426
-0.606935,0.786821,0.111991
-0.604811,0.788279,0.113223
-0.602761,0.790419,0.109162
-0.595122,0.796396,0.107622
-0.581437,0.805274,0.116037
-0.582165,0.805747,0.108886
-0.577738,0.811254,0.0899204
-0.573247,0.818003,0.0475296
-0.571171,0.820753,-0.0112741
-0.540771,0.838401,-0.0681904
-0.513671,0.85096,-0.109584
-0.491702,0.85926,-0.14107
-0.366339,0.8821,-0.296133
-0.433938,0.878602,-0.19939
-0.448802,0.879121,-0.160383
-0.45437,0.876053,-0.161491
-0.438588,0.881847,-0.173165
-0.427411,0.886715,-0.176225
-0.435829,0.883033,-0.174086
-0.432746,0.884521,-0.174221
-0.427107,0.887817,-0.17135
-0.4332,0.886819,-0.160903
-0.4377,0.886132,-0.152278
-0.437168,0.887926,-0.143075
-0.443689,0.885956,-0.134985
-0.442734,0.887318,-0.129049
-0.439222,0.889272,-0.127591
-0.437105,0.890196,-0.128413
-0.434614,0.890579,-0.134085
-0.43072,0.891065,-0.14312
-0.424459,0.892395,-0.153185
-0.417209,0.894962,-0.158051
-0.411315,0.89744,-0.159439
-0.409085,0.896446,-0.170391
-0.409529,0.895102,-0.176294
-0.410787,0.894828,-0.174747
-0.420042,0.889655,-0.179106
-0.425309,0.884152,-0.193359
-0.434081,0.878378,-0.200066
-0.447403,0.871505,-0.20077
-0.462016,0.864473,-0.198059
-0.471047,0.860578,-0.193703
