NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.0183723,-0.994586,0.102282,0.00866538,-0.999601,0.0268648,-0.942067,0.000846974,0.335425,-0.504903,0.859593,-0.0785632,-0.141476,0.660514,0.737364,0.942067,-0.000846974,-0.335425,0.374551,0.762078,-0.528155,0.316094,0.919309,0.234425,-0.395593,0.911379,0.113555,0.379798,0.910681,-0.162524,1
0.0231252,-0.994296,0.104116,0.0126415,-0.999613,0.0247932,-0.939523,-0.00338835,0.342469,-0.515052,0.853608,-0.0779483,-0.135572,0.699894,0.701263,0.939523,0.00338835,-0.342469,0.378878,0.743681,-0.550809,0.320642,0.920155,0.224732,-0.398164,0.909649,0.11834,0.375122,0.912437,-0.163532,1
0.0258089,-0.993153,0.113936,0.0158515,-0.999409,0.0304897,-0.938434,-0.00434656,0.345432,-0.515763,0.851661,-0.0930695,-0.144975,0.696733,0.702528,0.938434,0.00434709,-0.345432,0.383866,0.729605,-0.565971,0.323403,0.922088,0.212517,-0.400642,0.909069,0.114368,0.371748,0.912646,-0.169944,1
0.0292891,-0.99287,0.115551,0.0187654,-0.999337,0.0312017,-0.939251,-0.00692381,0.343162,-0.515831,0.850093,-0.106112,-0.13758,0.691101,0.709543,0.939251,0.0069238,-0.343162,0.386214,0.734066,-0.558556,0.331471,0.923236,0.194322,-0.40363,0.907945,0.112783,0.369424,0.913643,-0.169657,1
0.028473,-0.993371,0.111375,0.0210155,-0.999438,0.0261022,-0.938083,-0.0106834,0.346245,-0.520104,0.843084,-0.136752,-0.169878,0.721868,0.670856,0.938083,0.0106834,-0.346245,0.386205,0.758269,-0.525237,0.335943,0.915278,0.222278,-0.405198,0.906491,0.118698,0.36689,0.915283,-0.166277,1
0.0226572,-0.994759,0.0997069,0.0198629,-0.999636,0.0182303,-0.942456,-0.0126348,0.334093,-0.517154,0.845942,-0.130132,-0.165546,0.709509,0.684975,0.942456,0.012635,-0.334093,0.40442,0.755891,-0.514853,0.325897,0.917265,0.228947,-0.405954,0.905865,0.120875,0.369748,0.916263,-0.154105,1
0.026777,-0.994867,0.097585,0.0205333,-0.999648,0.0168036,-0.948049,-0.0141323,0.31781,-0.521189,0.84888,-0.0881176,-0.0993059,0.66095,0.74383,0.948049,0.014132,-0.31781,0.419248,0.740951,-0.524617,0.306735,0.916511,0.256751,-0.408861,0.905262,0.115472,0.371432,0.916893,-0.146102,1
0.0300496,-0.993759,0.107428,0.0225923,-0.999493,0.0224407,-0.950205,-0.0144901,0.311288,-0.526871,0.8475,-0.0644229,-0.0413844,0.671131,0.740183,0.950205,0.0144901,-0.311288,0.41573,0.749848,-0.514681,0.30529,0.912595,0.27197,-0.411627,0.904972,0.107652,0.370446,0.916897,-0.148556,1
0.033041,-0.99351,0.108837,0.0229877,-0.999449,0.0239545,-0.949028,-0.0142822,0.314869,-0.525902,0.841805,-0.12162,-0.12606,0.697472,0.705437,0.949028,0.0142822,-0.314869,0.416674,0.76007,-0.498675,0.295296,0.911831,0.285245,-0.411499,0.905019,0.107744,0.369596,0.916774,-0.151408,1
0.0334868,-0.993875,0.105312,0.0218877,-0.999541,0.0209694,-0.948151,-0.0141024,0.317507,-0.515363,0.838733,-0.175865,-0.178542,0.707291,0.684004,0.948151,0.0141024,-0.317507,0.421954,0.763233,-0.489316,0.283067,0.910506,0.301416,-0.410134,0.905177,0.11155,0.370237,0.916784,-0.149773,1
