NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.254687,-0.959199,-0.12277,0.241857,-0.962083,-0.126099,-0.675868,-0.096772,-0.730642,-0.706595,0.696127,-0.127009,-0.695588,0.664758,0.272497,0.675868,0.0967723,0.730642,0.428001,0.809006,0.402896,-0.173555,0.703531,0.689146,-0.497264,0.848755,-0.179842,0.0499881,0.912482,0.406052,100
0.262488,-0.956478,-0.127476,0.251425,-0.959296,-0.128593,-0.680816,-0.102127,-0.7253,-0.70346,0.70223,-0.109625,-0.683477,0.684591,0.253366,0.680816,0.102126,0.7253,0.439299,0.812309,0.383628,-0.153754,0.730947,0.664888,-0.508093,0.843189,-0.175709,0.0437337,0.912463,0.406814,100
0.265917,-0.955284,-0.129308,0.255744,-0.957725,-0.131748,-0.683333,-0.103268,-0.722767,-0.697344,0.710428,-0.0948845,-0.673357,0.698605,0.241952,0.683333,0.103268,0.722767,0.440972,0.820042,0.364794,-0.148564,0.755306,0.638311,-0.513582,0.840509,-0.172562,0.0416643,0.911375,0.409464,100
0.271289,-0.952964,-0.135134,0.260531,-0.955439,-0.138779,-0.67624,-0.0993083,-0.729957,-0.674542,0.736066,-0.0565629,-0.627834,0.73832,0.24639,0.676239,0.0993086,0.729958,0.443347,0.824711,0.351133,-0.15585,0.788756,0.594622,-0.515497,0.83998,-0.169402,0.0348183,0.907355,0.41892,100
0.268247,-0.953587,-0.136805,0.256086,-0.955988,-0.143203,-0.677581,-0.0942158,-0.729388,-0.660516,0.747138,-0.0741865,-0.605528,0.754506,0.253094,0.677581,0.0942162,0.729388,0.429975,0.833369,0.347301,-0.179566,0.800057,0.57242,-0.510965,0.843903,-0.16353,0.037788,0.906166,0.421231,100
0.269948,-0.952381,-0.141769,0.254448,-0.955925,-0.146502,-0.680326,-0.0914838,-0.727178,-0.644561,0.761679,-0.0662213,-0.585009,0.767426,0.262338,0.680325,0.0914837,0.727178,0.410914,0.841187,0.351503,-0.212985,0.790489,0.574251,-0.509017,0.846228,-0.157483,0.0383118,0.905948,0.421653,100
0.266075,-0.954118,-0.137346,0.252461,-0.957265,-0.141093,-0.667993,-0.092555,-0.73839,-0.639385,0.763602,-0.0899869,-0.589761,0.761292,0.269473,0.667993,0.0925547,0.738389,0.39445,0.837372,0.378441,-0.249459,0.788498,0.562175,-0.501344,0.849328,-0.165217,0.0332416,0.907334,0.419095,100
0.264507,-0.954118,-0.14034,0.253401,-0.956819,-0.142425,-0.65753,-0.0870125,-0.748387,-0.622657,0.773376,-0.119115,-0.608935,0.729194,0.312208,0.65753,0.0870124,0.748387,0.383017,0.837114,0.390563,-0.286593,0.772923,0.566087,-0.497605,0.85109,-0.167437,0.0278875,0.905264,0.423934,100
0.255622,-0.95693,-0.137629,0.245603,-0.959431,-0.138457,-0.639526,-0.0820802,-0.764375,-0.636978,0.760124,-0.12834,-0.641044,0.71177,0.287132,0.639526,0.0820802,0.764375,0.365037,0.839062,0.40339,-0.332656,0.730202,0.59678,-0.483204,0.857484,-0.176734,0.0268889,0.904741,0.425112,100
0.255176,-0.957059,-0.137564,0.241874,-0.960412,-0.13822,-0.627391,-0.0768623,-0.774902,-0.651687,0.74079,-0.162893,-0.660167,0.699802,0.272866,0.627391,0.0768622,0.774902,0.342554,0.831926,0.436528,-0.375863,0.702143,0.604749,-0.475478,0.860784,-0.181581,0.0258526,0.902941,0.428987,100
0.245753,-0.959945,-0.134573,0.235734,-0.962697,-0.132833,-0.609554,-0.0720523,-0.789463,-0.660573,0.730316,-0.174018,-0.682711,0.681733,0.262955,0.609554,0.0720523,0.789464,0.321656,0.830537,0.454694,-0.403325,0.665958,0.627558,-0.463563,0.864646,-0.19364,0.0253592,0.90222,0.43053,100
0.234395,-0.963092,-0.132335,0.225296,-0.965408,-0.131262,-0.607761,-0.066626,-0.79132,-0.663769,0.72711,-0.175278,-0.696374,0.669914,0.257447,0.607762,0.0666261,0.79132,0.307132,0.824534,0.475199,-0.421508,0.646812,0.635582,-0.453987,0.868931,-0.197119,0.0350813,0.901788,0.430752,100
0.23153,-0.962948,-0.138291,0.225053,-0.965205,-0.133157,-0.603561,-0.0631458,-0.794812,-0.664452,0.722139,-0.192404,-0.699433,0.66067,0.272595,0.603561,0.0631456,0.794813,0.294259,0.823826,0.484482,-0.430447,0.621705,0.654369,-0.452213,0.869863,-0.197084,0.0339148,0.900188,0.434179,100
0.229405,-0.962468,-0.145012,0.228692,-0.963131,-0.1417,-0.608838,-0.0583667,-0.791144,-0.667739,0.71529,-0.206118,-0.706229,0.656257,0.265643,0.608838,0.0583667,0.791144,0.27434,0.826869,0.490944,-0.423874,0.610548,0.669,-0.45774,0.868954,-0.188133,0.0331819,0.896766,0.44126,100
