NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.0549218,-0.943165,-0.327755,0.0640512,-0.935443,-0.347627,-0.973278,-0.135528,0.185369,-0.439923,0.600199,0.668004,-0.252277,0.517039,0.817941,0.973278,0.135528,-0.185369,0.451997,0.88823,0.0821362,0.327112,0.638592,0.696561,-0.465669,0.792758,0.393303,0.349336,0.906247,0.238078,100
0.0626717,-0.942488,-0.328311,0.0739626,-0.935274,-0.346111,-0.960957,-0.15963,0.226008,-0.435696,0.608699,0.663065,-0.251553,0.533796,0.807331,0.960957,0.15963,-0.226008,0.443363,0.896132,0.0194135,0.327752,0.690275,0.645058,-0.469616,0.782446,0.408949,0.335289,0.916154,0.219643,100
0.0716971,-0.941544,-0.329173,0.0825281,-0.934043,-0.347495,-0.946833,-0.182285,0.265103,-0.427842,0.610559,0.66646,-0.241632,0.545764,0.802344,0.946833,0.182284,-0.265103,0.429196,0.901152,-0.0609523,0.338867,0.741374,0.579252,-0.471232,0.772007,0.42655,0.321328,0.924592,0.204641,100
0.0802516,-0.936847,-0.340408,0.0890812,-0.929946,-0.356743,-0.934364,-0.202084,0.293471,-0.405008,0.607565,0.683252,-0.218341,0.548745,0.806973,0.934364,0.202084,-0.293471,0.417922,0.894273,-0.160053,0.378562,0.750315,0.541958,-0.471876,0.760062,0.446809,0.310061,0.92918,0.201214,100
0.0941408,-0.933305,-0.346525,0.100951,-0.926027,-0.363707,-0.906419,-0.236314,0.350087,-0.376108,0.600488,0.705661,-0.184669,0.563157,0.805451,0.906419,0.236314,-0.350087,0.430872,0.873989,-0.224708,0.410531,0.746297,0.523933,-0.471063,0.742104,0.476845,0.287696,0.939922,0.183789,100
0.109627,-0.927544,-0.357274,0.11088,-0.921436,-0.372371,-0.885652,-0.26161,0.383641,-0.337899,0.59827,0.726565,-0.140357,0.573853,0.806841,0.885652,0.26161,-0.383641,0.417537,0.857387,-0.300916,0.461218,0.730923,0.503022,-0.470885,0.72776,0.49863,0.269423,0.946439,0.177948,100
0.123467,-0.925939,-0.356922,0.126641,-0.920783,-0.368945,-0.84521,-0.294848,0.44574,-0.316563,0.607386,0.728608,-0.095608,0.576253,0.81166,0.84521,0.294848,-0.44574,0.42016,0.842697,-0.336642,0.517044,0.719083,0.464311,-0.468478,0.713115,0.521533,0.238404,0.959708,0.148743,100
0.125848,-0.928485,-0.349396,0.130768,-0.921808,-0.364925,-0.82379,-0.305826,0.477327,-0.312754,0.591637,0.743068,-0.0562333,0.594305,0.802271,0.82379,0.305826,-0.477327,0.425694,0.822404,-0.377407,0.53658,0.73319,0.417749,-0.462744,0.709956,0.530877,0.22509,0.96531,0.132328,100
0.119105,-0.928378,-0.352034,0.118121,-0.924276,-0.362988,-0.794614,-0.307203,0.523656,-0.303735,0.588383,0.749367,-0.0549417,0.595131,0.801748,0.794614,0.307203,-0.523656,0.384931,0.815642,-0.431922,0.545878,0.75016,0.373199,-0.439476,0.711224,0.548654,0.224867,0.968064,0.110847,100
0.119715,-0.926885,-0.355743,0.1167,-0.923327,-0.365853,-0.785994,-0.311045,0.534289,-0.286573,0.580415,0.76223,-0.0646769,0.60592,0.792892,0.785993,0.311045,-0.534289,0.347014,0.818051,-0.458666,0.541831,0.763854,0.350637,-0.434583,0.708755,0.555702,0.222554,0.968807,0.109005,100
