NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.172514,-0.962767,-0.208129,0.184099,-0.960259,-0.209784,-0.272571,0.0785615,-0.958923,-0.659876,0.581312,-0.476067,-0.749271,0.652427,-0.113716,0.272571,-0.0785614,0.958923,0.0825938,0.77999,0.620317,-0.443435,0.646836,0.620458,-0.289294,0.940365,-0.178947,-0.0580598,0.837062,0.544019,100
0.169757,-0.968011,-0.184761,0.181033,-0.967255,-0.177891,-0.284817,0.0378153,-0.957836,-0.656103,0.605981,-0.449796,-0.744872,0.663797,-0.0673826,0.284817,-0.0378155,0.957836,0.142785,0.786135,0.601335,-0.39225,0.691052,0.607114,-0.289985,0.932344,-0.215971,-0.0511144,0.852347,0.520473,100
0.182303,-0.969696,-0.162653,0.192434,-0.968834,-0.155978,-0.325267,0.00886152,-0.945581,-0.672861,0.607682,-0.421876,-0.726633,0.685632,-0.0437398,0.325267,-0.00886151,0.945581,0.204918,0.78893,0.579308,-0.354073,0.720162,0.596656,-0.315345,0.91955,-0.23449,-0.0463926,0.864521,0.50045,100
0.200426,-0.96703,-0.157108,0.206657,-0.966956,-0.149294,-0.40818,-0.00754763,-0.91287,-0.681215,0.618569,-0.391559,-0.730075,0.683323,0.00777944,0.40818,0.00754778,0.91287,0.242417,0.796658,0.553688,-0.324952,0.721933,0.610917,-0.360644,0.903106,-0.233099,-0.0256191,0.870745,0.491067,100
0.221082,-0.965481,-0.137728,0.223382,-0.965637,-0.132838,-0.481507,-0.0410703,-0.875479,-0.695168,0.630174,-0.345864,-0.719041,0.689795,0.0846351,0.481507,0.04107,0.875479,0.282068,0.790528,0.543602,-0.315179,0.699636,0.641227,-0.405055,0.883939,-0.233629,-0.0112811,0.88545,0.464598,100
0.236548,-0.963987,-0.121552,0.232468,-0.965213,-0.119674,-0.525202,-0.0668486,-0.848348,-0.710965,0.644189,-0.282044,-0.70322,0.691164,0.166656,0.525202,0.0668484,0.848348,0.324968,0.787681,0.523405,-0.299852,0.676056,0.67308,-0.430973,0.871231,-0.234988,-0.00182984,0.896426,0.443189,100
0.239817,-0.964142,-0.113659,0.236649,-0.965076,-0.112368,-0.583272,-0.0862349,-0.807687,-0.699294,0.687461,-0.195919,-0.695657,0.679527,0.233033,0.583272,0.0862351,0.807687,0.343861,0.790698,0.506514,-0.268858,0.651756,0.709175,-0.456665,0.861139,-0.223374,0.016622,0.907034,0.420729,100
0.237363,-0.964533,-0.11548,0.234239,-0.965349,-0.115041,-0.625678,-0.0889485,-0.774993,-0.701858,0.683744,-0.199723,-0.687582,0.668287,0.283942,0.625677,0.0889484,0.774994,0.364983,0.789141,0.494008,-0.240461,0.653739,0.717498,-0.470303,0.857762,-0.207506,0.0358322,0.910543,0.411859,100
0.239042,-0.963952,-0.116859,0.231456,-0.965494,-0.119373,-0.659452,-0.0918245,-0.746118,-0.702658,0.689371,-0.176179,-0.696024,0.658006,0.287364,0.659452,0.0918247,0.746118,0.392902,0.798647,0.455841,-0.2155,0.65936,0.72028,-0.48021,0.856239,-0.190404,0.0509105,0.913448,0.403758,100
0.244687,-0.962665,-0.115778,0.235229,-0.964477,-0.120215,-0.676221,-0.0970874,-0.730273,-0.703173,0.694326,-0.153162,-0.698041,0.659084,0.279904,0.676221,0.0970874,0.730273,0.402778,0.809216,0.427713,-0.198314,0.672172,0.713342,-0.490401,0.851875,-0.183893,0.0548586,0.915121,0.39943,100
