x,y,z
118.648,553.601,1633.8
134.048,550.874,1611.62
129.896,552.54,1614.5
123.775,552.151,1611.95
118.595,553.71,1612.18
113.026,553.645,1611.29
109.569,553.411,1611.85
107.342,554.339,1612.63
105.117,553.936,1614.01
103.059,553.526,1614.2
101.065,553.728,1613.3
100.225,554.832,1610.35
98.983,555.167,1610.37
97.1518,555.132,1611.9
98.2748,553.49,1615.15
97.0679,552.827,1616.27
96.1848,552.583,1614.34
94.0267,554.017,1615.36
93.268,552.886,1617.89
91.8202,553.204,1620.14
92.4524,553.378,1621.28
90.3799,554.823,1625.33
87.8379,556.792,1627.36
83.809,557.81,1625.37
82.485,554.999,1624.88
79.1036,554.43,1629.14
74.0977,554.529,1632.75
54.7796,552.881,1645.35
37.9386,552.32,1657.49
30.4735,551.099,1662
23.7212,547.938,1664.25
19.1784,547.926,1663.84
13.5716,546.063,1666.62
8.17821,544.136,1666.49
0.730005,542.325,1664.91
-3.1656,541.536,1665.64
-8.41992,540.488,1662.5
-13.433,539.598,1663.43
-18.9591,539.396,1662.42
-23.3093,538.244,1661.91
-25.4158,540.583,1661.16
-26.3506,540.637,1658.78
-25.1377,542.037,1656.59
-21.2177,545.34,1650.04
-13.6378,546.85,1642.8
-1.46044,545.555,1637.72
8.65183,545.092,1632.07
23.5014,546.69,1625.24
41.3,548.356,1614.31
57.0284,548.871,1601.34
72.0943,549.128,1593.37
82.534,548.988,1590.9
87.0768,549.923,1592.15
89.6448,549.59,1596.38
89.1607,551.997,1602.41
85.6852,552.878,1610.41
81.9537,554.148,1615.9
79.0933,555.541,1620.15
77.3693,555.692,1622.77
76.3139,555.308,1624.09
74.6855,554.326,1623.25
74.9749,554.631,1621.32
75.464,553.607,1619.85
76.37,553.729,1617.63
76.8104,554.228,1618.51
78.1424,553.562,1616.45
79.4484,553.208,1615.92
80.8307,551.708,1613.66
81.4227,551.712,1612.52
81.8413,552.42,1613.46
83.6301,552.29,1614.93
85.3287,551.787,1611.16
88.1233,552.424,1605.78
94.3015,550.986,1595.57
103.982,548.705,1585.47
115.781,546.248,1575.93
197.048,543.814,1492.81
189.843,547.116,1496.1
181.267,549.742,1500.25
170.055,553.719,1501.82
159.88,556.27,1503.61
151.642,560.008,1505.51
145.177,561.316,1509.45
140.562,563.288,1509.93
137.035,562.517,1512.16
134.709,561.455,1514.28
132.513,561.006,1513.34
130.828,560.997,1511.87
129.651,561.504,1508.13
129.148,562.091,1507.77
129.372,559.137,1507.08
128.899,558.066,1502.23
128.347,558.272,1500.31
129.089,558.43,1503.86
130.424,558.953,1505.63
130.96,560.529,1505.51
131.936,561.349,1503.95
133.325,563.098,1506.67
133.666,565.009,1504.03
133.551,563.743,1502.7
134.583,562.194,1505.55
133.646,562.307,1503.98
133.144,563.003,1505.7
133.154,560.322,1509.05
133.176,559.815,1509.72
132.449,560.408,1509.06
131.906,562.861,1513.21
132.049,561.648,1518.8
130.685,561.259,1525.87
129.556,561.029,1531.11
128.747,564.427,1532.25
126.667,563.686,1535.8
125.613,561.213,1538.09
124.508,559.59,1541.2
122.436,561.285,1546.79
121.938,560.945,1551.59
119.943,561.283,1556
118.372,560.272,1556.19
117.96,562.057,1559.8
117.543,561.662,1562.1
118.637,558.332,1562.25
118.508,557.773,1564.84
117.3,559.47,1559.08
116.885,561.115,1556.22
117.844,560.64,1552.79
118.862,561.943,1550.08
121.119,560.917,1548.67
121.679,560.193,1541.48
122.648,562.519,1534.32
123.501,557.906,1529.31
124.569,559.875,1525.8
125.006,558.482,1522.08
124.407,560.554,1516.7
125.518,561.398,1515.53
124.763,561.751,1515.45
124.331,560.191,1512.91
124.466,557.557,1511.15
123.482,558.362,1506.27
123.597,556.79,1503.33
123.339,556.739,1505.36
123.283,560.279,1505.89
122.586,561.755,1508.64
121.68,562.629,1504.51
121.896,563.155,1504.95
121.428,563.785,1505.67
121.238,561.963,1507.54
121.165,561.973,1507.46
121.147,561.085,1502.93
121.877,562.675,1507.16
121.244,563.536,1510.78
121.977,560.558,1513.09
121.601,563.382,1515.69
121.7,562.676,1519.02
121.582,561.205,1520.18
120.894,559.894,1522.27
120.188,560.08,1526.78
118.719,559.861,1527.55
117.778,560.639,1530.92
116.301,558.871,1530.54
114.331,559.208,1531.42
112.98,558.23,1535.87
112.174,558.479,1542.11
111.187,557.256,1542.25
109.636,557.281,1539.82
108.975,557.243,1539.11
108.337,555.795,1540.74
107.432,556.672,1538.07
106.711,557.296,1536.23
106.914,560.494,1531.29
107.025,559.309,1527.31
108.194,560.849,1523.33
110.945,560.081,1520.31
111.89,561.954,1514.73
113.127,564.082,1510.48
113.687,562.835,1505.39
114.096,562.874,1500.82
115.421,564.28,1495.07
115.604,563.512,1492.2
116.207,562.349,1491.29
116.802,561.352,1489.83
116.69,559.985,1487.1
117.378,561.629,1484.23
117.398,561.032,1486.32
116.998,559.302,1485.86
117.96,557.537,1485.13
118.087,558.392,1487.77
118.737,557.636,1489.08
119.483,558.696,1493.07
119.599,559.464,1495.74
120.315,558.396,1497.57
117.088,560.858,1514.36
117.447,560.204,1511.86
117.655,560.543,1516.64
116.724,561.888,1516.01
116.493,561.396,1514.69
117.117,558.582,1516.03
116.422,558.201,1515.2
115.166,560.219,1515.79
113.882,560.579,1515.58
114.549,561.68,1516.99
115.234,560.121,1517.2
114.555,560.723,1520.3
113.876,558.563,1515.84
114.007,558.503,1514.11
113.523,557.573,1516.26
113.874,556.747,1512.82
114.06,556.668,1513.08
115.399,557.675,1513.24
115.573,556.331,1512.81
114.21,559.376,1509.6
113.571,558.893,1509.51
114.4,555.838,1513.95
114.118,556.762,1511.17
112.881,556.824,1510.28
112.888,557.549,1508.83
112.985,558.656,1509.62
113.207,557.532,1508.01
113.659,555.944,1508.21
113.918,556.149,1508.31
112.813,556.748,1506.35
113.193,558.997,1508.88
113.588,560.868,1505.63
112.836,561.641,1502.51
112.533,561.837,1503.46
112.883,561.219,1504.44
