x,y,z
-48.9423,258.546,1732.72
-24.0735,274.296,1734.18
-34.9876,272.613,1736.08
-40.4919,274.307,1737.05
-44.7374,276.149,1735.03
-49.368,276.575,1733.52
-50.685,279.285,1733.76
-54.3426,279.143,1736.38
-54.6736,280.073,1737.7
-52.3394,282.035,1740.34
-54.1715,283.017,1744.17
-56.5851,282.507,1747.58
-58.7987,279.75,1748.29
-61.9523,273.184,1746.58
-64.9677,272.586,1744.79
-68.482,273.292,1745.4
-68.7454,271.648,1743.2
-70.3714,271.324,1742.6
-71.6842,270.663,1743.31
-69.8406,267.332,1743.66
-69.4171,267.167,1744.84
-68.2118,268.584,1744.42
-68.1034,269.788,1745.2
-69.0458,269.388,1747.09
-70.0265,266.691,1748.04
-70.517,261.842,1749.02
-72.255,258.912,1750.49
-89.8997,251.117,1750.59
-107.928,242.775,1746.26
-116.439,245.383,1741.69
-126.255,243.714,1730.91
-135.703,242.896,1723.99
-143.899,243.471,1710.52
-154.074,237.295,1697.76
-163.616,232.186,1680.86
-172.839,225.107,1666.93
-178.965,221.076,1658.95
-183.507,220.051,1657.46
-188.752,220.525,1651.73
-192.386,219.267,1651.87
-194.714,220.644,1658.93
-195.363,224.325,1667.47
-189.213,223.678,1683.23
-180.558,232.813,1702.15
-168.205,236.865,1716.11
-151.661,238.458,1729.57
-137.332,243.211,1739.23
-115.644,245.573,1747.07
-91.6863,252.191,1752.49
-67.7274,257.001,1752.68
-48.894,261.982,1752.79
-36.5141,271.022,1752.9
-28.7493,272.52,1752.96
-23.5878,274.212,1756.63
-27.9663,240.497,1754.14
-24.9605,250.742,1762.58
-26.9781,259.87,1767.79
-28.9931,270.438,1770.4
-35.4496,272.198,1770.2
-43.2073,275.092,1770.11
-46.6025,274.546,1769.06
-47.2974,273.772,1766.53
-47.1563,271.384,1762.75
-47.085,269.195,1758.38
-47.5375,268.102,1754.69
-48.2731,267.054,1751.84
-48.6388,266.528,1749.41
-48.8221,267.266,1748.7
-47.4151,269.135,1748.85
-46.7077,270.569,1747.93
-43.3544,269.787,1746.97
-43.1814,269.397,1744.98
-43.6032,269.706,1741.49
-42.3361,270.873,1736.25
-32.6802,271.444,1725.13
-24.8419,267.223,1712.06
51.729,282.056,1643.27
40.9556,253.91,1641.98
35.5205,263.942,1646.01
20.6927,244.681,1646.66
11.3732,255.829,1649.34
5.2074,270.408,1649.18
2.62338,279.197,1646.6
-2.66957,284.591,1644.31
-5.32452,285.79,1640.65
-8.16068,283.894,1637.33
-10.5794,281.945,1635.17
-14.2956,277.473,1634.08
-16.6548,274.24,1632.04
-17.3246,272.619,1630.53
-19.1594,272.309,1633.27
-18.0697,272.148,1632.63
-16.0415,272.577,1632.81
-13.5255,272.792,1630.91
-10.7526,272.4,1629.47
-12.378,272.702,1632.74
-9.17793,272.359,1631.37
-5.06652,275.167,1631.68
-2.539,277.587,1631.84
-1.77804,276.789,1629.91
-11.0131,246.764,1620.39
-9.02386,253.393,1623.2
-6.97763,265.184,1627.62
-7.97141,269.583,1629.82
-3.47823,275.794,1633.42
-0.236477,278.901,1637.7
1.84833,277.462,1641.34
3.89471,275.247,1649.67
4.74432,277.149,1659.63
5.8378,277.587,1670.8
11.416,275.794,1680.4
9.60505,256.292,1690.05
18.2963,262.148,1702.02
22.1166,271.57,1713.47
30.0241,277.798,1721.74
38.3036,283.696,1730.77
41.5743,287.073,1739.21
43.2367,288.856,1744.7
44.1465,289.935,1747.79
47.5635,305.328,1742.47
46.2612,304.586,1743.57
42.6692,301.377,1746.61
41.1469,298.197,1745.32
40.442,320.017,1736.02
33.5837,316.101,1731.65
24.7746,303.553,1722.82
12.8337,290.269,1712.85
5.30539,281.156,1697.88
-0.941925,278.086,1681.86
-8.51492,277.054,1666.92
-14.7682,273.521,1652.44
-18.3876,271.259,1637.71
-20.8576,268.711,1623.84
-20.8791,268.829,1612.43
-26.4175,268.402,1606.72
-31.2216,266.207,1595.86
-35.0806,265.586,1589.43
-38.0626,264.806,1584.71
-39.0384,266.407,1580.35
-40.0116,267.708,1579.68
-40.5046,268.354,1580.36
-40.2453,266.172,1579.18
-41.1136,264.58,1579.59
-42.0559,265.292,1582.3
-42.0275,266.646,1585.15
-40.5218,265.329,1586.58
-40.7577,264.664,1588.3
-40.8571,264.82,1590.15
-40.9251,264.909,1593.08
-38.964,265.953,1599.05
-31.5129,267.496,1605.03
-22.3013,265.763,1613.96
-18.677,265.393,1625.46
-13.8697,269.709,1637.21
-4.96893,273.369,1652.09
-1.07906,274.72,1665.01
4.42222,274.865,1675.96
12.1236,280.457,1687.43
16.53,283.699,1700.08
19.2483,282.338,1709.99
20.4741,257.785,1715.56
19.9634,230.711,1721
21.79,248.367,1754.11
31.9408,280.156,1739.52
