x,y,z
-88.2052,90.5525,1644.33
-75.0395,92.1526,1673.25
-78.6676,90.963,1672.86
-88.6365,91.9232,1674.77
-96.951,90.6023,1676.5
-101.379,89.9992,1675.01
-105.777,92.4813,1677.52
-112.829,94.7271,1681.31
-116.677,95.9884,1687.48
-115.907,97.1602,1693.2
-118.636,98.0204,1698.99
-121.419,97.6529,1704.98
-125.417,94.2008,1709.23
-128.981,90.5651,1702.23
-129.88,89.884,1699.19
-130.062,89.2921,1693.85
-129.948,88.6967,1688.67
-129.559,88.5612,1685.43
-128.684,87.3168,1682.61
-128.233,86.4913,1681.07
-125.548,88.7962,1678.22
-122.753,91.2097,1676.65
-118.309,92.8171,1674.72
-113.945,93.5859,1671.21
-109.512,90.5853,1665.38
-106.949,87.8522,1657.87
-105.696,85.7426,1651.71
-121.861,77.9701,1655.66
-137.358,66.9978,1657.15
-144.329,65.772,1654.92
-158.313,65.5338,1650.07
-164.988,65.271,1639.08
-174.317,66.906,1623.74
-181.292,66.7482,1602.4
-182.995,66.1008,1573.74
-184.983,64.1902,1554.31
-187.861,65.7086,1535.86
-191.831,70.4619,1525.77
-196.701,67.8788,1521.14
-201.795,64.3855,1524.12
-206.449,61.9405,1535.9
-207.44,61.0902,1548.82
-207.844,62.6947,1568.95
-205.747,63.7364,1595.13
-198.933,65.5617,1619.31
-187.173,64.8271,1643.18
-178.517,66.0902,1660.78
-163.14,67.4891,1680.08
-144.66,74.9551,1695.81
-124.007,78.9606,1700.76
-102.032,80.4698,1699.57
-83.7306,86.7281,1705.81
-71.8576,88.6227,1705.97
-65.6488,89.2122,1707.5
-63.4177,43.6581,1708.95
-73.4296,57.8057,1708.49
-78.4873,70.4148,1710.6
-83.9267,82.5067,1718.71
-92.355,87.3424,1725.03
-96.6691,88.843,1722.59
-101.146,88.486,1716.7
-103.383,87.81,1712.67
-102.797,86.4627,1704.12
-102.534,85.3585,1698.61
-102.196,84.9031,1694.23
-101.811,84.5151,1689.41
-101.663,84.247,1686.83
-100.425,85.2687,1685.89
-99.6164,86.4102,1686.71
-99.2159,87.2657,1689.62
-97.124,88.6391,1692.54
