x,y,z
41.6347,61.0067,1708.75
64.385,54.9315,1687.65
56.3773,56.1992,1680.36
51.338,55.3584,1676.33
45.2503,55.7393,1672.67
40.9131,55.7297,1671.01
38.3471,55.4105,1669.65
35.9162,55.5222,1668.21
34.5933,55.1373,1665.99
39.2383,54.4126,1665.47
39.5659,53.8935,1664.77
40.3415,54.4947,1665.68
40.5987,54.6729,1666.06
39.4526,54.1994,1665.42
38.8394,53.277,1663.05
38.1501,52.349,1662.14
38.3441,52.3965,1663.26
36.9301,53.53,1665.33
35.9233,53.1753,1666.37
34.5521,53.2254,1667.59
34.3569,53.503,1667.68
34.6204,53.8629,1669.17
34.7992,55.196,1672.74
35.0169,56.7877,1677.58
37.4394,53.7254,1679.39
37.2792,51.8074,1681.74
37.3845,51.3827,1688.43
36.3642,49.6219,1692.38
32.237,47.7646,1690.42
27.4119,46.2667,1688.48
23.3842,43.0661,1686.79
20.8195,41.9751,1687.03
12.2863,40.0517,1689.05
5.89922,38.4118,1690.88
-5.64104,37.3181,1690.34
-9.10116,36.965,1691.45
-17.4866,35.6934,1692.22
-23.561,35.2691,1693.07
-29.1552,34.3539,1691.3
-32.6907,33.2084,1687.9
-34.0164,35.7421,1686.19
-34.6854,35.9955,1684.25
-33.3641,37.4945,1685.73
-32.6623,41.0162,1689.77
-26.9534,43.9521,1695.2
-16.3068,42.8143,1696.65
-3.36703,43.6523,1697.27
15.3154,46.614,1697.38
38.293,50.8963,1698.53
59.9515,52.9715,1698.86
75.0921,54.669,1698.49
83.1244,53.3446,1693.02
86.9606,50.6982,1682.42
95.0421,47.6167,1661.85
89.3835,47.8203,1657.27
81.69,48.102,1659.59
76.2406,47.9108,1660.54
72.4467,49.1477,1662.02
71.0404,49.1896,1654.51
68.5261,48.3478,1650.55
67.437,47.8275,1648.21
68.0712,48.2295,1648.69
68.9286,46.7204,1647.24
68.8997,46.6524,1646.48
67.4591,47.5331,1647.05
67.4201,46.8023,1647.93
67.2358,47.0984,1647.37
66.7953,45.8121,1648.43
67.3531,46.5154,1648.54
67.1124,47.0027,1650.1
67.5977,47.2749,1650.3
69.5012,46.7284,1650.92
70.6352,47.4979,1652.1
72.7502,47.4393,1653.96
75.6913,46.9201,1653.23
80.5866,46.0267,1648.92
159.959,61.0348,1620.94
155.856,60.5526,1611.84
148.186,59.708,1604.46
136.349,63.1245,1601.42
125.284,64.0212,1594.17
118.053,65.3238,1586.48
112.695,65.065,1580.79
108.601,65.48,1575.57
101.817,64.1858,1570.91
98.9861,62.3905,1567.16
97.7968,62.3973,1566.1
97.0794,62.5308,1565.79
97.1541,63.1513,1565.5
97.5275,63.7457,1564.48
98.2163,61.3761,1565.1
