x,y,z
8.09592,390.278,1698.38
29.0553,383.736,1682.96
22.7905,385.047,1678.65
16.3116,384.082,1673.94
10.0418,384.416,1670.89
4.23607,384.256,1669.12
1.01419,383.874,1668.6
-1.1702,384.014,1669.04
-2.93876,383.667,1669.4
-2.91148,382.603,1670.64
-3.78543,381.917,1670.92
-4.02267,382.411,1670.09
-4.75839,382.463,1670.13
-6.59664,381.869,1671.3
-7.00514,380.922,1671
-8.13671,379.942,1669.88
-8.7166,379.921,1668.88
-10.2173,381.053,1670.61
-10.8297,380.737,1672.74
-11.9477,380.81,1674.68
-11.5425,381.152,1675.65
-12.6476,381.266,1678.81
-13.8751,382.407,1681.84
-15.9598,383.699,1683.38
-16.2284,380.228,1683.96
-18.5808,377.934,1687.3
-20.5252,377.039,1694.14
-35.1002,372.348,1699.04
-49.984,367.816,1698.11
-57.4694,365.565,1695.16
-63.8957,361.755,1688.78
-68.1474,360.229,1682.59
-75.0744,358.445,1679.64
-80.3901,356.71,1673.09
-87.9364,356.093,1666.37
-91.9864,355.513,1663.04
-97.789,354.264,1658.39
-102.281,353.905,1655.62
-107.508,353.098,1653.7
-112.002,352.111,1653.33
-114.758,354.801,1654.96
-115.921,355.172,1654.81
-115.952,356.807,1660.74
-113.912,360.87,1667.6
-106.794,364.504,1676.12
-93.8332,364.486,1684.5
-81.4571,365.574,1688.31
-63.1084,368.861,1691.62
-39.4108,373.515,1692.4
-14.4954,376.303,1692.88
6.53804,378.678,1692.21
18.9761,378.006,1691.57
23.3656,375.234,1689.39
22.6296,369.955,1680.66
18.6088,369.715,1678.27
13.5241,370.141,1682.12
9.05431,369.933,1686.32
5.97333,371.172,1690.39
2.1301,370.643,1686.24
-1.12057,369.592,1682.71
-3.32801,368.869,1680.19
-2.75702,369.325,1680.18
-2.566,367.729,1678.56
-2.75265,367.796,1675.76
-2.8661,368.901,1676.3
-2.76187,368.418,1674.73
-2.31561,368.962,1673.18
-2.2186,367.923,1672.08
-1.9555,368.727,1670.54
-0.858044,369.42,1672.74
0.515772,369.8,1674.47
2.01707,369.449,1671.55
3.78156,370.594,1667.76
7.64568,371.12,1660.61
14.2432,371.424,1652.87
23.3931,371.453,1645.03
110.462,386.62,1590.93
104.72,386.461,1590.09
95.5526,385.742,1589.6
83.1712,389.225,1588.57
72.0212,390.263,1586.46
63.6059,391.444,1584.57
57.1581,390.995,1584.06
51.6635,391.16,1581.5
46.2777,390.004,1581.12
43.8172,388.166,1580.72
42.3408,388.147,1579.73
40.213,388.089,1578.37
39.0864,388.588,1575.41
39.5935,389.186,1575.3
40.3492,386.838,1575.77
41.4864,385.906,1573.72
40.8236,385.724,1571.12
41.8839,385.092,1573.27
42.674,385.281,1574.26
43.6345,387.463,1576.46
44.8073,388.548,1575.69
44.4429,389.523,1574.07
44.2826,391.418,1571.61
44.177,389.382,1570.95
45.9514,388.503,1573.4
