x,y,z
347.248,93.0662,1526.99
352.565,83.0681,1469.95
354.059,87.1566,1473.95
347.342,89.8356,1469.17
342.696,88.9004,1471.8
339.566,87.6086,1461.06
339.482,90.2301,1460.73
338.367,95.4695,1455.98
328.491,100.871,1446.32
333.981,95.8067,1458.25
333.175,88.7818,1463.47
335.373,88.923,1463.72
334.377,89.4782,1465.72
337.227,88.3362,1478.48
336.694,89.015,1476.4
326.75,93.2274,1459.93
317.298,87.3771,1454.88
329.263,91.0246,1474.3
336.276,91.2041,1489.94
335.676,88.0488,1485.5
336.48,81.4826,1467.51
326.803,87.1754,1466.82
332.059,92.4254,1462.03
326.569,90.8751,1449.68
328.248,90.676,1465.08
329.18,93.1598,1472
333.577,98.5382,1485.64
329.259,111.07,1487.53
328.258,111.614,1508.18
322.759,110.716,1531.02
314.843,109.335,1546.27
307.359,109.203,1573.49
298.486,105.554,1609.75
285.913,95.453,1646.26
271.365,90.4801,1673.19
262.475,88.6396,1695.72
254.896,87.5988,1702.31
244.265,87.1725,1706.45
238.088,88.0087,1706.32
237.146,91.151,1697.19
238.504,90.6079,1676.57
239.282,89.4909,1663.17
243.922,92.3624,1639.44
248.061,99.4317,1610.42
259.649,107.506,1566.1
272.118,111.205,1521.18
280.177,107.458,1495.96
268.813,74.8507,1475.16
253.027,48.3227,1472.52
244.657,32.7887,1464.17
243.931,21.9255,1452.66
243.513,15.6488,1446.02
284.662,80.4601,1423.24
307.449,99.3783,1392.81
323.289,101.614,1375.78
328.115,99.2948,1367.38
325.016,94.9473,1367.26
321.462,96.6304,1366.72
320.334,98.6235,1368.23
314.713,97.0743,1371.01
317.448,95.5961,1374.32
318.09,93.8238,1374.81
320.303,95.0335,1380.24
318.416,93.174,1379.82
319.318,96.692,1383.97
323.109,92.753,1387.7
323.495,89.7488,1390.47
327.338,92.0536,1398.17
327.189,96.2815,1403.5
325.432,97.4606,1405.71
324.969,94.8147,1403.59
323.575,93.317,1406.2
327.021,96.3719,1400.32
331.875,96.2984,1399.37
336.896,96.2471,1395.49
352.032,96.5344,1393.36
428.923,39.249,1325.16
425.159,43.0625,1315.31
411.992,63.3742,1316.78
400.554,78.5712,1322.48
389.646,84.9003,1320.7
382.702,91.5456,1321.61
372.711,95.0842,1320.69
366.102,95.2934,1323.8
366.728,95.7851,1325.65
367.562,96.377,1327.85
368.049,97.2351,1328.4
368.381,97.8263,1331.04
368.176,98.5394,1331.57
366.449,98.6171,1330.75
366.203,98.1747,1330.77
366.575,97.2955,1330.04
366.849,97.2665,1329.1
367.482,96.8607,1329.6
365.428,97.5967,1328.25
366.528,97.234,1327.95
366.423,96.7813,1327.44
365.26,96.574,1327.07
366.555,96.0948,1326.83
362.298,96.0753,1321.14
364.81,95.0684,1322
366.141,94.8745,1323.79
367.265,95.9884,1321.4
367.442,96.1153,1319.76
364.198,97.5871,1318.41
365.352,98.8357,1312.1
365.889,99.676,1303.27
364.776,100.623,1292.3
362.888,103.96,1281.39
355.182,101.984,1270.47
352.697,101.086,1260.61
348.98,99.9482,1248.05
345.17,99.3747,1236.54
337.071,99.9279,1230.86
330.551,99.2144,1223.9
324.284,97.8977,1218.89
318.65,97.0915,1216.01
312.875,96.985,1214.85
309.628,96.5986,1214.19
308.179,95.9963,1215.33
308.568,94.0619,1216.65
310.202,93.9726,1218.11
314.78,95.4516,1221.7
319.637,95.8665,1222.61
322.878,94.2513,1227.91
328.222,95.6103,1236.45
336.466,97.2041,1246.11
345.586,97.3226,1257.12
353.166,97.2718,1270.38
357.902,97.4008,1287.04
365.616,98.5805,1301.83
366.376,99.8831,1313.15
373.191,99.8953,1326.64
376.18,99.6199,1337.85
