x,y,z
176.662,54.1262,1660.66
201.664,50.268,1625.1
198.213,52.1607,1622.31
194.656,51.9986,1621.99
190.453,52.8559,1621.17
186.732,53.542,1621.24
184.361,53.6544,1620.44
181.839,53.9228,1618.73
178.531,53.6984,1616.2
178.887,54.287,1615.75
178.838,54.3957,1614
179.452,55.1391,1614.47
179.83,55.6993,1615.19
178.511,55.7831,1614.09
178.546,55.1499,1613.52
178.686,54.444,1615.03
179.2,54.5444,1617.11
177.611,55.6471,1618.66
176.475,55.2658,1619.3
174.892,55.2934,1619.9
174.565,55.4325,1619.6
174.334,56.5983,1619.7
173.903,58.4093,1621.61
173.696,60.4196,1625.34
176.023,58.2931,1626.97
175.763,57.457,1629.16
175.753,58.1732,1631.42
179.974,63.7718,1642.74
179.582,67.8061,1654.88
178.052,68.3867,1661.92
175.868,66.546,1673.46
172.857,65.9382,1684.94
167.802,64.8815,1696.72
160.016,63.2837,1711.27
149.99,62.2245,1721.52
140.909,60.9448,1728.06
132.883,60.0208,1734.97
124.212,59.1835,1741.29
117.899,58.1135,1741.53
114.292,56.5297,1735.9
111.688,58.0322,1729
111.028,57.8065,1723.45
112.943,58.4472,1712.35
115.01,60.4417,1700.29
117.731,60.5995,1686.91
122.408,56.1819,1670.17
129.774,55.4259,1659.72
140.093,56.3139,1648.4
154.151,57.7214,1637.93
167.608,56.6062,1624.27
183.664,56.67,1608.84
191.803,55.4244,1595.48
196.527,55.3625,1583.24
206.932,58.3653,1574.72
215.253,62.9282,1569.2
215.44,65.3804,1569.24
210.769,65.9907,1569.61
205.686,67.3934,1570.03
204.445,67.99,1571.46
205.243,67.8895,1572.19
205.394,67.8073,1572.29
204.961,68.0047,1571.11
205.501,66.5031,1570.39
207.206,66.2353,1571.93
207.135,67.0182,1572.24
207.591,65.633,1574.21
207.965,65.309,1575.65
208.526,63.5461,1577.23
209.004,63.7712,1578.94
208.259,63.9659,1577.93
207.584,63.9369,1577.12
209.198,62.5045,1578.87
211.554,62.0808,1581.7
215.031,59.4667,1586.51
217.768,55.6534,1588.03
220.834,51.5542,1585.59
283.658,53.1976,1534.34
279.283,55.4511,1524.4
273.064,57.352,1518.88
262.548,61.7899,1517.75
252.723,64.2835,1512.33
246.184,67.6274,1505.74
241.61,69.2,1501.37
239.026,71.0441,1498.73
232.765,70.2446,1495.03
229.907,69.0778,1491.23
228.439,69.189,1489.68
228.307,69.709,1490.4
229.015,70.2776,1491.21
229.089,70.989,1489.67
229.239,68.4919,1489.33
231.112,67.4371,1489.47
232.101,67.2585,1490.66
232.107,67.3262,1487.76
231.64,67.0374,1487.68
230.577,69.0381,1486.22
230.817,69.488,1485.76
232.925,71.4367,1485.98
233.532,72.7638,1487.3
234.288,71.0756,1487.18
234.058,70.4496,1484.32
235.255,70.0149,1488.16
238.301,71.7238,1486.5
237.898,70.2102,1482.45
237.193,69.221,1481.64
235.558,70.051,1481.17
235.975,72.6768,1477.55
235.121,72.0399,1474.45
257.885,80.3917,1455.43
252.644,81.2141,1455.61
249.636,83.336,1455.86
251.942,85.2389,1450.31
250.372,83.6831,1449.22
254.467,84.7465,1444.23
248.999,86.1312,1443.81
249.901,89.0176,1435.05
246.743,89.8993,1435.54
247.277,89.293,1436.56
247.015,91.9305,1433.88
248.525,92.6853,1432.06
250.225,91.2295,1429.96
251.911,92.4328,1428.16
249.204,90.9044,1434.98
242.969,88.2279,1443.46
242.21,86.1946,1446.07
243.511,86.503,1449.16
240.082,82.5149,1457.05
238.491,77.7801,1465.74
239.873,78.5342,1471.29
239.801,73.3259,1475.89
239.444,73.2741,1478.21
238.689,70.5815,1478.38
238.857,72.2608,1490.59
239.586,72.8681,1488.7
237.838,72.8181,1489.42
234.788,70.6676,1492.58
237.647,69.0483,1489.27
236.074,69.1025,1491.45
235.649,67.648,1492.56
233.492,67.3986,1491.81
233.576,70.3421,1490.36
233.9,71.415,1489.89
234.495,72.3952,1491.16
233.025,72.5267,1490.42
231.267,72.293,1489.7
230.069,70.6439,1487.32
229.595,70.2365,1486.76
227.663,69.6423,1488.83
227.078,70.6819,1487.61
228.677,71.5882,1485.96
225.943,69.6603,1480.76
230.133,72.8389,1474.83
229.616,73.7215,1471.96
235.352,74.7717,1464.1
237.015,75.5534,1457.58
235.454,77.573,1450.79
234.21,78.2498,1445.67
237.085,81.5373,1436.12
242.007,82.3671,1430.06
241.933,84.0584,1426.64
245.802,89.7959,1415.29
246.28,93.5103,1408.88
247.644,93.9678,1406.04
248.298,93.9671,1405.5
250.585,95.0349,1403.32
254.796,96.058,1399.34
255.967,97.4443,1397.76
254.476,97.9827,1397.43
251.635,95.8842,1409.45
245.958,89.4487,1420.03
243.584,87.4218,1427.91
234.434,80.5868,1441.64
228.358,78.7796,1447.65
227.037,77.7908,1454.45
222.017,74.7822,1459.67
222.153,73.8602,1462.81
220.683,73.8121,1469.03
219.723,72.2821,1474.37
218.75,70.8295,1474.23
218.066,69.1535,1477.06
220.08,68.0976,1480.7
221.286,69.1222,1486.66
220.005,67.9311,1485.16
219.551,66.9151,1484.7
218.296,65.1627,1484.45
216.537,65.5802,1482.22
218.662,65.1105,1484.43
225.231,66.685,1483.05
223.821,66.7488,1480.64
223.358,65.8538,1479.82
229.99,75.1933,1454.92
229.548,74.7483,1455.2
226.545,75.1629,1450.05
229.509,76.9777,1446.69
231.917,77.4135,1445.83
233.953,75.8064,1443.89
234.114,75.9895,1445.27
233.301,77.4022,1445.49
234.675,78.1066,1443.78
237.892,80.3884,1440.32
244.357,81.1767,1437.17
244.818,82.228,1435.12
243.469,79.1896,1438.94
244.934,78.9038,1439.74
244.569,79.0308,1437.95
244.637,78.4809,1439.4
244.216,78.2555,1440.31
239.379,77.5436,1441.7
237.951,75.5822,1442.07
236.429,77.0833,1443.46
236.152,76.3211,1441.38
235.963,75.1946,1436.13
233.98,75.0884,1439.45
236.482,75.3613,1438.02
236.621,75.4986,1439.02
236.031,76.7139,1437.84
234.744,75.5208,1437.45
235.608,74.8406,1435.67
235.039,74.8919,1435.5
234.808,74.9799,1436.68
237.58,77.425,1434.92
236.622,78.5442,1437.08
236.304,78.2512,1437.12
236.454,78.6282,1435.24
235.659,78.2511,1434.58
234.551,78.1449,1435.03
236.252,77.5738,1435.38
240.498,79.0863,1430.81
240.819,80.5655,1432.33
241.823,80.9364,1432.8
243.372,80.9417,1431.74
242.566,82.2804,1432.1
241.277,83.9435,1435.61
240.278,81.4016,1432.84
237.988,78.9297,1436.62
235.005,78.1335,1434.88
235.148,79.4417,1432
233.569,78.3972,1432.68
235.248,79.1589,1435.08
238.822,81.5266,1434.5
238.273,80.8639,1436.43
238.864,81.9494,1436.73
234.874,81.1923,1436.65
235.823,79.8888,1434.08
234.246,77.8359,1435.58
234.979,76.9054,1437.47
235.587,77.7028,1435.1
234.064,79.6612,1434.79
233.735,78.1681,1436.41
234.772,78.4502,1435.4
234.115,77.3627,1437.62
235.221,79.5778,1434.2
235.925,78.843,1436.89
237.995,79.5193,1434.11
237.428,80.1189,1437.91
237.632,78.5244,1438.92
239.698,78.6507,1438.22
241.967,78.6668,1436.66
242.977,79.4187,1433.84
243.433,80.0687,1432.48
241.373,80.3606,1433.66
239.679,80.5314,1437.79
239.106,78.5675,1435.66
236.816,76.9264,1432.06
229.148,73.0412,1423.12
223.919,70.6455,1413.83
206.748,68.7039,1402.49
192.672,71.141,1383.46
175.364,74.3158,1366.32
