x,y,z
225.684,379.19,1620.89
239.726,376.58,1586.95
236.952,378.949,1590.99
232.738,379.009,1591.88
228.24,380.083,1593.5
223.412,380.968,1594.31
220.527,381.234,1594.62
218.228,381.61,1594.64
216.015,381.478,1593.67
215.348,382.407,1592.93
213.889,382.702,1591.57
213.408,383.418,1590.05
212.866,384.067,1590.62
210.762,384.344,1591.07
211.349,383.85,1593.6
211.491,383.216,1596.26
211.427,383.278,1596.76
209.665,384.362,1597.65
208.856,384.004,1599.17
207.41,384.042,1600.13
207.611,384.168,1600.49
205.72,385.542,1601.5
203.531,387.429,1601.93
200.788,389.375,1601.73
200.376,387.368,1602.03
197.868,386.764,1605.12
193.393,387.537,1606
182.842,393.822,1623.71
172.672,398.101,1644.4
167.597,398.613,1655.47
163.016,396.696,1668.94
159.488,396.107,1679.45
152.411,394.765,1690.87
145.164,393.11,1702.94
135.408,391.836,1711.11
129.717,390.953,1717.14
121.922,389.81,1720.85
115.023,389.071,1726.53
109.02,388.082,1727.66
105.662,386.647,1724.42
105.028,388.424,1719.55
105.39,388.299,1714.34
108.951,389.015,1701.67
113.484,390.783,1683.79
120.259,390.629,1663.12
129.431,386.002,1641.88
138.307,385.008,1626.32
149.778,385.41,1608.04
163.362,385.46,1586.35
173.338,382.645,1562.73
183.358,381.937,1546.21
190.372,381.286,1537.74
194.52,382.52,1534.45
203.965,387.375,1539.46
206.76,392.299,1546.63
204.003,394.748,1553.44
199.628,395.545,1557.51
195.332,397.103,1559.65
197.161,398.128,1564.83
198.107,398.069,1568.53
197.883,398.01,1569.45
197.158,398.205,1566.89
197.726,396.742,1565.85
199.587,396.445,1566.69
199.833,397.178,1567.74
200.855,395.772,1567.64
202.743,395.497,1568.68
203.529,393.667,1568.72
204.756,393.909,1568.97
204.237,394.068,1567.86
204.699,394.104,1567.73
206.905,392.587,1565.89
210.147,391.949,1564.66
216.323,388.76,1561.68
224.401,384.342,1556.43
234.331,379.766,1549.76
299.904,374.617,1458.3
293.595,378.654,1456.29
286.561,382.139,1458.7
276.204,387.184,1460.59
266.919,390.664,1461.3
259.559,394.967,1461.1
254.302,397.318,1462.6
251.088,399.668,1464.01
246.553,399.27,1465.06
244.038,398.393,1464.6
242.125,398.534,1462.86
240.883,399.066,1463.08
240.723,399.485,1461.81
240.778,400.262,1460.91
240.703,397.719,1459.91
240.722,396.304,1455.91
241.591,396.02,1455.96
241.704,396.424,1456.56
242.4,396.191,1457.33
241.083,398.197,1455.77
242.05,398.559,1454.56
244.948,400.814,1458.72
246.132,401.994,1458.47
245.912,400.278,1457.57
245.803,399.819,1456.79
247.419,399.416,1461.35
249.591,401.511,1464.56
249.664,400.278,1465.88
249.404,399.31,1465.32
248.109,400.156,1465.18
245.936,402.889,1462.5
244.222,402.404,1462.57
244.84,409.388,1456.95
241.226,410.959,1457.51
239.9,413.53,1455.95
238.465,415.393,1454.82
236.718,413.97,1453.62
235.752,414.788,1450.02
229.576,416.14,1451.33
226.761,418.21,1449.18
