x,y,z
0.202545,0.866628,0.455996
0.256483,0.916625,0.306618
0.221461,0.920979,0.320549
0.242364,0.918137,0.313503
0.259197,0.921082,0.290559
0.257054,0.922114,0.289187
0.271769,0.921505,0.277436
0.290755,0.916788,0.27379
0.30904,0.917527,0.250278
0.316094,0.919309,0.234425
0.320642,0.920155,0.224732
0.323403,0.922088,0.212517
0.331471,0.923236,0.194322
0.335943,0.915278,0.222278
0.325897,0.917265,0.228947
0.306735,0.916511,0.256751
0.30529,0.912595,0.27197
0.295296,0.911831,0.285245
0.283067,0.910506,0.301416
0.291855,0.903865,0.312809
0.282764,0.898562,0.335604
0.276077,0.897832,0.343045
0.254854,0.898342,0.357815
0.228292,0.893871,0.385847
0.198907,0.887139,0.416437
0.182366,0.870942,0.456292
0.16543,0.856663,0.488633
0.159781,0.865588,0.474582
0.147696,0.882139,0.447233
0.138471,0.891749,0.430824
0.161689,0.898665,0.407748
0.147133,0.892397,0.42659
0.152795,0.886919,0.435922
0.137965,0.864488,0.483349
0.0975865,0.836341,0.539454
0.0617145,0.817731,0.572283
0.0448327,0.783015,0.620385
0.04173,0.749922,0.660209
0.0395398,0.759265,0.649579
0.0468153,0.770606,0.63559
0.0583448,0.788989,0.611631
0.0597422,0.807455,0.586896
0.0939547,0.811819,0.576301
0.1249,0.838348,0.530634
0.154296,0.860192,0.486069
0.180121,0.880656,0.43818
0.207954,0.894336,0.39613
0.242193,0.908098,0.341614
0.273802,0.916078,0.292975
0.290388,0.918638,0.267916
0.270454,0.923838,0.270882
0.240917,0.940338,0.240257
0.221476,0.944805,0.241439
0.21462,0.94398,0.250679
0.172895,0.959973,0.220362
0.23511,0.935884,0.262383
0.251887,0.926463,0.279678
0.271271,0.928034,0.255274
0.286504,0.930699,0.227411
0.267964,0.933528,0.238163
0.271584,0.926432,0.260701
0.27825,0.922591,0.267213
0.275699,0.916286,0.290533
0.275723,0.914144,0.297183
0.272598,0.913661,0.301518
0.267408,0.911738,0.311813
0.265271,0.911922,0.313096
0.258886,0.913061,0.315116
0.26109,0.913916,0.310789
0.263339,0.919306,0.292453
0.27344,0.921209,0.276773
0.27058,0.922006,0.276931
0.235062,0.925374,0.29737
0.219184,0.926327,0.306394
0.249378,0.924322,0.288859
0.26283,0.920785,0.288227
0.288986,0.907485,0.304891
0.322476,0.905883,0.274564
0.325431,0.909042,0.260265
0.344387,0.908993,0.234797
0.30428,0.913555,0.269872
0.289409,0.914271,0.283464
0.299345,0.914286,0.272897
0.296931,0.914112,0.276099
0.302091,0.905455,0.29815
0.279509,0.904483,0.322156
0.261414,0.902162,0.343172
0.241663,0.901927,0.357948
0.230827,0.904354,0.358974
0.22748,0.905854,0.357325
0.217266,0.90513,0.365426
0.222779,0.906061,0.359754
0.232704,0.905526,0.354784
0.245189,0.906475,0.343782
0.260004,0.905956,0.334128
0.249762,0.900461,0.356074
0.263961,0.898443,0.350891
0.26631,0.888831,0.372906
0.269207,0.884154,0.381836
0.273044,0.888146,0.369654
0.286336,0.893331,0.346368
0.265887,0.881189,0.39091
0.270371,0.884722,0.379694
0.265894,0.888665,0.373597
0.286492,0.889022,0.357158
0.303198,0.889072,0.342962
0.317631,0.892044,0.321508
0.332175,0.888199,0.317432
0.322027,0.891819,0.317738
0.306538,0.899941,0.310065
0.319233,0.901321,0.292765
0.346216,0.907024,0.239673
0.368885,0.904474,0.214128
0.346848,0.917447,0.194905
0.360264,0.915586,0.178642
0.376667,0.912825,0.157713
0.380578,0.912645,0.149129
0.382742,0.912573,0.143942
0.384438,0.913073,0.136034
0.356579,0.932041,0.0644348
0.360539,0.930014,0.0713141
0.355303,0.929642,0.0975988
0.354814,0.927808,0.115234
0.309538,0.948631,0.0654634
0.319505,0.943768,0.0849657
