x,y,z
-0.0102892,-0.988444,0.151234
0.00198953,-0.990782,0.13545
-0.000145437,-0.992972,0.118347
0.00435973,-0.99253,0.121927
0.00316472,-0.99325,0.115953
0.00463615,-0.992935,0.118567
0.00698794,-0.993356,0.114872
0.0068774,-0.993762,0.111308
0.00825236,-0.994777,0.101736
0.0183723,-0.994586,0.102282
0.0231252,-0.994296,0.104116
0.0258089,-0.993153,0.113936
0.0292891,-0.99287,0.115551
0.028473,-0.993371,0.111375
0.0226572,-0.994759,0.0997069
0.026777,-0.994867,0.097585
0.0300496,-0.993759,0.107428
0.033041,-0.99351,0.108837
0.0334868,-0.993875,0.105312
0.0344163,-0.994343,0.100489
0.0325208,-0.994669,0.0978555
0.035758,-0.995645,0.0860979
0.0404924,-0.995632,0.0841277
0.0499279,-0.993764,0.0997056
0.0556112,-0.992913,0.105033
0.0608397,-0.993273,0.0985206
0.0710814,-0.992464,0.0998099
0.111246,-0.989396,0.0933758
0.136454,-0.987393,0.0802257
0.143543,-0.986586,0.0777329
0.150838,-0.984871,0.0853104
0.153426,-0.983136,0.0995143
0.145643,-0.98341,0.108137
0.140505,-0.982163,0.124954
0.134076,-0.981188,0.1389
0.128468,-0.981411,0.142578
0.119215,-0.980252,0.15778
0.115465,-0.980155,0.161132
0.114432,-0.979793,0.164044
0.116961,-0.980707,0.156631
0.11934,-0.981213,0.151586
0.122475,-0.981094,0.149847
0.1256,-0.981737,0.142892
0.121603,-0.981405,0.148513
0.118022,-0.980784,0.155349
0.111148,-0.982871,0.147005
0.114424,-0.982629,0.146107
0.114995,-0.983079,0.142588
0.120229,-0.981987,0.145761
0.129509,-0.979697,0.153039
0.132632,-0.979751,0.149992
0.128402,-0.982109,0.137747
0.125981,-0.985471,0.113909
0.136646,-0.987461,0.0790539
0.136061,-0.988998,0.0580484
0.134061,-0.990046,0.0428442
0.129431,-0.99098,0.0347291
0.124749,-0.991788,0.0281757
0.128935,-0.991524,0.0159962
0.12827,-0.9917,0.00885208
