x,y,z
-0.474942,0.835731,-0.27565
-0.535546,0.836922,-0.112925
-0.511719,0.846194,-0.148659
-0.50471,0.853776,-0.127809
-0.491541,0.863096,-0.115984
-0.491516,0.867416,-0.0774729
-0.494889,0.865861,-0.0732798
-0.497697,0.864248,-0.0733055
-0.503904,0.861891,-0.0567886
-0.504903,0.859593,-0.0785632
-0.515052,0.853608,-0.0779483
-0.515763,0.851661,-0.0930695
-0.515831,0.850093,-0.106112
-0.520104,0.843084,-0.136752
-0.517154,0.845942,-0.130132
-0.521189,0.84888,-0.0881176
-0.526871,0.8475,-0.0644229
-0.525902,0.841805,-0.12162
-0.515363,0.838733,-0.175865
-0.515892,0.842786,-0.153515
-0.524052,0.84904,-0.0670787
-0.526392,0.847743,-0.0651429
-0.535783,0.843279,-0.04261
-0.545449,0.838144,-0.000732446
-0.548712,0.835801,-0.0187775
-0.554995,0.831152,-0.0341493
-0.56695,0.818267,-0.0949031
-0.586077,0.809402,-0.0371771
-0.551787,0.832012,-0.0573276
-0.532234,0.840325,-0.102863
-0.500341,0.856507,-0.126708
-0.462237,0.854316,-0.237657
-0.412378,0.846116,-0.337686
-0.354542,0.850192,-0.389196
-0.329115,0.840121,-0.431137
-0.279682,0.829741,-0.483019
-0.267168,0.823159,-0.501029
-0.260832,0.833077,-0.487801
-0.26332,0.839855,-0.474664
-0.277106,0.848323,-0.451176
-0.299187,0.871921,-0.387608
-0.314471,0.891792,-0.325293
-0.357269,0.891433,-0.278758
-0.418839,0.867618,-0.267979
-0.468693,0.862351,-0.191514
-0.521872,0.847159,-0.0998552
-0.544147,0.838627,-0.0246863
-0.539625,0.837315,0.0877991
-0.508281,0.850444,0.135626
-0.49556,0.851818,0.169787
-0.482518,0.850307,0.21013
-0.484386,0.841505,0.239246
-0.597686,0.797387,0.0833403
-0.596152,0.783535,0.175144
-0.569033,0.779549,0.261734
-0.5554,0.77069,0.312358
-0.549678,0.765386,0.334721
-0.563904,0.735535,0.3755
-0.541361,0.75211,0.375842
-0.526975,0.765827,0.36852
-0.527776,0.771025,0.356333
-0.53369,0.779699,0.327481
-0.541467,0.781537,0.30986
-0.533235,0.792415,0.296207
-0.537967,0.801842,0.260079
-0.544699,0.800035,0.251491
-0.541607,0.803089,0.248417
-0.555111,0.79663,0.239232
-0.553455,0.807933,0.202317
-0.555155,0.810823,0.185389
-0.55791,0.804415,0.204091
-0.563027,0.801378,0.201977
-0.551155,0.812346,0.190583
-0.551805,0.816091,0.171775
-0.544743,0.825326,0.148631
-0.559412,0.82088,0.114952
-0.543187,0.838536,0.0424809
-0.534124,0.842147,0.0741605
-0.534842,0.842823,0.059937
-0.547289,0.836219,0.0348259
-0.54637,0.836748,0.0364935
-0.53842,0.842417,0.0209218
-0.531032,0.846899,0.0277083
-0.523829,0.851223,0.0319667
-0.533167,0.845105,0.0391182
-0.540731,0.840494,0.0343602
-0.542482,0.83982,0.0203658
-0.552449,0.833379,0.0167431
-0.540549,0.841254,0.00995738
-0.527047,0.8498,0.00787996
-0.553394,0.832777,0.0154136
-0.551415,0.834229,0.00169318
-0.553806,0.832637,0.00375885
-0.547997,0.836406,0.0111616
-0.551852,0.833757,0.0175414
-0.550818,0.834574,0.00927449
-0.548794,0.835913,0.0086289
-0.528011,0.848478,0.0359091
-0.520476,0.852854,0.0417687
-0.515491,0.85595,0.040218
-0.523803,0.851026,0.0372042
