x,y,z
-0.0235865,-0.996799,0.0763957
-0.00416169,-0.99786,0.0652572
-0.00784761,-0.998703,0.0503025
-0.00465434,-0.998764,0.04948
-0.00392642,-0.998985,0.044862
-5.76342e-06,-0.999036,0.0439009
0.00177799,-0.99916,0.0409362
0.00106232,-0.999371,0.0354369
7.29257e-05,-0.999576,0.0291041
0.00866538,-0.999601,0.0268648
0.0126415,-0.999613,0.0247932
0.0158515,-0.999409,0.0304897
0.0187654,-0.999337,0.0312017
0.0210155,-0.999438,0.0261022
0.0198629,-0.999636,0.0182303
0.0205333,-0.999648,0.0168036
0.0225923,-0.999493,0.0224407
0.0229877,-0.999449,0.0239545
0.0218877,-0.999541,0.0209694
0.0212945,-0.999587,0.0193192
0.0195759,-0.999664,0.0169678
0.0241875,-0.999622,0.01304
0.0290072,-0.999449,0.0161084
0.0363802,-0.99897,0.0271263
0.0446508,-0.99852,0.0310387
0.0514117,-0.998281,0.0281473
0.0613347,-0.997665,0.0300316
0.104489,-0.994347,0.0188533
0.135782,-0.99073,0.0042518
0.145223,-0.989399,-0.000341396
0.152517,-0.988293,0.00385255
0.155876,-0.987661,0.0151135
0.156503,-0.987404,0.0232402
0.154063,-0.98726,0.039775
0.14757,-0.987664,0.0523622
0.143296,-0.987865,0.0599088
0.139014,-0.987594,0.0730298
0.133899,-0.987797,0.0795458
0.13286,-0.988029,0.0783961
0.133942,-0.988505,0.0701245
0.133119,-0.989162,0.0619463
0.132312,-0.989467,0.0587171
0.131862,-0.989779,0.0543089
0.12607,-0.990272,0.058895
0.117752,-0.990893,0.0653061
0.107385,-0.992308,0.0615946
0.10594,-0.992278,0.0645069
0.104692,-0.992021,0.0702368
0.104332,-0.99065,0.0879062
0.104674,-0.989172,0.10287
0.104883,-0.988931,0.104951
0.0998935,-0.990904,0.0901726
0.0999528,-0.99295,0.0637209
0.114924,-0.993058,0.025078
0.12082,-0.992671,0.00239052
0.121293,-0.992564,-0.0102569
0.119326,-0.992637,-0.0208283
0.117027,-0.992751,-0.0274028
0.11606,-0.992506,-0.0382466
0.116948,-0.99219,-0.0433945
0.119218,-0.991875,-0.0443922
0.119755,-0.991934,-0.0415386
0.120727,-0.991848,-0.0407721
0.12073,-0.99201,-0.0366003
0.118226,-0.99227,-0.0377097
0.117147,-0.992637,-0.0308099
0.11388,-0.99308,-0.0286977
0.11272,-0.99336,-0.0230371
0.112028,-0.993536,-0.0183238
0.109644,-0.993787,-0.0191446
0.10656,-0.994052,-0.0224911
0.106276,-0.994268,-0.0116484
0.103974,-0.994578,0.00210403
0.0972256,-0.994877,0.0276905
0.0835261,-0.995315,0.0486929
0.0665803,-0.995944,0.0605155
0.0506508,-0.985566,0.161539
0.0561045,-0.988994,0.136907
0.0596331,-0.991653,0.114319
0.0602063,-0.992473,0.106641
0.0595146,-0.994208,0.089494
0.0625719,-0.995519,0.0709011
0.0652725,-0.996401,0.0540717
0.0683584,-0.996696,0.0438564
0.0635999,-0.997521,0.0301097
0.0625093,-0.997846,0.0199022
0.0636192,-0.997772,0.0200843
0.0674575,-0.99747,0.0224472
0.0706083,-0.997062,0.029684
0.0704314,-0.997142,0.0273192
0.070671,-0.99709,0.0285696
0.0757313,-0.99632,0.0401437
0.0768984,-0.996023,0.0450091
0.0760897,-0.996538,0.0335146
0.0725002,-0.996892,0.0308227
0.0720312,-0.996976,0.0291739
0.0697572,-0.997077,0.0311844
0.0689796,-0.997369,0.0222798
0.0680379,-0.997285,0.0281614
