x,y,z
-570.568,391.072,1655.16
-549.125,389.479,1677.91
-547.952,387.539,1669.15
-548.794,386.688,1659.52
-549.526,385.777,1648.88
-549.624,384.867,1643.37
-549.553,386.258,1640.69
-549.025,386.366,1635.42
-549.587,385.405,1633.35
-550.104,385.111,1631.76
-551.118,384.637,1630.39
-551.583,384.395,1630
-551.443,383.987,1630.89
-551.429,382.681,1625.79
-550.659,384.546,1627.3
-551.048,384.647,1625.16
-550.682,383.046,1627.72
-550.798,382.836,1627.26
-551.808,383.331,1627.29
-552.725,383.591,1627.54
-552.611,382.93,1625.16
-554.059,383.499,1624.59
-556.42,384.34,1623.21
-557.016,384.485,1623.71
-559.066,383.021,1618.84
-562.162,382.98,1615.27
-566.075,381.16,1611.27
-578.816,377.281,1596.46
-586.432,374.752,1581.27
-588.403,373.2,1573.19
-592.938,370.215,1563.53
-597.032,368.863,1553.13
-600.198,365.717,1540.56
-603.748,365.076,1529.06
-607.188,361.732,1517.97
-610.044,358.724,1504.93
-609.845,357.959,1493.8
-609.774,358.924,1486.9
-610.364,358.404,1481.48
-609.942,355.781,1470.89
-609.714,355.478,1467.83
-609.771,357.652,1470.22
-607.931,359.366,1471.45
-607.21,364.471,1480.4
-603.003,369.201,1490.99
-597.161,371.382,1500.03
-589.532,374.573,1520.51
-579.401,377.239,1544.21
-568.901,380.639,1568.58
-559.754,384.911,1591.74
-550.033,382.705,1609.69
-544.734,383.731,1620.17
-541.222,383.839,1624.35
-540.907,382.943,1627.02
-541.481,382.016,1627.59
-544.958,381.651,1626.13
-548.355,380.514,1623.25
-551.059,379.734,1622.45
-553.077,380.7,1620.4
-552.773,382.119,1618.5
-552.661,382.471,1616.01
-552.462,382.335,1613.66
-552.263,381.939,1610.93
-551.504,382.062,1611.26
-550.604,381.932,1613.03
-548.96,380.869,1613.97
-548.355,381.123,1613.73
-548.032,382.571,1616.21
-547.063,382.155,1616.49
-547.344,382.322,1615.66
-546.166,382.682,1619.38
-544.936,381.543,1619.5
-543.006,380.133,1621.67
-538.886,381.267,1625.75
-532.966,383.402,1631.47
-525.777,382.322,1643.71
-466.939,392.371,1716.94
-466.889,390.315,1705.58
-469.145,390.741,1692.27
-471.165,391.28,1677.78
-472.937,392.474,1664.96
-474.042,392.402,1654.79
-475.071,392.216,1644.91
-476.528,393.53,1637.41
-477.7,390.792,1630.22
-478.714,390.508,1626.01
-478.614,390.113,1623.77
-478.543,390.293,1622.63
-479.16,388.582,1620.61
-478.672,390.273,1618.92
-478.359,390.502,1618.88
-477.824,391.187,1620.74
-477.941,391.493,1619.37
-477.776,392.031,1619.27
-477.169,392.536,1620.81
-476.871,391.296,1622.19
-476.146,390.886,1621.2
-476.087,390.75,1621.52
-475.617,390.132,1624.77
-474.648,391.396,1624.24
-474.215,390.969,1623.68
-474.59,390.169,1625.06
-474.478,390.874,1624.78
-475.024,389.949,1623.2
-475.574,388.841,1623.82
-475.968,388.669,1625.77
-477.096,390.6,1627.49
-477.984,390.966,1628.65
-479.568,392.153,1631.96
-481.14,394.317,1636.55
-481.852,394.899,1640.46
-483.03,392.368,1640.15
-485.121,391.098,1641.25
-488.148,391.613,1642.98
-488.616,389.026,1641.32
-489.129,388.806,1642.95
-490.45,388.386,1644.58
-490.521,386.935,1643.12
-491.627,388.839,1642.75
-492.004,387.811,1642.76
-492.252,387.669,1644.04
-492.22,388.572,1642.91
-491.249,389.09,1642.63
-489.845,387.03,1641.82
-488.549,385.345,1640.68
-487.179,386.047,1638.93
-485.612,387.029,1637.93
-483.769,387.597,1634.05
-481.691,387.731,1632.51
-479.802,388.775,1629.81
-481.088,390.481,1626.4
-480.844,391.649,1622.1
-479.143,390.519,1617.95
-478.592,389.704,1613.8
-478.262,390.628,1611.4
-477.069,390.675,1607.41
-475.649,390.455,1604.34
-474.797,390.711,1601.4
-474.732,390.142,1599.08
-474.769,390.539,1596.5
-475.526,389.71,1595.86
-475.923,390.4,1596.18
-476.582,390.203,1597.24
-476.37,390.773,1596.34
-477.118,390.75,1595.26
-477.254,390.532,1595.92
-476.988,390.437,1596.49
-477.884,389.641,1597.32
-478.576,390.124,1599.33
-479.449,390.354,1600.62
-480.118,389.126,1601.4
-482.029,391.438,1602.98
-482.137,391.89,1604.93
-481.28,391,1607.86
-480.972,391.906,1610.99
-481.48,391.855,1614.26
-481.489,388.981,1617.01
-481.182,389.112,1619.98
-480.449,388.98,1622.46
-482.416,389.55,1624.6
-481.95,387.488,1624.28
-483.128,387.072,1625.31
-483.691,386.145,1625.68
-482.776,385.588,1624.53
-481.867,384.825,1624.06
-480.498,384.383,1621.15
-480.436,385.844,1620.02
-478.405,387.186,1616.87
-476.177,385.319,1613.24
-474.658,386.001,1610.48
-473.75,385.673,1607.45
-472.17,386.627,1605.33
-469.66,388.467,1603.8
-468.177,387.83,1603.11
-466.564,387.295,1600.74
-467.076,386.776,1598.04
-467.353,387.183,1593.65
-467.296,387.374,1590.01
-467.315,386.548,1583.12
-468.366,386.866,1580.2
-469.336,387.456,1579.85
-470.533,389.393,1576.38
-471.012,389.921,1576.6
-470.528,390.347,1575.02
-471.277,390.891,1575.28
-472.174,389.401,1575.32
-472.647,389.463,1574.35
-473.315,389.921,1577.16
-474.008,391.086,1579.12
-474.642,390.549,1581.09
-479.683,389.345,1595.11
-479.459,390.061,1599.32
-479.098,389.768,1602.44
-479.469,388.854,1605.2
-479.195,388.689,1607.98
-479.679,388.501,1611.21
-478.602,386.636,1612.03
-478.978,388.377,1612.89
-478.313,388.957,1612.6
-477.349,389.422,1612.3
-478.21,388.968,1613.28
-477.95,388.628,1612.14
-478.771,389.028,1612.12
-478.856,389.849,1611.57
-478.875,390.966,1611.39
-478.418,391.333,1610.55
-477.297,390.466,1609.57
-475.854,389.133,1610.1
-476.049,387.942,1610.17
-474.385,388.213,1610.2
-473.555,387.15,1608.42
-473.206,386.996,1608.52
-473.609,386.426,1609.51
-473.653,387.045,1608.65
-472.611,386.376,1607.15
-471.243,387.032,1606.65
-470.966,388.371,1607.91
-470.198,388.454,1607.2
-469.824,387.639,1606.75
-470.685,386.209,1606.07
-470.247,385.666,1605.8
-469.345,387.966,1607.2
-470.182,388.48,1608.04
-469.717,388.355,1607.58
-469.507,387.857,1605.41
-469.082,387.08,1604.76
-469.243,387.032,1604.82
-469.167,386.02,1606.16
-468.05,385.767,1604.36
-468.356,386.242,1604.27
-468.693,385.835,1605.38
-469.896,385.637,1605.02
-470.016,388.416,1605.93
-470.509,389.191,1606.36
-470.803,389.733,1606.48
-470.451,389.786,1606.5
-470.624,389.819,1607.76
-471.21,389.525,1608.57
-470.925,388.937,1609
-471.65,389.395,1609.51
-471.724,387.773,1608.36
-471.915,386.93,1608.87
-471.625,386.516,1607.85
-471.72,384.946,1607.42
-471.408,385.623,1607.18
-471.946,386.317,1607.4
-473.022,387.48,1608.32
-472.802,387.148,1608.49
-472.862,388.182,1608.45
-472.894,387.843,1609.84
-473.113,387.949,1610
-473.424,388.051,1609.3
-472.786,387.359,1607.94
-473.675,388.985,1608.89
-473.993,388.25,1609
-473.063,388.511,1608.34
-472.69,388.215,1609.74
-471.861,387.349,1609.12
-471.468,386.94,1608.01
-470.8,386.457,1608.51
-469.476,385.914,1606.19
-467.558,386.607,1602.53
-465.201,386.122,1597.28
-462.914,385.941,1589.9
-460.983,381.3,1574.59
-458.311,377.894,1552.28
-455.042,373.38,1522.58
-448.404,372.682,1484.77
-440.982,376.723,1452.09
