x,y,z
-537.538,278.515,1916.99
-504.917,259.93,1926.08
-507.291,257.876,1911.94
-509.658,252.422,1905.43
-509.836,250.21,1899.22
-512.416,251.1,1891.11
-513.188,251.565,1885.59
-514.087,252.286,1883.8
-514.045,253.642,1881.9
-513.024,253.82,1883.45
-513.511,253.906,1882.73
-514.25,259.448,1881.86
-515.117,262.728,1881.94
-517.041,264.425,1881.72
-518.521,266.711,1880.86
-519.768,266.354,1880.43
-520.874,266.684,1879.73
-520.938,266.841,1880.37
-520.97,266.418,1879.18
-520.99,265.207,1879.09
-520.489,266.607,1877.05
-520.242,266.298,1875.53
-519.119,265.649,1873.77
-519.062,264.823,1872.38
-518.959,264.943,1872.23
-519.457,265.983,1872.13
-521.35,274.5,1868.4
-533.976,282.685,1859.93
-549.536,280.185,1853.26
-558.773,280.093,1850.14
-568.267,276.839,1842.46
-581.201,278.892,1837.04
-595.379,279.29,1832.51
-614.194,304.264,1831.25
-623.247,305.251,1819.28
-627.505,293.552,1812.32
-633.863,292.813,1803.4
-634.61,289.82,1783.95
-636.28,277.988,1778.36
-632.161,293.93,1781.9
-625.972,301.467,1771.49
-616.385,311.711,1754.97
-602.105,332.382,1746.99
-589.379,328.392,1744.22
-571.934,316.278,1750.44
-558.913,300.676,1759.29
-540.158,293.058,1763.41
-519.369,276.979,1774.74
-496.975,271.626,1789.75
-479.065,270.241,1804.78
-460.99,263.848,1819.51
-452,264.411,1833.24
-446.5,265.702,1838.61
-446.75,263.327,1837.76
-447.868,263.161,1835.87
-449.454,263.567,1829.42
-451.228,261.283,1825.71
-452.607,258.644,1822.86
-455.296,261.825,1820.43
-457.146,264.413,1818.71
-457.581,265.203,1819.86
-457.794,265.601,1821.43
-460.401,265.798,1825.21
-463.195,266.901,1829.61
-466.591,266.453,1831.3
-468.797,267.225,1834.15
-471.901,269.112,1835.58
-473.446,270.557,1836.79
-473.225,270.28,1838.9
-473.108,270.143,1839.95
-473.548,271.073,1840.98
-474.78,271.534,1841.99
-473.393,265.264,1848.99
-470.692,259.624,1855.98
-468.335,260.295,1864.45
-466.127,257.169,1877.75
-402.772,258.221,1949.9
-401.823,255.07,1937.36
-404.429,249.512,1924.64
-406.725,249.729,1908.27
-408.863,252.86,1893.13
-409.942,255.423,1879.55
-410.473,255.71,1871.28
-410.732,255.857,1865.64
-411.863,262.432,1860.32
-413.427,267.716,1856.66
-414.71,270.858,1854.33
-414.874,270.822,1851.58
-414.438,272.912,1851.29
-415.035,275.539,1848.44
-415.016,276.768,1848.22
-411.509,271.385,1848.11
-409.753,266.695,1849.06
-408.879,263.347,1848.03
-407.938,261.174,1849.01
-406.972,259.586,1849
-405.986,258.294,1849.01
-404.984,257.641,1849.5
-405.489,257.321,1850.25
-404.749,256.659,1851.13
-404.371,256.326,1851.06
-404.685,256.163,1851.53
-404.847,256.579,1850.27
-404.924,257.791,1850.64
-402.964,256.394,1850.82
-400.001,261.188,1850.4
-398.494,263.592,1846.19
-392.709,266.814,1839.62
-385.337,264.413,1830.31
-375.666,260.693,1823.11
-370.311,256.353,1814.56
-363.038,254.724,1809.3
-355.48,254.877,1796.66
-350.269,253.422,1784.31
-345.068,250.237,1772.16
-342.547,246.107,1761.06
-338.3,241.037,1753
-337.146,237.519,1749.01
-335.571,237.757,1745.5
-335.282,236.374,1745.25
-335.135,237.688,1745.62
-340.077,234.339,1747.82
-343.04,234.669,1753.91
-346.519,235.838,1759.47
-349.218,238.439,1769.74
-358.087,238.227,1780.86
-365.999,245.633,1792.93
-377.529,248.291,1807.93
-388.131,254.698,1818.47
-395.035,256.844,1827.69
-403.392,256.955,1834.82
-411.651,263.978,1841.88
-418.776,271.987,1846.4
-421.054,268.955,1848.49
-424.484,268.472,1852.21
-426.73,268.236,1855.1
-429.862,265.118,1854.05
-435.155,266.92,1855.01
-438.402,268.502,1852.35
-440.318,267.308,1850.72
-441.155,266.293,1849.61
-441.42,265.679,1848.46
-440.073,265.901,1848.74
-438.72,266.245,1850.73
-437.857,266.411,1851.19
-437.098,267.67,1851.54
-436.861,267.323,1850.38
-436.615,266.78,1849.16
-435.8,266.414,1845.49
-432.487,268.218,1842.53
-426.258,289.29,1836.74
-417.606,278.156,1832.39
-407.752,268.598,1827.22
-400.324,260.307,1820.6
-391.591,253.677,1811.81
-382.254,251.345,1801.39
-373.086,248.188,1789.2
-364.512,243.1,1780.09
-356.175,239.08,1768.55
-348.075,235.54,1757.26
-339.007,231.282,1742.64
-333.998,228.14,1729.8
-331.007,224.563,1720.89
-325.502,222.281,1718.94
-323.248,221.136,1718.47
-324.622,222.068,1715.24
-328.803,223.038,1719.12
-332.416,225.011,1725.06
-338.266,226.972,1731.5
-345.144,227.476,1741.23
-353.563,231.737,1752.1
-363.163,239.085,1769.99
