x,y,z
-622.479,260.464,1632.18
-596.527,256.278,1661.03
-593.279,253.515,1653.08
-591.909,252.03,1642.67
-592.672,250.886,1634.04
-592.263,249.761,1628.87
-590.44,250.694,1625.47
-590.591,250.824,1621.95
-590.771,249.736,1619.87
-591.114,249.385,1618.26
-591.757,248.778,1617.07
-591.775,248.408,1616.62
-590.92,247.85,1616.95
-590.972,246.403,1613.56
-590.368,248.3,1615.2
-591.65,248.545,1614.61
-590.034,246.613,1616.72
-589.881,246.275,1616.83
-590.872,246.714,1617.51
-591.064,246.813,1617.17
-591.776,246.28,1616.44
-592.809,246.708,1616.11
-595.172,247.501,1615.54
-595.88,247.651,1616.47
-599.368,246.515,1614.8
-603.428,246.713,1612.91
-608.254,245.155,1611.17
-618.5,240.634,1601.6
-623.467,237.446,1588.48
-624.978,235.8,1581.23
-628.935,232.607,1570.7
-634.288,231.59,1560.32
-639.578,229.171,1549.58
-644.491,228.796,1535.52
-648.951,225.663,1521.47
-652.475,222.887,1503.45
-652.429,222.198,1489.5
-652.129,223.107,1481.16
-652.031,222.402,1474.71
-652.412,220.025,1463.89
-651.96,219.689,1460.02
-651.726,221.949,1460
-653.147,224.681,1462.15
-652.993,230.162,1468.67
-652.478,236.034,1482.32
-649.06,238.987,1497.54
-641.162,241.978,1521.26
-631.5,244.933,1549.48
-621.165,248.578,1577.61
-612.461,253.005,1601.35
-599.977,249.706,1619.02
-593.345,250.226,1629.67
-589.23,250.115,1634.08
-584.889,247.834,1635.78
-582.743,245.94,1634.31
-584.216,244.883,1630.5
-586.272,243.301,1625.52
-587.492,242.095,1622.61
-588.709,242.83,1619.68
-588.254,244.194,1617.75
-588.7,244.688,1616.57
-589.337,244.783,1615.37
-589.758,244.561,1613.35
-588.885,244.642,1613.3
-587.81,244.455,1614.47
-586.365,243.446,1615.58
-586.357,243.877,1616.09
-585.606,245.2,1618.2
-585.044,244.906,1619.06
-585.852,245.242,1619.14
-583.396,245.233,1621.64
-583.066,244.377,1623.23
-581.546,243.084,1625.78
-578.986,244.661,1629.49
-575.492,247.53,1634.45
-568.007,246.416,1641.67
-516.66,259.052,1713.28
-513.96,255.993,1704.28
-514.103,255.672,1690.38
-513.552,255.38,1675.53
-513.251,255.966,1661.37
-512.797,255.482,1649.66
-513.428,255.169,1639.62
-514.766,256.471,1631.38
-516.591,253.891,1624.7
-517.228,253.523,1619.91
-517.104,253.124,1617.51
-517.22,253.351,1616.46
-517.916,251.661,1614.46
-518.292,253.565,1613.75
-517.481,253.672,1613.15
-516.538,254.31,1613.63
-517.536,254.818,1613.34
-518.183,255.568,1613.81
-517.761,256.126,1615.29
-516.897,254.757,1615.8
-516.896,254.51,1616.17
-516.368,254.234,1616.38
-514.309,253.252,1617.87
-513.847,254.603,1618.43
-513.341,254.139,1618.06
-512.384,253.053,1617.81
-512.205,253.725,1617.62
-513.26,252.89,1617.07
-513.396,251.673,1617.47
-512.939,251.334,1618.24
-513.556,253.1,1620.42
-515.234,253.611,1623.25
-516.78,254.757,1627.21
-516.921,256.535,1632.11
-517.328,257.007,1637.04
-518.709,254.522,1640.13
-520.708,253.216,1642.5
-522.859,253.494,1643.72
-522.778,250.821,1644.57
-521.501,250.15,1645.25
-521.058,249.323,1644.73
-520.804,247.793,1644.56
-521.098,249.514,1644.4
-520.935,248.368,1644.6
-520.347,248.047,1644.93
-519.906,248.881,1645
-518.541,249.32,1644.88
-516.574,247.148,1644.06
-515.147,245.432,1641.01
-513.958,246.162,1638.68
-512.094,247.092,1636.7
-510.914,247.783,1633.73
-508.619,247.922,1629.65
-507.416,249.099,1626.48
-510.028,251.298,1618.9
-510.922,252.771,1613.1
-510.505,252.033,1607.29
-509.605,251.309,1601.06
-510.06,252.501,1597.61
-509.159,252.675,1592.93
-507.989,252.517,1589.76
-507.935,252.902,1587.4
-508.67,252.591,1584.48
-508.977,253.098,1581.46
-509.709,252.359,1579.97
-510.04,253.167,1579.19
-510.288,253.019,1579.09
-509.972,253.585,1578
-510.942,253.643,1576.71
-510.496,253.319,1577.09
-510.317,253.192,1578.06
-510.861,252.34,1578.66
-511.887,252.822,1581.29
-513.237,253.108,1583.05
-514.638,251.949,1584.77
-517.081,254.302,1587.15
-517.865,254.678,1591.67
-516.398,253.476,1596.28
-516.076,254.181,1602.34
-515.888,253.869,1606.83
-515.664,250.869,1610.75
-514.492,250.743,1614.75
-513.09,250.397,1620.16
-514.209,250.745,1622.76
-513.398,248.588,1623.48
-513.58,247.944,1624.77
-512.933,246.771,1623.95
-511.499,246.099,1622.91
-508.924,245.005,1622.8
-507.265,244.501,1621.29
-506.659,245.857,1619.4
-504.803,247.226,1616.83
-503.084,245.466,1614.48
-501.941,246.222,1612.22
-501.169,245.916,1609.11
-499.599,246.866,1605.99
-496.982,248.683,1603.63
-494.504,247.879,1601.24
-493.191,247.421,1597.61
-494.743,247.194,1592.57
-496.241,247.951,1586.11
-497.99,248.619,1580.99
-499.315,248.234,1572.11
-501.212,248.882,1567.56
-502.714,249.798,1565.2
-504.369,252.351,1557.5
-504.642,253.086,1555.94
-504.693,253.752,1553.62
-505.271,254.387,1553.01
-506.253,252.995,1552.57
-508.036,253.266,1552.38
-508.932,253.675,1555.83
-509.875,254.84,1558.21
-510.799,254.343,1560.42
-518.481,252.905,1582.53
-517.601,253.341,1587.71
-516.904,252.831,1592.38
-517.328,251.788,1597.56
-516.362,251.393,1600.85
-516.309,251.035,1604.44
-515.417,249.144,1607.29
-515.82,250.857,1609.06
-515.31,251.45,1609.93
-514.735,252.002,1610.66
-515.405,251.503,1610.92
-515.172,251.158,1610.62
-515.811,251.512,1610.21
-515.877,252.326,1609.65
-516.171,253.51,1610.17
-515.7,253.87,1610.28
-514.151,252.886,1609.53
-511.921,251.346,1609.74
-511.616,250.023,1610.06
-509.122,250.085,1609.91
-508.102,248.981,1609.43
-507.267,248.703,1608.53
-507.052,247.985,1608.61
-507.001,248.576,1608.56
-506.224,247.986,1608.65
-504.794,248.63,1608.77
-503.768,249.781,1608.49
-503.157,249.896,1608.04
-503.385,249.239,1608.71
-503.819,247.695,1607.02
-503.395,247.15,1606.51
-501.903,249.313,1606.72
-502.001,249.668,1606.33
-501.37,249.504,1605.53
-501.788,249.145,1605.1
-501.804,248.472,1605.59
-501.791,248.375,1605.29
-501.176,247.241,1605.41
-500.767,247.163,1605.35
-500.971,247.604,1604.83
-500.988,247.117,1605.28
-502.062,246.886,1604.88
-502.074,249.64,1605.48
-502.441,250.386,1605.61
-502.753,250.933,1605.48
-502.791,251.075,1605.9
-502.81,251.08,1606.28
-503.067,250.736,1605.78
-502.931,250.182,1606.03
-503.33,250.602,1605.29
-503.981,249.085,1605.23
-504.179,248.25,1605.32
-504.972,248.071,1606.33
-505.382,246.562,1606.59
-504.969,247.207,1607
-505.466,247.888,1607.5
-506.246,248.985,1607.37
-505.946,248.635,1607.08
-506.049,249.675,1607.58
-505.554,249.227,1607.8
-505.287,249.231,1607.2
-505.952,249.4,1608.18
-506.026,248.876,1608.36
-506.794,250.465,1608.81
-506.949,249.69,1608.17
-506.53,250.073,1608.57
-505.969,249.734,1608.96
-505.141,248.863,1608.33
-505.17,248.559,1608.47
-504.153,247.99,1608.34
-503.872,247.738,1608.32
-503.272,248.871,1607.66
-501.768,248.684,1604.31
-499.949,248.739,1598.93
