x,y,z
0.386436,0.892487,-0.232665
0.402492,0.829094,-0.388076
0.41613,0.809775,-0.413643
0.409308,0.791005,-0.454729
0.399134,0.788864,-0.467318
0.392875,0.789219,-0.471998
0.386872,0.782649,-0.487638
0.392411,0.773949,-0.497008
0.384843,0.770606,-0.507999
0.374551,0.762078,-0.528155
0.378878,0.743681,-0.550809
0.383866,0.729605,-0.565971
0.386214,0.734066,-0.558556
0.386205,0.758269,-0.525237
0.40442,0.755891,-0.514853
0.419248,0.740951,-0.524617
0.41573,0.749848,-0.514681
0.416674,0.76007,-0.498675
0.421954,0.763233,-0.489316
0.399617,0.783305,-0.476172
0.398156,0.784172,-0.475969
0.392033,0.795031,-0.462856
0.386962,0.803621,-0.452166
0.375898,0.809426,-0.451143
0.381445,0.805014,-0.45437
0.367389,0.821212,-0.436619
0.367582,0.839388,-0.400389
0.384073,0.849671,-0.361312
0.396916,0.856532,-0.329865
0.416082,0.847979,-0.32834
0.445454,0.843213,-0.300936
0.477154,0.828747,-0.292408
0.500505,0.83611,-0.224534
0.517193,0.838179,-0.173112
0.51866,0.849191,-0.09933
0.526775,0.849627,-0.0253397
0.520438,0.853892,-0.00364543
0.518742,0.85485,-0.011814
0.522473,0.852562,0.01266
0.517676,0.855524,0.00946356
0.511793,0.858733,-0.0254053
0.517207,0.851883,-0.082413
0.476926,0.866663,-0.14641
0.448981,0.862697,-0.232743
0.417253,0.86723,-0.271684
0.39661,0.864368,-0.30914
0.388472,0.85073,-0.354046
0.362238,0.850073,-0.382307
0.360201,0.83597,-0.414016
0.370491,0.830339,-0.416261
0.388476,0.817821,-0.424565
0.410348,0.791139,-0.453556
0.396132,0.780736,-0.483249
0.353698,0.732712,-0.581405
0.296817,0.823487,-0.483497
0.258233,0.80117,-0.539854
0.254466,0.777274,-0.575406
0.262295,0.755643,-0.600171
0.278923,0.73068,-0.623144
0.310778,0.697809,-0.645352
0.316741,0.690382,-0.650422
0.326854,0.701205,-0.633623
0.329084,0.711044,-0.621386
0.325818,0.724659,-0.607217
0.330222,0.745131,-0.579425
0.336503,0.749474,-0.570135
0.341034,0.754128,-0.561237
0.345686,0.746628,-0.568373
0.337733,0.739898,-0.581797
0.346317,0.74665,-0.56796
0.334661,0.762948,-0.553094
0.342199,0.757493,-0.555971
0.35456,0.754901,-0.551736
0.369781,0.741664,-0.559639
0.355538,0.757548,-0.547462
0.36272,0.78379,-0.50409
0.44884,0.799089,-0.399999
0.408809,0.849819,-0.332691
0.408268,0.828342,-0.383622
0.37225,0.861199,-0.346073
0.378277,0.838503,-0.392199
0.391646,0.811718,-0.433275
0.391701,0.802998,-0.449182
0.402151,0.788779,-0.464869
0.394977,0.797684,-0.455734
0.40126,0.804966,-0.437058
0.404063,0.810892,-0.423304
0.402818,0.817457,-0.411706
0.400304,0.821189,-0.4067
0.403707,0.826781,-0.391733
0.421165,0.810562,-0.406951
0.421561,0.805224,-0.417014
0.403693,0.803243,-0.437987
0.401938,0.81462,-0.418139
0.391281,0.826704,-0.404302
0.401373,0.822352,-0.403282
0.386453,0.83174,-0.398576
0.360632,0.832981,-0.419627
0.341689,0.830705,-0.43952
0.340034,0.833104,-0.436251
0.356422,0.886849,-0.294046
0.330587,0.870453,-0.364725
0.327858,0.835851,-0.440299
0.337056,0.811576,-0.477218
0.317699,0.79276,-0.520192
0.283531,0.77988,-0.55803
0.291272,0.797564,-0.528253
0.28412,0.791271,-0.541448
0.362746,0.751342,-0.551272
0.354301,0.733011,-0.580659
0.311838,0.733593,-0.60382
0.297563,0.754435,-0.585051
0.257745,0.716623,-0.648089
0.274154,0.651334,-0.707533
0.236169,0.636709,-0.734048
0.214559,0.598688,-0.77171
0.187156,0.570319,-0.799818
0.180547,0.546025,-0.818083
0.185207,0.539997,-0.821037
0.184145,0.474273,-0.860904
0.213416,0.459998,-0.861891
0.232387,0.459588,-0.85719
0.274887,0.508439,-0.816044
0.29008,0.435474,-0.852183
0.320081,0.465058,-0.82539
0.357937,0.557206,-0.749268
0.383636,0.6354,-0.670142
0.375442,0.690354,-0.618429
0.346691,0.721751,-0.599067
0.363662,0.724301,-0.58578
0.377303,0.753069,-0.539008
0.399611,0.778343,-0.484244
0.367236,0.807666,-0.461317
0.358319,0.817633,-0.450648
0.37088,0.81577,-0.443811
0.391601,0.832798,-0.391275
0.40969,0.818975,-0.401789
0.414599,0.814999,-0.404826
0.422634,0.809455,-0.407631
0.42723,0.808591,-0.404543
0.421473,0.813151,-0.40143
0.412223,0.824523,-0.387601
0.41155,0.825618,-0.38598
0.415866,0.820173,-0.392901
0.414736,0.816846,-0.400944
0.408975,0.82387,-0.392399
0.408016,0.822405,-0.39645
0.407098,0.821143,-0.399994
0.403945,0.821573,-0.402301
0.391741,0.813227,-0.430349
0.369251,0.823235,-0.431205
0.329926,0.839067,-0.432569
0.316094,0.827223,-0.464528
0.309165,0.786558,-0.53455
0.265818,0.742348,-0.615029
0.270925,0.724112,-0.634241
0.2568,0.706092,-0.659915
0.244992,0.657889,-0.712152
0.264425,0.60232,-0.753186
0.2645,0.58977,-0.763028
0.25477,0.66056,-0.706224
0.245378,0.726767,-0.64156
0.232587,0.593337,-0.77062
0.215163,0.513687,-0.83056
0.214549,0.402666,-0.889848
0.256273,0.285022,-0.923627
0.263585,0.336666,-0.90398
0.303725,0.397964,-0.865665
0.302119,0.569815,-0.764222
0.298314,0.614701,-0.730172
0.304192,0.620746,-0.722593
0.326392,0.68466,-0.651697
0.327659,0.720554,-0.611099
0.344014,0.75804,-0.554103
0.346888,0.798609,-0.491826
0.33296,0.825678,-0.455405
0.320313,0.852468,-0.413155
0.339071,0.87379,-0.3486
0.373225,0.885859,-0.275601
0.387158,0.894344,-0.224181
0.388237,0.89756,-0.208945
0.375452,0.905072,-0.199699
0.376805,0.908695,-0.179696
0.37608,0.904958,-0.199035
0.376814,0.899153,-0.222566
0.373118,0.895676,-0.241964
0.370454,0.879382,-0.299084
0.385119,0.839057,-0.384274
0.385383,0.834182,-0.394488
0.347443,0.848138,-0.399931
0.236915,0.756537,-0.609527
0.218777,0.743018,-0.632504
0.227332,0.73406,-0.639903
0.227082,0.706376,-0.670422
0.236068,0.672864,-0.701089
0.241431,0.639401,-0.729984
0.249647,0.619793,-0.743999
0.247921,0.62345,-0.741516
0.2433,0.621803,-0.744423
0.241095,0.619298,-0.747224
0.250788,0.595657,-0.763085
0.254182,0.593631,-0.76354
0.252039,0.59457,-0.76352
0.249552,0.598304,-0.761417
0.25037,0.595541,-0.763312
0.257132,0.591581,-0.764144
0.250895,0.599936,-0.75969
0.249814,0.611532,-0.750747
0.248145,0.60981,-0.752699
0.238274,0.625604,-0.742863
0.235359,0.622508,-0.746384
0.259645,0.619194,-0.741069
0.252806,0.624444,-0.739026
0.241713,0.61693,-0.748981
0.23919,0.608288,-0.756818
0.237267,0.612783,-0.753792
0.233044,0.610448,-0.756996
0.228743,0.606468,-0.761494
0.228927,0.598641,-0.767607
0.207005,0.609651,-0.765163
0.219931,0.61715,-0.755484
0.217342,0.623312,-0.751162
0.208083,0.618455,-0.75777
0.203985,0.617133,-0.759958
0.206445,0.615214,-0.76085
0.207506,0.618328,-0.758032
0.214946,0.615087,-0.758595
0.221318,0.609844,-0.760991
0.21743,0.610473,-0.761608
0.218923,0.609502,-0.761958
0.229364,0.60674,-0.761091
0.225893,0.612595,-0.75743
0.221421,0.620256,-0.752499
0.223886,0.611361,-0.759021
0.214991,0.607044,-0.765034
0.214667,0.612037,-0.761136
0.221156,0.614843,-0.757006
0.217667,0.616644,-0.756553
0.214616,0.623287,-0.751966
0.220588,0.624673,-0.749083
0.224556,0.624789,-0.747806
0.223432,0.626498,-0.746712
0.220835,0.631472,-0.743287
0.226471,0.624391,-0.747561
0.227248,0.617466,-0.753056
0.221653,0.610693,-0.760213
0.227912,0.615145,-0.754753
0.231137,0.625042,-0.745586
0.236234,0.623918,-0.744929
0.235079,0.621876,-0.747
0.22972,0.619104,-0.750959
0.23329,0.628569,-0.741942
0.233735,0.620834,-0.748287
0.236494,0.618733,-0.749159
0.221818,0.6235,-0.749696
0.232573,0.61651,-0.752214
0.241207,0.618967,-0.747462
0.24823,0.614301,-0.74901
0.243619,0.610016,-0.75401
0.219045,0.601421,-0.768317
0.214026,0.607418,-0.765007
0.191932,0.625206,-0.756491
0.16458,0.620396,-0.766826
0.172399,0.616113,-0.768559
0.154709,0.655007,-0.739615
0.169996,0.546391,-0.820097
0.165045,0.535907,-0.827988
0.272409,0.280697,-0.920327
0.226436,0.33388,-0.915014
