x,y,z
-0.940954,0.047948,0.335121
-0.909535,0.0308975,0.414477
-0.925154,0.0263418,0.378676
-0.934819,0.0219152,0.354447
-0.942308,0.0187119,0.334225
-0.946302,0.014197,0.322973
-0.947572,0.0113964,0.31934
-0.946978,0.0103794,0.32113
-0.945026,0.00944726,0.326858
-0.942067,0.000846974,0.335425
-0.939523,-0.00338835,0.342469
-0.938434,-0.00434656,0.345432
-0.939251,-0.00692381,0.343162
-0.938083,-0.0106834,0.346245
-0.942456,-0.0126348,0.334093
-0.948049,-0.0141323,0.31781
-0.950205,-0.0144901,0.311288
-0.949028,-0.0142822,0.314869
-0.948151,-0.0141024,0.317507
-0.946727,-0.0139511,0.321735
-0.945834,-0.0130166,0.32439
-0.942496,-0.018453,0.333707
-0.938384,-0.021677,0.344914
-0.935522,-0.0245009,0.352419
-0.934878,-0.0308134,0.353629
-0.934204,-0.0381115,0.354696
-0.923636,-0.0453281,0.380582
-0.941059,-0.0927227,0.325285
-0.963732,-0.131084,0.232459
-0.974664,-0.14312,0.171892
-0.98468,-0.151624,0.0861157
-0.987714,-0.155676,0.0136336
-0.986322,-0.157477,-0.048681
-0.978907,-0.157979,-0.12955
-0.968665,-0.15502,-0.194055
-0.959986,-0.153459,-0.23426
-0.950442,-0.153766,-0.270213
-0.939608,-0.152059,-0.306618
-0.935452,-0.151141,-0.31951
-0.939961,-0.149141,-0.30697
-0.949257,-0.145219,-0.278969
-0.955739,-0.143059,-0.257095
-0.974218,-0.139518,-0.177299
-0.988996,-0.130097,-0.070435
-0.991841,-0.114122,0.0568073
-0.977888,-0.0942368,0.186692
-0.958984,-0.084803,0.270476
-0.928403,-0.0721718,0.364498
-0.884918,-0.0521292,0.46282
-0.82165,-0.0277412,0.569317
-0.771026,-0.0142094,0.636645
-0.744135,-0.0142406,0.667877
-0.740989,-0.031545,0.670776
-0.786756,-0.0755795,0.61262
-0.815425,-0.0978739,0.570529
-0.823921,-0.106438,0.55662
-0.823412,-0.110662,0.55655
-0.817736,-0.111981,0.564595
-0.842923,-0.118791,0.524756
-0.861012,-0.123069,0.49347
-0.869113,-0.125871,0.478329
-0.86322,-0.124702,0.489184
-0.864635,-0.125244,0.486539
-0.873509,-0.123681,0.470835
-0.874934,-0.122055,0.468608
-0.878863,-0.118068,0.462233
-0.885117,-0.114535,0.451054
-0.888046,-0.111116,0.446125
-0.892201,-0.108687,0.438365
-0.885297,-0.106396,0.452691
-0.881323,-0.104901,0.460723
-0.884332,-0.0998685,0.456052
-0.890765,-0.0921805,0.445017
-0.900984,-0.0761626,0.427116
-0.907445,-0.0557793,0.416452
-0.910784,-0.0358959,0.411319
-0.818088,0.0518313,0.572753
-0.81554,0.0337081,0.577718
-0.824784,0.015561,0.565234
-0.833424,0.0088137,0.552564
-0.841444,-0.00173205,0.540342
-0.845952,-0.015209,0.533043
-0.851065,-0.0272981,0.52435
-0.860997,-0.0367314,0.507282
-0.864533,-0.0400004,0.500981
-0.864212,-0.0441429,0.501187
-0.862284,-0.0448277,0.504437
-0.866104,-0.0473761,0.497613
-0.870278,-0.0470335,0.49031
-0.868306,-0.0478057,0.49372
-0.864726,-0.046963,0.500043
-0.859919,-0.044878,0.508454
-0.866572,-0.0444434,0.497069
-0.862465,-0.0489123,0.503747
-0.86202,-0.0470883,0.504682
-0.85232,-0.0463368,0.520964
-0.851348,-0.0432113,0.522818
-0.865748,-0.0487507,0.498101
-0.871404,-0.0456584,0.488436
-0.870777,-0.0470328,0.489424
-0.862694,-0.0488477,0.503362
-0.888198,-0.0512585,0.456593
-0.902078,-0.0621526,0.427075
-0.906671,-0.0682875,0.416274
-0.905048,-0.067248,0.419959
-0.906,-0.0667695,0.417979
-0.883651,-0.073255,0.46238
-0.869725,-0.0798015,0.487042
-0.825131,-0.126202,0.550664
