x,y,z
-0.189511,0.68897,0.699576
-0.107425,0.739638,0.664376
-0.126987,0.694231,0.708462
-0.128933,0.687492,0.714655
-0.143861,0.698476,0.701025
-0.134578,0.673613,0.726728
-0.151793,0.673592,0.723348
-0.150772,0.644477,0.749612
-0.10664,0.618317,0.778661
-0.141476,0.660514,0.737364
-0.135572,0.699894,0.701263
-0.144975,0.696733,0.702528
-0.13758,0.691101,0.709543
-0.169878,0.721868,0.670856
-0.165546,0.709509,0.684975
-0.0993059,0.66095,0.74383
-0.0413844,0.671131,0.740183
-0.12606,0.697472,0.705437
-0.178542,0.707291,0.684004
-0.167901,0.696991,0.697146
-0.148908,0.69506,0.703362
-0.11663,0.690694,0.71368
-0.146428,0.680846,0.71764
-0.104442,0.669175,0.735729
-0.138736,0.711518,0.688835
-0.158051,0.712664,0.683469
-0.18945,0.704641,0.683805
-0.208675,0.683066,0.699911
-0.263764,0.649782,0.712889
-0.287167,0.661382,0.692899
-0.295297,0.639254,0.710038
-0.283599,0.591485,0.754796
-0.315504,0.595155,0.739085
-0.364163,0.677144,0.639423
-0.374817,0.732792,0.567915
-0.403413,0.75211,0.521141
-0.411647,0.752074,0.514715
-0.40572,0.758246,0.510347
-0.410092,0.765136,0.496379
-0.418599,0.756026,0.50319
-0.408268,0.741773,0.532061
-0.406905,0.755318,0.513735
-0.381627,0.752333,0.536988
-0.320099,0.727126,0.60731
-0.300121,0.687858,0.660892
-0.276154,0.665881,0.693067
-0.257872,0.692541,0.673713
-0.120775,0.806827,0.578311
0.00953773,0.899304,0.43722
0.0897465,0.94095,0.326433
0.14097,0.955805,0.258
0.19058,0.957921,0.214631
0.0809941,0.855452,0.51151
-0.00662736,0.796539,0.604551
-0.0791664,0.772284,0.630326
-0.106065,0.761607,0.6393
-0.106697,0.771116,0.627691
-0.0991184,0.794523,0.59909
-0.110508,0.778661,0.617637
-0.0938334,0.773238,0.627135
-0.107513,0.77346,0.624661
-0.103752,0.767694,0.632362
-0.116207,0.771659,0.62533
-0.100437,0.761715,0.64008
-0.101686,0.74461,0.659709
-0.108379,0.755302,0.646353
-0.100014,0.761536,0.640359
-0.118914,0.774087,0.62181
-0.123461,0.761953,0.635755
-0.121952,0.762558,0.635321
-0.108623,0.771641,0.626714
-0.0940768,0.786214,0.610751
-0.102536,0.757452,0.644789
-0.102541,0.749848,0.653615
-0.10506,0.736715,0.667992
-0.124421,0.726274,0.676052
-0.108868,0.804661,0.583668
-0.126294,0.797258,0.590279
-0.117592,0.768499,0.628952
-0.116048,0.756707,0.643371
-0.109146,0.745602,0.657392
-0.122669,0.73568,0.666128
-0.113914,0.735058,0.668366
-0.106862,0.74683,0.656373
-0.12733,0.752678,0.645959
-0.140573,0.756252,0.639001
-0.150069,0.752975,0.640708
-0.150277,0.760048,0.632254
-0.163656,0.758384,0.630929
-0.167203,0.756081,0.63276
-0.149793,0.769089,0.62134
-0.156066,0.770545,0.617983
-0.149803,0.768984,0.621468
-0.158863,0.771982,0.615473
-0.14207,0.770357,0.621584
-0.148561,0.770137,0.620337
-0.146057,0.773696,0.616491
-0.144159,0.775256,0.614977
-0.150146,0.778162,0.609852
-0.133511,0.763311,0.632085
-0.136241,0.766376,0.627779
-0.147359,0.768993,0.622041
-0.145505,0.76139,0.631754
-0.149951,0.761327,0.630789
-0.138913,0.759676,0.635291
-0.153822,0.753913,0.638713
-0.145907,0.756058,0.638034
-0.135486,0.763157,0.63185
-0.125037,0.769323,0.626504
-0.0928347,0.784887,0.612645
-0.0924994,0.795025,0.599482
-0.0973425,0.795629,0.597913
-0.106608,0.799632,0.590951
-0.0940991,0.805821,0.584635
-0.0709596,0.80101,0.59443
-0.0594174,0.801124,0.595542
-0.0394328,0.813776,0.579839
-0.0294733,0.816684,0.576332
-0.0251854,0.820312,0.571361
-0.0215122,0.830835,0.556103
-0.0225903,0.83666,0.547257
-0.0275781,0.830833,0.555839
-0.040222,0.830035,0.556259
-0.0497668,0.821502,0.568029
-0.0490655,0.820896,0.568966
-0.0741885,0.807866,0.584678
-0.0940453,0.793825,0.60083
-0.129149,0.774095,0.619756
-0.13465,0.763523,0.631586
-0.154825,0.757408,0.63432
-0.176945,0.744713,0.6435
-0.165124,0.728571,0.66477
-0.198049,0.714918,0.670573
-0.209027,0.717731,0.664207
-0.205047,0.718435,0.664685
-0.22423,0.73841,0.635981
-0.221996,0.735634,0.63997
-0.216441,0.734955,0.642646
-0.218254,0.727417,0.650561
-0.219991,0.732253,0.644523
-0.189675,0.741933,0.643086
-0.219781,0.741606,0.633812
-0.227328,0.749544,0.621696
-0.243035,0.742201,0.624557
