x,y,z
0.398554,0.894113,-0.204246
0.383741,0.893708,-0.232439
0.398617,0.893723,-0.205824
0.399786,0.895666,-0.194816
0.403947,0.896367,-0.182625
0.402088,0.898335,-0.176972
0.401009,0.89964,-0.172743
0.401406,0.900263,-0.168526
0.397656,0.902766,-0.163962
0.379798,0.910681,-0.162524
0.375122,0.912437,-0.163532
0.371748,0.912646,-0.169944
0.369424,0.913643,-0.169657
0.36689,0.915283,-0.166277
0.369748,0.916263,-0.154105
0.371432,0.916893,-0.146102
0.370446,0.916897,-0.148556
0.369596,0.916774,-0.151408
0.370237,0.916784,-0.149773
0.37019,0.916764,-0.150008
0.371389,0.916451,-0.148958
0.365818,0.918647,-0.149214
0.359735,0.919815,-0.156623
0.351861,0.92053,-0.169762
0.344056,0.922719,-0.173825
0.33761,0.925507,-0.171627
0.327659,0.926442,-0.185324
0.30198,0.940756,-0.154229
0.283858,0.953424,-0.102011
0.283818,0.956102,-0.0729167
0.282178,0.958519,-0.0402263
0.278215,0.960321,-0.0194721
0.28596,0.958241,0.000128045
0.284431,0.958485,0.0201624
0.293314,0.95525,0.0382824
0.283233,0.957918,0.0465957
0.287434,0.956413,0.051533
0.285218,0.956536,0.0607419
0.284185,0.956406,0.0672859
0.283292,0.95657,0.0686986
0.281471,0.957562,0.0620425
0.282557,0.957671,0.055035
0.285355,0.958112,0.0243678
0.294701,0.955277,-0.0244491
0.295153,0.95186,-0.0827477
0.28932,0.948282,-0.130596
0.275959,0.946942,-0.164765
0.254861,0.945408,-0.203099
0.230936,0.939468,-0.253116
0.207394,0.928969,-0.306602
0.207566,0.914445,-0.34743
0.21123,0.911125,-0.353883
0.213276,0.918252,-0.333656
0.207576,0.941149,-0.26674
0.237865,0.93987,-0.24508
0.256618,0.936848,-0.237618
0.260118,0.937937,-0.229372
0.25876,0.939014,-0.226486
0.261534,0.94561,-0.193448
0.269635,0.946778,-0.175809
0.270996,0.947762,-0.168251
0.267627,0.947429,-0.17537
0.266077,0.948081,-0.1742
0.270712,0.947249,-0.171566
0.276291,0.945737,-0.171012
0.278673,0.944442,-0.174273
0.283308,0.943702,-0.170776
0.286893,0.941966,-0.174334
0.287582,0.941752,-0.174354
0.288109,0.940426,-0.180535
0.287913,0.94051,-0.180409
0.287687,0.939241,-0.187251
0.293057,0.935978,-0.195097
0.303071,0.929506,-0.210156
0.315395,0.922317,-0.223287
0.326633,0.916861,-0.229515
0.296279,0.873469,-0.386356
0.290592,0.883972,-0.366265
0.291397,0.89391,-0.340608
0.294466,0.897498,-0.328311
0.298518,0.903456,-0.307658
0.297665,0.910276,-0.287737
0.297374,0.916135,-0.268824
0.298717,0.920363,-0.252387
0.304491,0.922495,-0.23725
0.30538,0.924511,-0.228086
0.303571,0.924727,-0.229617
0.301694,0.925517,-0.228907
0.300585,0.925003,-0.232419
0.29991,0.925403,-0.231696
0.298196,0.925001,-0.235483
0.291608,0.923418,-0.249528
0.293319,0.922974,-0.249165
0.292328,0.925316,-0.241525
0.295396,0.924876,-0.239469
0.291763,0.924634,-0.244799
0.293371,0.923439,-0.247372
0.30015,0.926008,-0.228953
0.303258,0.92469,-0.230182
0.300404,0.924999,-0.232668
0.29834,0.926017,-0.231269
0.307703,0.926863,-0.215043
0.30886,0.9315,-0.192128
0.311524,0.934184,-0.173934
0.312433,0.933784,-0.17445
0.313792,0.933599,-0.172993
0.300172,0.935916,-0.184278
0.292867,0.93852,-0.182783
0.279143,0.937955,-0.205715
0.245925,0.949984,-0.192487
0.23169,0.953421,-0.193154
0.210149,0.961031,-0.179601
0.201375,0.962286,-0.182905
0.176768,0.966269,-0.18729
0.164755,0.967698,-0.190829
0.159454,0.967354,-0.196977
0.149523,0.970777,-0.18771
0.137287,0.971952,-0.190947
0.129289,0.974463,-0.183594
0.122833,0.976248,-0.178472
0.117803,0.977199,-0.176646
0.113449,0.97954,-0.166223
0.0900338,0.974141,-0.207228
0.10466,0.969005,-0.223778
0.121681,0.966172,-0.22739
0.13358,0.96467,-0.227086
0.163195,0.960544,-0.225215
0.188806,0.957738,-0.217005
0.23122,0.953654,-0.192564
0.255564,0.950981,-0.17413
0.277545,0.947863,-0.156603
0.288759,0.94567,-0.149421
0.309901,0.941871,-0.129768
0.318714,0.942717,-0.0985197
0.326189,0.942189,-0.0766892
0.334512,0.939013,-0.0797233
0.350663,0.934757,-0.0571467
0.34927,0.9354,-0.0551105
0.351745,0.934646,-0.0520736
0.353366,0.934268,-0.0477077
0.357078,0.932997,-0.0448479
0.357795,0.933213,-0.0330972
0.355911,0.933327,-0.0472099
0.354619,0.933699,-0.0495085
0.353832,0.933705,-0.0547586
0.355204,0.932928,-0.0589504
0.356308,0.932082,-0.0653213
0.354084,0.931415,-0.0842003
0.360255,0.929915,-0.0739843
0.362791,0.929427,-0.0674441
0.35306,0.931442,-0.088122
0.341695,0.933365,-0.109884
0.323808,0.938815,-0.117362
0.318446,0.939995,-0.122479
0.302224,0.945297,-0.12278
0.274672,0.951809,-0.136434
0.25045,0.956179,-0.151648
0.224011,0.96258,-0.152508
0.186073,0.967361,-0.172018
0.161448,0.969118,-0.186401
0.13664,0.97608,-0.169107
0.121763,0.980336,-0.155294
0.111309,0.981517,-0.155672
0.104701,0.981288,-0.161591
0.0959576,0.981752,-0.164181
0.079571,0.983773,-0.160809
0.0810914,0.983978,-0.158784
0.0855252,0.983926,-0.156764
0.0990446,0.978687,-0.179894
0.12,0.972699,-0.198639
0.137161,0.968368,-0.208446
0.17064,0.95774,-0.231551
0.208671,0.952417,-0.222166
0.238689,0.947852,-0.211198
0.262321,0.941895,-0.209811
0.290837,0.939811,-0.179357
0.30722,0.935867,-0.172537
0.323057,0.933327,-0.156637
0.32998,0.932709,-0.145486
0.339677,0.930819,-0.134892
0.352978,0.928397,-0.11613
0.365341,0.928085,-0.0719977
0.364522,0.92885,-0.0660384
0.365706,0.928837,-0.0593439
0.367042,0.928189,-0.0611965
0.369402,0.927657,-0.054718
0.372256,0.927344,-0.0381982
0.368479,0.929186,-0.0289126
0.368117,0.929261,-0.0310544
0.367764,0.929337,-0.0328911
0.313055,0.943731,-0.106619
0.298523,0.945657,-0.128907
0.287534,0.947026,-0.143057
0.285228,0.946222,-0.152671
0.27363,0.947978,-0.162676
0.263989,0.95031,-0.164985
0.249989,0.952685,-0.17291
0.238223,0.953835,-0.182891
0.231099,0.953773,-0.192118
0.231825,0.9546,-0.187072
0.22627,0.956603,-0.183608
0.216197,0.961384,-0.170293
0.204804,0.962934,-0.175539
0.208083,0.961406,-0.179999
0.210091,0.962367,-0.172368
0.213112,0.961299,-0.174608
0.21264,0.96139,-0.174679
0.215463,0.960622,-0.175445
0.221539,0.958206,-0.181001
0.219508,0.956276,-0.193269
0.224541,0.95507,-0.193451
0.221623,0.9559,-0.192711
0.218218,0.956704,-0.192611
0.22293,0.95517,-0.194815
0.221282,0.955551,-0.194824
0.223022,0.955549,-0.192841
0.218541,0.955449,-0.198386
0.220774,0.954752,-0.199268
0.21929,0.955977,-0.194986
0.220571,0.955931,-0.193762
0.223491,0.955406,-0.193005
0.220262,0.956096,-0.1933
0.221752,0.955292,-0.195557
0.225677,0.955532,-0.189814
0.224752,0.956217,-0.187444
0.224052,0.956133,-0.188707
0.222788,0.956085,-0.190442
0.225642,0.956102,-0.186962
0.216916,0.958391,-0.185566
0.214273,0.959086,-0.185042
0.209819,0.960382,-0.18342
0.2085,0.961832,-0.17722
0.204972,0.960842,-0.186466
0.213033,0.960378,-0.179699
0.210809,0.960395,-0.18221
0.221695,0.958436,-0.179589
0.230068,0.95736,-0.174731
0.228778,0.958293,-0.171273
0.224117,0.957073,-0.183799
0.224724,0.956422,-0.186431
0.22096,0.957757,-0.184062
0.221818,0.957305,-0.185376
0.222575,0.957846,-0.181637
0.228792,0.957342,-0.176497
0.224473,0.958186,-0.17746
0.230193,0.956172,-0.18096
0.232493,0.956612,-0.175614
0.228226,0.958388,-0.171479
0.228007,0.958216,-0.172727
0.22728,0.957352,-0.178384
0.226907,0.95745,-0.178336
0.227519,0.957306,-0.178325
0.22019,0.958256,-0.182379
0.22424,0.9586,-0.175506
0.21891,0.959377,-0.177974
0.220908,0.958101,-0.182326
0.22082,0.957832,-0.183837
0.220968,0.958072,-0.182405
0.221672,0.958364,-0.18
0.222486,0.959813,-0.17105
0.213415,0.960658,-0.177736
0.20586,0.95748,-0.202125
0.200537,0.953621,-0.224482
0.186036,0.949392,-0.253072
0.181727,0.948418,-0.259767
0.170215,0.949794,-0.262522
0.153947,0.953924,-0.257544
0.157719,0.955118,-0.250747
0.152633,0.958434,-0.241056
